('6:21\n', '11\n')
('6:20\n', '11\n')
('6:19\n', '11\n')
('6:18\n', '11\n')
('6:17\n', '11\n')
('6:16\n', '11\n')
('6:15\n', '11\n')
('6:14\n', '11\n')
('6:13\n', '11\n')
('6:12\n', '1\n')
('5:04\n', '11\n')
('5:03\n', '11\n')
('5:02\n', '11\n')
('5:01\n', '11\n')
('4:59\n', '11\n')
('4:58\n', '1\n')
('3:59\n.\n', '11\n')
('3:15\n', '11\n')
('3:14\n', '11\n')
('3:12\n', '1\n')
('3:10\n', '1\n')
('3:09\n', '11\n')
('3:09\n', '11\n')
('.\n', '11\n')
('3:09\n', '11\n')
('10:43\n', '2\n')
('10:42\n', '2\n')
('10:41\n', '2\n')
('10:40\n', '2\n')
('10:39\n', '2\n')
('10:38\n', '2\n')
('10:37\n', '2\n')
('10:37\n', '2\n')
('10:36\n', '2\n')
('7:13\n', '2\n')
('7:12\n', '2\n')
('7:11\n', '2\n')
('7:10\n', '2\n')
('7:09\n', '2\n')
('7:08\n', '2\n')
('7:07\n', '2\n')
('6:40\n', '2\n')
('6:39\n', '2\n')
('6:38\n', '2\n')
('6:38\n', '2\n')
('637\n', '2\n')
('3:24\n', '2\n')
('3:23\n', '2\n')
('3:22\n', '2\n')
('3:1\n', '2\n')
('3:20\n', '2\n')
('3:19\n', '2\n')
('6:38\n', '3\n')
('6:37\n', '3\n')
('6:36\n', '3\n')
('6:36\n', '3\n')
('6:34\n', '3\n')
('63\n', '3\n')
('6:32\n', '3\n')
('3:41\n', '3\n')
('3:40\n', '3\n')
('3:39\n', '3\n')
('3:38\n', '3\n')
('3:36\n', '3\n')
('3:35\n', '3\n')
('3:31\n', '3\n')
('3:30\n', '3\n')
('8:31\n', '41\n')
('8:30\n', '41\n')
('8:28\n', '41\n')
('8:27\n', '4\n')
('7:24\n', '41\n')
('7:23\n', '41\n')
('7:20\n', '41\n')
