('3:07\n', '1\n')
('3:06\n', '1\n')
('3:05\n', '1\n')
('3:04\n', '1\n')
('3:03\n', '1\n')
('3:02\n', '1\n')
('3:01\n', '1\n')
('43.0\n', '1\n')
('42.0\n', '1\n')
('41.0\n', '1\n')
('40.0\n', '1\n')
(':39.6\n', '1\n')
(':39.6\n', '1\n')
(':39.6\n', '1\n')
(':39.6\n', '1\n')
('4:32\n', '2\n')
('4:31\n', '2\n')
('4:30\n', '2\n')
('4:29\n', '2\n')
('4:28\n', '2\n')
('4:27\n', '2\n')
('49.1\n', '2\n')
('48.1\n', '2\n')
('47.1\n', '2\n')
('46.2\n', '2\n')
('45.2\n', '2\n')
('44.2\n', '2\n')
('43.9\n', '2\n')
('6:13\n', '3\n')
('6:12\n', '3\n')
('6:11\n', '3\n')
('6:10\n', '3\n')
('2:58\n', '3\n')
('2:57\n', '3\n')
('2:56\n', '3\n')
('2:55\n', '3\n')
('2:54\n', '3\n')
('2:54\n', '3\n')
('2:46\n', '3\n')
('2:45\n', '3\n')
('2:45\n', '3\n')
('2:44\n', '3\n')
('2:43\n', '3\n')
('2:42\n', '3\n')
('9:38\n', '4\n')
('9:37\n', '4\n')
('9:36\n', '4\n')
('9:35\n', '4\n')
('9:34\n', '4\n')
('8:37\n', '4\n')
('8:36\n', '4\n')
('8:35\n', '4\n')
('8:34\n', '4\n')
('8:33\n', '4\n')
('8:32\n', '4\n')
('5:26\n', '4\n')
('5:25\n', '4\n')
('5:24\n', '4\n')
('5:23\n', '4\n')
('5:22\n', '4\n')
('5:21\n', '4\n')
('5:20\n', '4\n')
('5:20\n', '4\n')
('3:59\n', '4\n')
('3:58\n', '4\n')
('3:57\n', '4\n')
('3:56\n', '4\n')
('3:55\n', '4\n')
('3:54\n', '4\n')
('3:53\n', '4\n')
('3:51\n', '4\n')
('3:51\n', '4\n')
('2:27\n', '4\n')
('2:26\n', '4\n')
('2:25\n', '4\n')
('2:24\n', '4\n')
('2:23\n', '4\n')
('2:22\n', '4\n')
('2:21\n', '4\n')
('2:20\n', '4\n')
('2:07\n', '4\n')
('2:06\n', '4\n')
('2:05\n', '4\n')
('2:04\n', '4\n')
('2:03\n', '4\n')
('2:02\n', '4\n')
('2:01\n', '4\n')
('2:00\n', '4\n')
('2:00\n', '4\n')
('47.5\n', '4\n')
('46.5\n', '4\n')
('45.5\n', '4\n')
('44.5\n', '4\n')
('43.5\n', '4\n')
('43.0\n', '4\n')
(':34.6\n', '4\n')
('34.6\n', '4\n')
(':08\n', '41\n')
(':08\n', '41\n')
(':08\n', '41\n')
(':08\n', '41\n')
(':07\n', '41\n')
(':06\n', '41\n')
(':04\n', '41\n')
(':04\n', '41\n')
(':04\n', '41\n')
(':04\n', '41\n')
