('10:27\n', '1\n')
('10:26\n', '1\n')
('10:25\n', '1\n')
('10:24\n', '1\n')
('10:23\n', '1\n')
('854\n', '1\n')
('8:53\n', '1\n')
('8:52\n', '1\n')
('8:51\n', '1\n')
('8:50\n', '1\n')
('8:49\n', '1\n')
('8:46\n', '1\n')
('8:45\n', '1\n')
('8:10\n', '1\n')
('8:09\n', '1\n')
('8:08\n', '1\n')
('8:07\n', '11\n')
('8:06\n', '1\n')
('8:05\n', '1\n')
('8:04\n', '1\n')
('8:02\n', '1\n')
('8:01\n', '1\n')
('4:19\n', '1\n')
('4:18\n', '1\n')
('4:17\n', '1\n')
('4:16\n', '1\n')
('4:15\n', '1\n')
('4:15\n', '1\n')
('4:15\n', '1\n')
('4:15\n', '11\n')
('4:15\n', '1\n')
('4:15\n', '1\n')
('11:03\n', '2\n')
('11:02\n', '2\n')
('11:01\n', '2\n')
('11:00\n', '2\n')
('10:59\n', '2\n')
('10:58\n', '2\n')
('8:10\n', '2\n')
('8:09\n', '2\n')
('8:08\n', '2\n')
('8:07\n', '2\n')
('8:06\n', '2\n')
('8:05\n', '2\n')
('4.08\n', '2\n')
('4:07\n', '2\n')
('4:06\n', '2\n')
('4:05\n', '2\n')
('4:04\n', '2\n')
('1:08\n', '2\n')
('1:07\n', '2\n')
('1:06\n', '2\n')
('1:05\n', '2\n')
('1:04\n', '2\n')
('1:03\n', '2\n')
('9:21\n', '3\n')
('9:20\n', '3\n')
('9:19\n', '3\n')
('9:18\n', '3\n')
('9:17\n', '3\n')
('9:15\n', '3\n')
('9:15\n', '3\n')
('5:41\n', '3\n')
('5:40\n', '3\n')
('5:39\n', '3\n')
('5:38\n', '3\n')
('5:37\n', '3\n')
('5:36\n', '3\n')
('5:35\n', '3\n')
('56.4\n', '3\n')
('55.5\n', '3\n')
('54.5\n', '3\n')
('53.5\n', '3\n')
('53.3\n', '3\n')
('9:28\n', '4\n')
('9:27\n', '4\n')
('9:26\n', '4\n')
('9:25\n', '4\n')
('9:24\n', '4\n')
('9:23\n', '4\n')
('5:47\n', '4\n')
('5:46\n', '4\n')
('5:45\n', '4\n')
('5:44\n', '4\n')
('5:43\n', '4\n')
('5:42\n', '4\n')
('5:42\n', '4\n')
