('7:30\n', 'FIRST QUARTER\n')
('7:29\n', 'FIRST QUARTER\n')
('7:28\n', 'FIRST QUARTER\n')
('7:27\n', 'FIRST QUARTER\n')
('7:26\n', 'FIRST QUARTER\n')
('7:25\n', 'FIRST QUARTER\n')
('7:24\n', 'FIRST QUARTER\n')
('6:36\n', 'FIRST QUARTER\n')
('6:35\n', 'FIRST QUARTER\n')
('6:34\n', 'FIRST QUARTER\n')
('6:33\n', 'FIRST QUARTER\n')
('6:32\n', 'FIRST QUARTER\n')
('6:31\n', 'FIRST QUARTER\n')
('6:30\n', 'FIRST QUARTER\n')
('6:27\n', 'FIRST QUARTER\n')
('6:26\n', 'FIRST QUARTER\n')
('4:21\n', 'FIRST QUARTER\n')
('4:20\n', 'FIRST QUARTER\n')
('4:19\n', 'FIRST QUARTER\n')
('4:18\n', 'FIRST QUARTER\n')
('4:17\n', 'FIRST QUARTER\n')
('4:16\n', 'FIRST QUARTER\n')
('4:15\n', 'FIRST QUARTER\n')
('4:11\n', 'FIRST QUARTER\n')
('4:10\n', 'FIRST QUARTER\n')
('9:53\n', 'SECOND QUARTER\n')
('9:52\n', 'SECOND QUARTER\n')
('9:51\n', 'SECOND QUARTER\n')
('9:50\n', 'SECOND QUARTER\n')
('9:49\n', 'SECOND QUARTER\n')
('9:48\n', 'SECOND QUARTER\n')
('9:43\n', 'SECOND QUARTER\n')
('9:42\n', 'SECOND QUARTER\n')
('8:16\n', 'SECOND QUARTER\n')
('8:15\n', 'SECOND QUARTER\n')
('8:14\n', 'SECOND QUARTER\n')
('8:13\n', 'SECOND QUARTER\n')
('8:12\n', 'SECOND QUARTER\n')
('8:11\n', 'SECOND QUARTER\n')
('7:09\n', 'SECOND QUARTER\n')
('7:08\n', 'SECOND QUARTER\n')
('7:07\n', 'SECOND QUARTER\n')
('7:06\n', 'SECOND QUARTER\n')
('7:05\n', 'SECOND QUARTER\n')
('7:04\n', 'SECOND QUARTER\n')
('7:03\n', 'SECOND QUARTER\n')
('6:11\n', 'SECOND QUARTER\n')
('6:10\n', 'SECOND QUARTER\n')
('6:09\n', 'SECOND QUARTER\n')
('6:09\n', 'SECOND QUARTER\n')
('6:08\n', 'SECOND QUARTER\n')
('6:07\n', 'SECOND QUARTER\n')
('8:37\n', 'THIRD QUARTER\n')
('8:36\n', 'THIRD QUARTER\n')
('8:35\n', 'THIRD QUARTER\n')
('8:34\n', 'THIRD QUARTER\n')
('8:33\n', 'THIRD QUARTER\n')
('8:32\n', 'THIRD QUARTER\n')
('8:27\n', 'THIRD QUARTER\n')
('8:26\n', 'THIRD QUARTER\n')
('7:38\n', 'THIRD QUARTER\n')
('7:37\n', 'THIRD QUARTER\n')
('7:36\n', 'THIRD QUARTER\n')
('7:35\n', 'THIRD QUARTER\n')
('7:34\n', 'THIRD QUARTER\n')
('3:57\n', 'THIRD QUARTER\n')
('3:56\n', 'THIRD QUARTER\n')
('3:55\n', 'THIRD QUARTER\n')
('3:54\n', 'THIRD QUARTER\n')
('3:53\n', 'THIRD QUARTER\n')
('3:52\n', 'THIRD QUARTER\n')
('3:52\n', 'THIRD QUARTER\n')
('8:46\n', 'FOURTH QUARTER\n')
('8:45\n', 'FOURTH QUARTER\n')
('8:44\n', 'FOURTH QUARTER\n')
('8:43\n', 'FOURTH QUARTER\n')
('8:42\n', 'FOURTH QUARTER\n')
('8:42\n', 'FOURTH QUARTER\n')
('8:42\n', 'FOURTH QUARTER\n')
('8:42\n', 'FOURTH QUARTER\n')
('8:42\n', 'FOURTH QUARTER\n')
('8:42\n', 'FOURTH QUARTER\n')
('8:30\n', 'FOURTH QUARTER\n')
('8:29\n', 'FOURTH QUARTER\n')
('8:28\n', 'FOURTH QUARTER\n')
('8:27\n', 'FOURTH QUARTER\n')
('8:26\n', 'FOURTH QUARTER\n')
('8:25\n', 'FOURTH QUARTER\n')
('8:25\n', 'FOURTH QUARTER\n')
('8:25\n', 'FOURTH QUARTER\n')
('8:25\n', 'FOURTH QUARTER\n')
