(':249\n', '1\n')
('9:29\n', '1\n')
('9:28\n', '1\n')
('9:27\n', '1\n')
('9:26\n', '1\n')
('9:25\n', '1\n')
('7:08\n', '1\n')
('7:07\n', '1\n')
(':06\n', '1\n')
('705\n', '1\n')
('705\n', '1\n')
('705\n', '1\n')
('6:52\n', '2\n')
('6:51\n', '2\n')
('6:49\n', '2\n')
('6:48\n', '2\n')
('6:47\n', '2\n')
('3:47\n', '2\n')
('3:46\n', '2\n')
('3:45\n', '2\n')
('3:44\n', '2\n')
('3:43\n', '2\n')
('3:42\n', '2\n')
('3:41\n', '2\n')
('3:40\n', '2\n')
('3:31\n', '2\n')
('31\n', '2\n')
('3:29\n', '2\n')
('3:27\n', '2\n')
('3:26\n', '2\n')
('3:26\n', '2\n')
('3:26\n', '2\n')
('8:25\n', '3\n')
('8:24\n', '3\n')
('8:23\n', '3\n')
('8:22\n', '3\n')
('8:21\n', '3\n')
('8:19\n', '3\n')
('8:18\n', '3\n')
('7:45\n', '3\n')
('7:44\n', '3\n')
('7:43\n', '3\n')
('7:42\n', '3\n')
('7:41\n', '3\n')
('6:57\n', '3\n')
('6:54\n', '3\n')
('6:53\n', '3\n')
('6:49\n', '3\n')
('3:19\n', '3\n')
('3:18\n', '3\n')
('3:17\n', '3\n')
('3:16\n', '3\n')
('3:15\n', '3\n')
('3:14\n', '3\n')
('3:11\n', '3\n')
('3:10\n', '3\n')
('49.3\n', '3\n')
('48.3\n', '3\n')
('47.3\n', '3\n')
('46.3\n', '3\n')
('45.6\n', '3\n')
('8:57\n', '4\n')
('8:54\n', '4\n')
('5:18\n', '4\n')
('5:17\n', '4\n')
('5:16\n', '4\n')
('5:15\n', '4\n')
('5:15\n', '4\n')
('5:14\n', '4\n')
('5:13\n', '4\n')
('2:33\n', '4\n')
('2:32\n', '4\n')
('2:31\n', '4\n')
('2:30\n', '4\n')
('2:28\n', '4\n')
('2:27\n', '4\n')
('2:27\n', '4\n')
('2:27\n', '4\n')
