('5:18\n', '1\n')
('5:17\n', '1\n')
('5:16\n', '1\n')
('5:15\n', '1\n')
('5:14\n', '1\n')
('5:13\n', '1\n')
('512\n', '1\n')
('5:11\n', '1\n')
('5:10\n', '1\n')
('5:09\n', '1\n')
('5:08\n', '1\n')
('3:51\n', '1\n')
('3:50\n', '1\n')
('3:49\n', '1\n')
('3:48\n', '1\n')
('3:47\n', '1\n')
('3:46\n', '1\n')
('309\n', '1\n')
(':30.0\n', '1\n')
('29.0\n', '1\n')
('128.0\n', '1\n')
('27.2\n', '1\n')
('27.2\n', '1\n')
('126.7\n', '1\n')
('125.7\n', '1\n')
('10:24\n', '2\n')
('10:23\n', '2\n')
('10:22\n', '2\n')
('10:21\n', '2\n')
('10:20\n', '2\n')
('10:19\n', '2\n')
('10:18\n', '2\n')
('6:29\n', '2\n')
('6:28\n', '2\n')
('6:27\n', '2\n')
('6:26\n', '2\n')
('6:25\n', '2\n')
('6:24\n', '2\n')
('6:23\n', '2\n')
('6:00\n', '2\n')
('5:59\n', '2\n')
('5:58\n', '2\n')
('5:57\n', '2\n')
('5:56\n', '2\n')
('5:55\n', '2\n')
('5:55\n', '2\n')
('5:55\n', '2\n')
('5:55\n', '2\n')
('5:55\n', '2\n')
('4:38\n', '2\n')
('4:37\n', '2\n')
('4:36\n', '2\n')
('4:35\n', '2\n')
('4:34\n', '2\n')
('4:33\n', '2\n')
(':2:19\n', '2\n')
(':2:18\n', '2\n')
('2:17\n', '2\n')
(':2:16\n', '2\n')
(':2:15\n', '2\n')
('2:15\n', '12\n')
(':2:14\n', '2\n')
('9:19\n', '3\n')
('9:18\n', '3\n')
('9:17\n', '3\n')
('9:16\n', '3\n')
('9:15\n', '3\n')
('9:14\n', '3\n')
('9:13\n', '3\n')
('1:51\n', '3\n')
('1:50\n', '3\n')
(':1:49\n', '3\n')
(':1:48\n', '3\n')
('1:47\n', '3\n')
(':1:46\n', '3\n')
(':4\n', '3\n')
('::05.2\n', '3\n')
('::04.3\n', '31\n')
('::03.3\n', '3\n')
(':02.3\n', '3\n')
('::01.3\n', '3\n')
('::01.3\n', '3\n')
('::01.3\n', '3\n')
('::00.4\n', '3\n')
('9:51\n', '4\n')
('9:50\n', '4\n')
('9:49\n', '4\n')
('9:48\n', '4\n')
('9:47\n', '4\n')
('9:46\n', '4\n')
('9:16\n', '4\n')
('9:15\n', '4\n')
('9:14\n', '4\n')
('9:13\n', '4\n')
('9:12\n', '4\n')
('9:11\n', '4\n')
('9:10\n', '4\n')
('9:09\n', '4\n')
('4:20\n', '4\n')
('4:19\n', '4\n')
('4:18\n', '4\n')
('4:17\n', '4\n')
('4:16\n', '4\n')
('4:16\n', '4\n')
('4:16\n', '4\n')
('.3:47\n', '4\n')
('3:46\n', '4\n')
('3:45\n', '4\n')
('.3:44\n', '4\n')
('.3:43\n', '4\n')
('3:42\n', '4\n')
('3:41\n', '4\n')
('1:59\n', '4\n')
('1:58\n', '4\n')
('1:57\n', '4\n')
('1:56\n', '4\n')
('.1:55\n', '4\n')
('.1:55\n', '4\n')
('1:36\n', '4\n')
('1:35\n', '4\n')
('1:34\n', '4\n')
('1:33\n', '4\n')
('1:32\n', '4\n')
('1:31\n', '4\n')
('1:30\n', '4\n')
('1:30\n', '4\n')
('1:30\n', '4\n')
('1:30\n', '4\n')
('1:30\n', '4\n')
('1:30\n', '4\n')
('1:30\n', '4\n')
('1:30\n', '4\n')
('1:30\n', '4\n')
('.1:15\n', '4\n')
('.1:14\n', '4\n')
('.1:13\n', '4\n')
('1:12\n', '4\n')
('1:11\n', '4\n')
('1:11\n', '4\n')
('.:47.4\n', '4\n')
('.:46.4\n', '4\n')
('.:45.5\n', '4\n')
(':44.5\n', '4\n')
(':43.5\n', '4\n')
(':42.5\n', '4\n')
('.:41.5\n', '4\n')
('41.0\n', '4\n')
('.:41.0\n', '4\n')
