('10:09\n', '1\n')
('10:08\n', '1\n')
('10:07\n', '1\n')
('10:06\n', '1\n')
('10:05\n', '1\n')
('10:04\n', '1\n')
('10:03\n', '11\n')
('5:55\n', '1\n')
('5:54\n', '1\n')
('5:53\n', '1\n')
('5:52\n', '1\n')
('5:51\n', '1\n')
('1:40\n', '1\n')
('1:39\n', '1\n')
('1:38\n', '1\n')
('1:37\n', '1\n')
('1:36\n', '1\n')
('1:35\n', '1\n')
('1:34\n', '1\n')
('1:33\n', '1\n')
('1:32\n', '1\n')
('1:31\n', '1\n')
('1:30\n', '1\n')
('5:55\n', '2\n')
('5:54\n', '2\n')
('5:53\n', '2\n')
('5:52\n', '2\n')
('5:51\n', '2\n')
('2:16\n', '2\n')
('2:15\n', '2\n')
('2:14\n', '2\n')
('2:13\n', '2\n')
('2:72\n', '2\n')
('34.4\n', '2\n')
('33.94\n', '2\n')
('32.49\n', '2\n')
('31.9\n', '2\n')
('13.7\n', '2\n')
('12.1\n', '2\n')
('11.1\n', '2\n')
('10.1\n', '2\n')
('9.1\n', '2\n')
('8.1\n', '2\n')
('5:21\n', '3\n')
('5:20\n', '3\n')
('5:19\n', '3\n')
('5:18\n', '3\n')
('5:17\n', '3\n')
('5:16\n', '3\n')
('5:15\n', '3\n')
('4:05\n', '3\n')
('4:04\n', '3\n')
('4:03\n', '3\n')
('4:02\n', '3\n')
('4:01\n', '3\n')
('8:34\n', '4\n')
('8:33\n', '4\n')
('8:32\n', '4\n')
('8:31\n', '4\n')
('8:30\n', '4\n')
('8:29\n', '4\n')
('8:28\n', '4\n')
('4:47\n', '4\n')
('4:46\n', '4\n')
('4:45\n', '4\n')
('4:44\n', '4\n')
('4:05\n', '4\n')
('4:05\n', '4\n')
('4:05\n', '4\n')
('4:04\n', '4\n')
('4:03\n', '4\n')
('4:02\n', '4\n')
('1:47\n', '4\n')
('1:46\n', '4\n')
('1:45\n', '4\n')
('1:44\n', '4\n')
('1:42\n', '4\n')
('22.5\n', '4\n')
('21.5\n', '4\n')
('20.5\n', '4\n')
('19.6\n', '4\n')
('18.6\n', '4\n')
('18.0\n', '4\n')
