('8:49\n', 'FIRST QUARTER\n')
('8:48\n', 'FIRST QUARTER\n')
('8:47\n', 'FIRST QUARTER\n')
('8:46\n', 'FIRST QUARTER\n')
('8:45\n', 'FIRST QUARTER\n')
('6:48\n', 'FIRST QUARTER\n')
('6:47\n', 'FIRST QUARTER\n')
('6:46\n', 'FIRST QUARTER\n')
('6:45\n', 'FIRST QUARTER\n')
('6:44\n', 'FIRST QUARTER\n')
('6:43\n', 'FIRST QUARTER\n')
('5:04\n', 'FIRST QUARTER\n')
('5:03\n', 'FIRST QUARTER\n')
('5:02\n', 'FIRST QUARTER\n')
('5:01\n', 'FIRST QUARTER\n')
('5:00\n', 'FIRST QUARTER\n')
('4:59\n', 'FIRST QUARTER\n')
('4:58\n', 'FIRST QUARTER\n')
('4:57\n', 'FIRST QUARTER\n')
('4:56\n', 'FIRST QUARTER\n')
('4:59\n', 'FIRST QUARTER\n')
('4:52\n', 'FIRST QUARTER\n')
('4:51\n', 'FIRST QUARTER\n')
('2:18\n', 'FIRST QUARTER\n')
('2:17\n', 'FIRST QUARTER\n')
('2:16\n', 'FIRST QUARTER\n')
('2:15\n', 'FIRST QUARTER\n')
('2:14\n', 'FIRST QUARTER\n')
('2:13\n', 'FIRST QUARTER\n')
('2:12\n', 'FIRST QUARTER\n')
('2:11\n', 'FIRST QUARTER\n')
('2:10\n', 'FIRST QUARTER\n')
('2:00\n', 'FIRST QUARTER\n')
('2:00\n', 'FIRST QUARTER\n')
('2:00\n', 'FIRST QUARTER\n')
('10:10\n', 'SECOND QUARTER\n')
('10:09\n', 'SECOND QUARTER\n')
('10:08\n', 'SECOND QUARTER\n')
('10:07\n', 'SECOND QUARTER\n')
('10:06\n', 'SECOND QUARTER\n')
('10:05\n', 'SECOND QUARTER\n')
('10:04\n', 'SECOND QUARTER\n')
('10:03\n', 'SECOND QUARTER\n')
('7:40\n', 'SECOND QUARTER\n')
('7:39\n', 'SECOND QUARTER\n')
('7:38\n', 'SECOND QUARTER\n')
('7:37\n', 'SECOND QUARTER\n')
('7:36\n', 'SECOND QUARTER\n')
('7:35\n', 'SECOND QUARTER\n')
('6:04\n', 'SECOND QUARTER\n')
('6:03\n', 'SECOND QUARTER\n')
('6:02\n', 'SECOND QUARTER\n')
('6:01\n', 'SECOND QUARTER\n')
('6:00\n', 'SECOND QUARTER\n')
('5:59\n', 'SECOND QUARTER\n')
('5:58\n', 'SECOND QUARTER\n')
('5:57\n', 'SECOND QUARTER\n')
('1:55\n', 'SECOND QUARTER\n')
('1:54\n', 'SECOND QUARTER\n')
('1:53\n', 'SECOND QUARTER\n')
('1:52\n', 'SECOND QUARTER\n')
('1:52\n', 'SECOND QUARTER\n')
('1:51\n', 'SECOND QUARTER\n')
('1:50\n', 'SECOND QUARTER\n')
('1:49\n', 'SECOND QUARTER\n')
('1:48\n', 'SECOND QUARTER\n')
('1:10\n', 'SECOND QUARTER\n')
('1:09\n', 'SECOND QUARTER\n')
('1:08\n', 'SECOND QUARTER\n')
('1:07\n', 'SECOND QUARTER\n')
('1:06\n', 'SECOND QUARTER\n')
('1:05\n', 'SECOND QUARTER\n')
('1:05\n', 'SECOND QUARTER\n')
('1:05\n', 'SECOND QUARTER\n')
('1:05\n', 'SECOND QUARTER\n')
('1:05\n', 'SECOND QUARTER\n')
('9:34\n', 'THIRD QUARTER\n')
('9:33\n', 'THIRD QUARTER\n')
('9:32\n', 'THIRD QUARTER\n')
('5:33\n', 'THIRD QUARTER\n')
('5:32\n', 'THIRD QUARTER\n')
('5:31\n', 'THIRD QUARTER\n')
('5:30\n', 'THIRD QUARTER\n')
('5:29\n', 'THIRD QUARTER\n')
('5:28\n', 'THIRD QUARTER\n')
('4:40\n', 'THIRD QUARTER\n')
('4:39\n', 'THIRD QUARTER\n')
('4:38\n', 'THIRD QUARTER\n')
('4:37\n', 'THIRD QUARTER\n')
('4:36\n', 'THIRD QUARTER\n')
('4:35\n', 'THIRD QUARTER\n')
('4:33\n', 'THIRD QUARTER\n')
('4:33\n', 'THIRD QUARTER\n')
('10:47\n', 'FOURTH QUARTER\n')
('10:46\n', 'FOURTH QUARTER\n')
('10:45\n', 'FOURTH QUARTER\n')
('10:45\n', 'FOURTH QUARTER\n')
('10:44\n', 'FOURTH QUARTER\n')
('10:43\n', 'FOURTH QUARTER\n')
('10:42\n', 'FOURTH QUARTER\n')
('8:59\n', 'FOURTH QUARTER\n')
('8:58\n', 'FOURTH QUARTER\n')
('8:57\n', 'FOURTH QUARTER\n')
('8:56\n', 'FOURTH QUARTER\n')
('8:55\n', 'FOURTH QUARTER\n')
('8:54\n', 'FOURTH QUARTER\n')
('7:51\n', 'FOURTH QUARTER\n')
('7:50\n', 'FOURTH QUARTER\n')
('7:49\n', 'FOURTH QUARTER\n')
('7:48\n', 'FOURTH QUARTER\n')
('7:47\n', 'FOURTH QUARTER\n')
('7:46\n', 'FOURTH QUARTER\n')
