('8:11\n', '11\n')
('8:10\n', '11\n')
('8:09\n', '11\n')
('8:08\n', '11\n')
('8:07\n', '11\n')
('8:06\n', '11\n')
('5:34\n', '11\n')
('5:33\n', '11\n')
('5:32\n', '11\n')
('5:31\n', '11\n')
('5:30\n', '11\n')
('5:29\n', '11\n')
('4:32\n', '11\n')
('4:31\n', '11\n')
('4:30\n', '11\n')
('4:29\n', '11\n')
('4:28\n', '11\n')
('2:36\n', '11\n')
('2:35\n', '11\n')
('2:34\n', '11\n')
('2:33\n', '11\n')
('2:32\n', '11\n')
('2:32\n', '1\n')
('10:23\n', '2\n')
('10:22\n', '2\n')
('10:21\n', '2\n')
('10:20\n', '2\n')
('10:20\n', '2\n')
('10:19\n', '2\n')
('2:39\n', '2\n')
('2:38\n', '2\n')
('2:37\n', '2\n')
('2:36\n', '2\n')
('2:35\n', '2\n')
('2:34\n', '2\n')
('2:34\n', '2\n')
('1:25\n', '2\n')
('1:24\n', '2\n')
('1:23\n', '2\n')
('1:22\n', '2\n')
('1:21\n', '2\n')
('1:20\n', '2\n')
('1:19\n', '2\n')
('1:19\n', '2\n')
('1:16\n', '2\n')
('1:15\n', '2\n')
('11:37\n', '3\n')
('11:36\n', '3\n')
('11:35\n', '3\n')
('11:34\n', '3\n')
('11:33\n', '3\n')
('11:32\n', '3\n')
('11:31\n', '3\n')
('11:30\n', '3\n')
('11:29\n', '3\n')
('11:28\n', '3\n')
('8:34\n', '3\n')
('8:33\n', '3\n')
('8:33\n', '3\n')
('8:32\n', '3\n')
('8:31\n', '3\n')
('8:30\n', '3\n')
('8:29\n', '3\n')
('6:51\n', '3\n')
('6:50\n', '3\n')
('6:49\n', '3\n')
('6:48\n', '3\n')
('6:47\n', '3\n')
('4:22\n', '3\n')
('4:21\n', '3\n')
('4:20\n', '3\n')
('4:19\n', '3\n')
('4:18\n', '3\n')
('4:17\n', '3\n')
('4:16\n', '3\n')
('4:16\n', '3\n')
('4:16\n', '3\n')
('4:16\n', '3\n')
('4:16\n', '3\n')
('1:36\n', '3\n')
('1:35\n', '3\n')
('1:34\n', '3\n')
('1:33\n', '3\n')
('1:32\n', '3\n')
('1:31\n', '3\n')
('1:30\n', '3\n')
('1:29\n', '3\n')
('9:38\n', '41\n')
('9:37\n', '4\n')
('9:36\n', '4\n')
('9:35\n', '41\n')
('9:34\n', '41\n')
('9:33\n', '41\n')
('9.32\n', '4\n')
('9.31\n', '41\n')
('9:31\n', '41\n')
('9:30\n', '4\n')
