('10:14\n', '1\n')
('10:13\n', '1\n')
('10:12\n', '1\n')
('10:11\n', '1\n')
('8:07\n', '1\n')
('8:05\n', '1\n')
('8:04\n', '1\n')
('8:03\n', '1\n')
('8:02\n', '1\n')
('8:01\n', '1\n')
('7:59\n', '1\n')
('4:56\n', '1\n')
('4:55\n', '1\n')
('4:54\n', '1\n')
('4:53\n', '1\n')
('4:52\n', '1\n')
('4:51\n', '1\n')
('4:50\n', '1\n')
('4:47\n', '1\n')
('4:46\n', '1\n')
('4:45\n', '1\n')
('11:13\n', '2\n')
('11:12\n', '2\n')
('11:11\n', '2\n')
('11:10\n', '2\n')
('11:09\n', '2\n')
('11:08\n', '2\n')
('11:07\n', '2\n')
('11:06\n', '2\n')
('6:07\n', '2\n')
('6:05\n', '2\n')
('6:04\n', '2\n')
('6:03\n', '2\n')
('6:02\n', '2\n')
('6:01\n', '2\n')
('5:58\n', '2\n')
('5:57\n', '2\n')
('2:09\n', '2\n')
('2:08\n', '2\n')
('2:07\n', '2\n')
('2:06\n', '2\n')
('2:05\n', '2\n')
('2:04\n', '2\n')
(':04\n', '2\n')
(':03\n', '2\n')
(':02\n', '2\n')
(':01\n', '2\n')
(':01\n', '2\n')
('9:13\n', '3\n')
('9:12\n', '3\n')
('9:11\n', '3\n')
('9:10\n', '3\n')
('9:07\n', '3\n')
('5:57\n', '3\n')
('5:56\n', '3\n')
('5:55\n', '3\n')
('5:54\n', '3\n')
('5:53\n', '3\n')
('5:52\n', '3\n')
('5:51\n', '3\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
('0:07\n', '3\n')
('0:06\n', '3\n')
('0:05\n', '3\n')
('0:04\n', '3\n')
('0:04\n', '3\n')
('0:03\n', '3\n')
('6:46\n', '4\n')
('6:45\n', '4\n')
('6:44\n', '4\n')
('6:43\n', '4\n')
('6:42\n', '4\n')
('6:41\n', '4\n')
