('4:19\n', '1\n')
('4:18\n', '1\n')
('4:17\n', '1\n')
('4:16\n', '1\n')
('4:15\n', '1\n')
('4:14\n', '1\n')
('10:48\n', '3\n')
('10:48\n', '3\n')
('10:48\n', '3\n')
('10:48\n', '3\n')
('10:03\n', '3\n')
('10:02\n', '3\n')
('10:01\n', '3\n')
('10:00\n', '3\n')
('9:59\n', '3\n')
('9:58\n', '3\n')
('33.4\n', '3\n')
('32.4\n', '3\n')
('31.4\n', '3\n')
('30.4\n', '3\n')
('29.4\n', '3\n')
('29.1\n', '3\n')
('29.1\n', '3\n')
('29.1\n', '3\n')
('28.4\n', '3\n')
('6:32\n', '4\n')
('6:31\n', '41\n')
('6:30\n', '4\n')
('6:29\n', '4\n')
('6:28\n', '4\n')
('3:32\n', '4\n')
('3:31\n', '4\n')
('3:31\n', '4\n')
('3:30\n', '4\n')
('3:29\n', '4\n')
('3:28\n', '4\n')
('3:25\n', '4\n')
('3:25\n', '4\n')
('3:25\n', '4\n')
('1:12\n', '4\n')
('1:11\n', '4\n')
('1:10\n', '4\n')
('1:09\n', '4\n')
('1:08\n', '4\n')
('1:08\n', '4\n')
('28.4\n', '4\n')
('27.4\n', '4\n')
('26.4\n', '4\n')
('25.4\n', '4\n')
('24.5\n', '41\n')
('3.7\n', '4\n')
('23.7\n', '4\n')
('23.7\n', '4\n')
('23.7\n', '4\n')
('07.3\n', '41\n')
('06.3\n', '4\n')
('05.3\n', '4\n')
('04.3\n', '4\n')
('04.0\n', '4\n')
('04.0\n', '4\n')
('04.0\n', '4\n')
('04.0\n', '4\n')
('04.0\n', '4\n')
('02.1\n', '4\n')
('01.9\n', '41\n')
('01.9\n', '4\n')
('01.9\n', '4\n')
('01.9\n', '41\n')
('01.9\n', '41\n')
('01.9\n', '4\n')
('01.9\n', '4\n')
('01.9\n', '4\n')
('01.9\n', '4\n')
('01.9\n', '41\n')
('01.9\n', '41\n')
('01.9\n', '4\n')
('01.9\n', '4\n')
('01.9\n', '4\n')
('01.9\n', '4\n')
('01.9\n', '4\n')
('01.9\n', '4\n')
('014\n', '4\n')
('004\n', '4\n')
('00.0\n', '4\n')
('1\n', '4\n')
