('49.0\n', '1\n')
('48.0\n', '1\n')
('47.0\n', '1\n')
('46.3\n', '1\n')
('46.3\n', '1\n')
('705\n', '1\n')
('705\n', '1\n')
('7:04\n', '1\n')
('703\n', '1\n')
('702\n', '1\n')
('701\n', '1\n')
('701\n', '1\n')
('7:39\n', '2\n')
('7:38\n', '2\n')
('1:37\n', '2\n')
('7:36\n', '4\n')
('71:35\n', '4\n')
('1:34\n', '2\n')
('7:08\n', '2\n')
('71:07\n', '41\n')
('7:06\n', '41\n')
('7:05\n', '4\n')
('7:04\n', '4\n')
('7:03\n', '4\n')
('7:02\n', '2\n')
('7:01\n', '2\n')
('3:31\n', '2\n')
('3:30\n', '4\n')
('3:29\n', '4\n')
('3:28\n', '2\n')
('3:27\n', '2\n')
('3:26\n', '2\n')
('3:25\n', '2\n')
('3:25\n', '2\n')
('8:48\n', '3\n')
('8:47\n', '3\n')
('8:46\n', '3\n')
('8:45\n', '3\n')
('8:44\n', '3\n')
('8:42\n', '3\n')
('8:41\n', '3\n')
('6:57\n', '3\n')
('5:25\n', '3\n')
('5:24\n', '3\n')
('5:23\n', '1\n')
('5:22\n', '1\n')
('4:02\n', '3\n')
('4:01\n', '3\n')
('4:00\n', '3\n')
('3:58\n', '3\n')
('3:57\n', '3\n')
('3:56\n', '3\n')
('3:55\n', '3\n')
('3:54\n', '3\n')
('8:17\n', '4\n')
('8:16\n', '4\n')
('8:15\n', '4\n')
('8:14\n', '4\n')
('8:13\n', '4\n')
('8:12\n', '4\n')
('8:11\n', '4\n')
('0\n', '4\n')
('7:12\n', '4\n')
('7:11\n', '4\n')
('7:10\n', '4\n')
('7:09\n', '4\n')
('7:08\n', '4\n')
('71:07\n', '4\n')
('7:06\n', '4\n')
('2:45\n', '4\n')
('2:44\n', '4\n')
('2:43\n', '4\n')
('2:42\n', '4\n')
('2:41\n', '4\n')
('1:36\n', '4\n')
('1:35\n', '4\n')
('1:34\n', '4\n')
('1:33\n', '4\n')
('1:32\n', '4\n')
('1:31\n', '4\n')
('54.9\n', '4\n')
('53.9\n', '4\n')
('53.0\n', '4\n')
('52.0\n', '4\n')
('52.0\n', '4\n')
('52.0\n', '4\n')
('14.4\n', '4\n')
('13.4\n', '4\n')
(':12\n', '4\n')
(':11\n', '41\n')
(':10\n', '4\n')
(':09\n', '4\n')
(':08\n', '41\n')
('07\n', '4\n')
(':06\n', '4\n')
('05\n', '1\n')
