('9:30\n', '1\n')
('9:29\n', '1\n')
('9:28\n', '1\n')
('9:27\n', '1\n')
('9:26\n', '1\n')
('9:25\n', '1\n')
('9:24\n', '1\n')
('9:22\n', '1\n')
('9:21\n', '1\n')
('9:20\n', '1\n')
('5:07\n', '1\n')
('5:06\n', '1\n')
('5:05\n', '1\n')
('5:04\n', '1\n')
('5:03\n', '1\n')
('5:02\n', '1\n')
('5:01\n', '1\n')
('4:59\n', '1\n')
('4:58\n', '1\n')
('4:57\n', '1\n')
('2:54\n', '1\n')
('2:53\n', '1\n')
('2:52\n', '1\n')
('2:51\n', '1\n')
('2:51\n', '1\n')
('2:51\n', '1\n')
('2:51\n', '1\n')
('2:51\n', '1\n')
('8:59\n', '2\n')
('8:58\n', '2\n')
('8:57\n', '2\n')
('8:57\n', '2\n')
('8:53\n', '2\n')
('8:52\n', '2\n')
('6:13\n', '2\n')
('6:12\n', '2\n')
('6:11\n', '2\n')
('6:10\n', '2\n')
('6:05\n', '2\n')
('6:04\n', '2\n')
('1:47\n', '2\n')
('1:46\n', '2\n')
('1:45\n', '2\n')
('1:44\n', '2\n')
('1:43\n', '2\n')
('1:42\n', '2\n')
('1:41\n', '2\n')
('1:39\n', '2\n')
('1:38\n', '2\n')
('1:37\n', '2\n')
(':35.3\n', '2\n')
(':34.3\n', '2\n')
(':33.3\n', '2\n')
(':32.4\n', '2\n')
(':31.9\n', '2\n')
(':31.9\n', '2\n')
('31.1\n', '2\n')
('8:58\n', '3\n')
('8:57\n', '3\n')
('8:56\n', '3\n')
('8:55\n', '3\n')
('8:54\n', '3\n')
('5:23\n', '3\n')
('5:22\n', '3\n')
('5:21\n', '3\n')
('5:20\n', '3\n')
('5:19\n', '3\n')
('5:18\n', '3\n')
('5:14\n', '3\n')
('5:13\n', '3\n')
('7:39\n', '4\n')
('7:38\n', '4\n')
('7:37\n', '4\n')
('7:36\n', '4\n')
('7:35\n', '4\n')
('7:34\n', '4\n')
('7:33\n', '4\n')
('7:32\n', '4\n')
('7:31\n', '4\n')
('7:30\n', '4\n')
('5:41\n', '4\n')
('5:40\n', '4\n')
('5:39\n', '4\n')
('5:38\n', '4\n')
('5:37\n', '4\n')
('5:36\n', '4\n')
('5:36\n', '4\n')
('5:36\n', '4\n')
('5:36\n', '4\n')
('5:36\n', '4\n')
('4:58\n', '4\n')
('4:57\n', '4\n')
('4:56\n', '4\n')
('4:55\n', '4\n')
('4:54\n', '4\n')
('4:53\n', '4\n')
('4:51\n', '4\n')
('4:33\n', '4\n')
('4:31\n', '4\n')
('4:31\n', '4\n')
('4:30\n', '4\n')
('4:29\n', '4\n')
('4:28\n', '4\n')
('4:27\n', '4\n')
('2:13\n', '4\n')
('2:12\n', '4\n')
('2:11\n', '4\n')
('2:10\n', '4\n')
('2:09\n', '4\n')
('2:07\n', '4\n')
('1:53\n', '4\n')
('1:52\n', '4\n')
('1:51\n', '4\n')
('1:50\n', '4\n')
('1:49\n', '4\n')
('1:48\n', '4\n')
('1:48\n', '4\n')
('1:48\n', '4\n')
('1:48\n', '4\n')
('1:47\n', '4\n')
('24.7\n', '4\n')
('23.7\n', '4\n')
('22.7\n', '4\n')
('21.7\n', '4\n')
('20.7\n', '4\n')
(':20.3\n', '4\n')
(':04\n', '41\n')
(':04\n', '41\n')
(':04\n', '41\n')
(':03\n', '41\n')
(':02\n', '41\n')
(':02\n', '41\n')
