('6:39\n', '1\n')
('6:38\n', '1\n')
('6:37\n', '1\n')
('6:36\n', '1\n')
('6:35\n', '1\n')
('6:34\n', '1\n')
('6:33\n', '1\n')
('4:31\n', '1\n')
('4:30\n', '1\n')
('4:29\n', '1\n')
('4:28\n', '11\n')
('4:27\n', '1\n')
('4:27\n', '1\n')
('2:25\n', '1\n')
('2:24\n', '1\n')
('2:23\n', '1\n')
('2:22\n', '1\n')
('2:21\n', '1\n')
('2:20\n', '1\n')
('2:15\n', '1\n')
('7:38\n', '2\n')
('1:37\n', '2\n')
('7:36\n', '2\n')
('7:35\n', '2\n')
('7:34\n', '2\n')
('7:33\n', '2\n')
('7:32\n', '2\n')
('7:28\n', '2\n')
('1:27\n', '2\n')
('5:56\n', '2\n')
('5:55\n', '2\n')
('5:54\n', '2\n')
('5:53\n', '2\n')
('5:52\n', '2\n')
('5:51\n', '2\n')
('140.2\n', '2\n')
(':39.2\n', '2\n')
(':38.2\n', '2\n')
('37.2\n', '2\n')
(':36.2\n', '2\n')
(':35.2\n', '2\n')
(':35.1\n', '2\n')
(':35.1\n', '2\n')
(':35.1\n', '2\n')
('5:47\n', '3\n')
('5:46\n', '3\n')
('5:45\n', '3\n')
('5:44\n', '3\n')
('5:43\n', '3\n')
('5:42\n', '3\n')
('5:41\n', '3\n')
('3:55\n', '3\n')
('3:54\n', '3\n')
('3:53\n', '3\n')
('3:52\n', '3\n')
('3:51\n', '3\n')
('3:50\n', '3\n')
('3:49\n', '3\n')
('2:26\n', '3\n')
('2:25\n', '3\n')
('2:24\n', '3\n')
('2:23\n', '3\n')
('2:22\n', '3\n')
('2:22\n', '3\n')
('2:22\n', '3\n')
('9:32\n', '4\n')
('9:31\n', '4\n')
('9:30\n', '4\n')
('9:29\n', '4\n')
('9:28\n', '4\n')
('9:28\n', '4\n')
('8:40\n', '4\n')
('8:39\n', '4\n')
('8:38\n', '4\n')
('8:37\n', '4\n')
('8:36\n', '4\n')
('8:35\n', '4\n')
('8:34\n', '4\n')
('8:34\n', '4\n')
('5:00\n', '4\n')
('4:59\n', '4\n')
('4:58\n', '4\n')
('4:57\n', '4\n')
('4:56\n', '4\n')
('4:55\n', '4\n')
('4:53\n', '4\n')
('4:52\n', '4\n')
('1:40\n', '4\n')
('1:39\n', '4\n')
('1:38\n', '4\n')
('1:37\n', '4\n')
('1:36\n', '4\n')
(':20.0\n', '4\n')
('119.0\n', '4\n')
(':18.0\n', '4\n')
(':17.0\n', '4\n')
(':16.1\n', '4\n')
(':16.1\n', '4\n')
