('9:49\n', '1\n')
('9:48\n', '1\n')
('9:47\n', '1\n')
('9:46\n', '1\n')
('9:45\n', '1\n')
('9:44\n', '1\n')
('9:43\n', '1\n')
('9:42\n', '1\n')
('9:41\n', '1\n')
('8:11\n', '1\n')
('8:10\n', '1\n')
('8:07\n', '1\n')
('4:22\n', '1\n')
('4:21\n', '1\n')
('4:20\n', '1\n')
('4:19\n', '1\n')
('4:18\n', '1\n')
('4:17\n', '1\n')
('3:23\n', '1\n')
('3:23\n', '1\n')
('3:22\n', '1\n')
('3:21\n', '1\n')
('3:20\n', '1\n')
('3:20\n', '1\n')
('3:20\n', '1\n')
('10:52\n', '2\n')
('10:51\n', '41\n')
('10:50\n', '2\n')
('10:50\n', '2\n')
('10:49\n', '2\n')
('1:38\n', '41\n')
('1:37\n', '2\n')
('1:36\n', '2\n')
('1:35\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('1:27\n', '4\n')
('1:26\n', '2\n')
('1:25\n', '2\n')
(':39.5\n', '2\n')
(':38.6\n', '2\n')
(':37.6\n', '2\n')
(':36.6\n', '2\n')
(':35.6\n', '2\n')
(':35.3\n', '2\n')
(':35.3\n', '2\n')
('11:19\n', '3\n')
('11:18\n', '3\n')
('11:17\n', '3\n')
('11:16\n', '3\n')
('11:15\n', '3\n')
('11:14\n', '3\n')
('11:13\n', '3\n')
('11:12\n', '3\n')
('11:11\n', '3\n')
('5:38\n', '3\n')
('5:37\n', '3\n')
('5:36\n', '3\n')
('5:35\n', '3\n')
('5:34\n', '3\n')
('5:33\n', '3\n')
('5:32\n', '3\n')
('5:31\n', '3\n')
('5:29\n', '3\n')
('5:28\n', '3\n')
('4:03\n', '3\n')
('4:02\n', '3\n')
('4:01\n', '3\n')
('4:00\n', '3\n')
('3:59\n', '3\n')
('3:58\n', '3\n')
('3:57\n', '3\n')
('10:22\n', '4\n')
('10:21\n', '4\n')
('10:20\n', '4\n')
('10:19\n', '4\n')
('10:17\n', '4\n')
('10:16\n', '4\n')
('10:15\n', '4\n')
('7:30\n', '4\n')
('7:29\n', '4\n')
('1:28\n', '4\n')
('71:27\n', '4\n')
('7:26\n', '4\n')
('7:26\n', '4\n')
('1:25\n', '4\n')
('7:20\n', '4\n')
('7:19\n', '4\n')
('7:18\n', '4\n')
('1:07\n', '4\n')
('1:06\n', '4\n')
('1:05\n', '4\n')
('1:04\n', '4\n')
('1:03\n', '4\n')
('1:02\n', '4\n')
('1:02\n', '4\n')
('1:00\n', '4\n')
('1:00\n', '4\n')
('59.7\n', '4\n')
(':59.3\n', '4\n')
