('10:03\n', '1\n')
('10:02\n', '1\n')
('10:01\n', '1\n')
('10:00\n', '1\n')
('9:57\n', '1\n')
('9:54\n', '1\n')
('9:53\n', '1\n')
('6:01\n', '1\n')
('5:57\n', '1\n')
('5:54\n', '1\n')
('3:43\n', '1\n')
('3:42\n', '1\n')
('3:42\n', '1\n')
('3:41\n', '1\n')
('3:40\n', '1\n')
('3:39\n', '1\n')
('3:38\n', '1\n')
('3:37\n', '1\n')
('9:44\n', '2\n')
('9:43\n', '2\n')
('9:42\n', '2\n')
('9:41\n', '2\n')
('9:38\n', '2\n')
('9:37\n', '2\n')
('7:42\n', '2\n')
('7:41\n', '2\n')
('7:40\n', '2\n')
('7:39\n', '2\n')
('7:38\n', '2\n')
('7:37\n', '2\n')
('7:36\n', '2\n')
('7:33\n', '2\n')
('7:31\n', '2\n')
('6:18\n', '2\n')
('6:17\n', '2\n')
('6:16\n', '2\n')
('6:15\n', '2\n')
('6:15\n', '2\n')
('8:11\n', '3\n')
('8:10\n', '3\n')
('8:07\n', '3\n')
('6:54\n', '3\n')
('6:54\n', '3\n')
('6:53\n', '3\n')
('6:51\n', '3\n')
('2:53\n', '3\n')
('2:52\n', '3\n')
('2:51\n', '3\n')
('2:50\n', '3\n')
('2:49\n', '3\n')
('.\n', '1\n')
('2:07\n', '3\n')
('2:06\n', '3\n')
('2:05\n', '3\n')
('2:04\n', '3\n')
('2:03\n', '3\n')
('2:02\n', '3\n')
('11:43\n', '4\n')
('11:42\n', '4\n')
('11:41\n', '4\n')
('11:40\n', '4\n')
('11:39\n', '4\n')
('11:39\n', '4\n')
('11:39\n', '4\n')
('11:39\n', '4\n')
('11:39\n', '4\n')
('10:02\n', '4\n')
('10:01\n', '4\n')
('10:00\n', '4\n')
('9:57\n', '4\n')
('5:59\n', '4\n')
('5:58\n', '4\n')
('5:57\n', '4\n')
('5:56\n', '4\n')
('5:54\n', '4\n')
('5:54\n', '4\n')
('5:51\n', '4\n')
