('7:32\n', '1\n')
('7:31\n', '1\n')
('7:30\n', '1\n')
('7:29\n', '1\n')
('7:28\n', '1\n')
('7:27\n', '1\n')
('3:41\n', '1\n')
('3:40\n', '1\n')
('3:39\n', '1\n')
('3:38\n', '1\n')
('3:37\n', '1\n')
('3:36\n', '1\n')
('3:35\n', '1\n')
('3:32\n', '1\n')
('3:31\n', '1\n')
('9:41\n', '2\n')
('9:40\n', '2\n')
('9:39\n', '2\n')
('9:38\n', '2\n')
('9:37\n', '2\n')
('9:36\n', '2\n')
('9:35\n', '2\n')
('9:35\n', '2\n')
('9:35\n', '2\n')
('9:35\n', '2\n')
('9:35\n', '2\n')
('9:33\n', '2\n')
('9:33\n', '2\n')
('9:33\n', '2\n')
('9:33\n', '2\n')
('7:07\n', '2\n')
('7:06\n', '2\n')
('7:05\n', '2\n')
('7:04\n', '2\n')
('7:03\n', '2\n')
('7:02\n', '2\n')
('7:01\n', '2\n')
('4:48\n', '2\n')
('4:47\n', '2\n')
('4:46\n', '2\n')
('4:45\n', '2\n')
('4:44\n', '2\n')
('4:43\n', '2\n')
('2:43\n', '2\n')
('2:42\n', '2\n')
('2:41\n', '2\n')
('2:41\n', '2\n')
('2:40\n', '2\n')
('2:39\n', '2\n')
('2:38\n', '2\n')
('33.7\n', '2\n')
('32.7\n', '2\n')
('31.8\n', '2\n')
(':30.8\n', '2\n')
(':30.3\n', '2\n')
('9:59\n', '3\n')
('9:58\n', '3\n')
('9:57\n', '3\n')
('9:56\n', '3\n')
('9:55\n', '3\n')
('9:54\n', '3\n')
('9:53\n', '3\n')
('9:52\n', '3\n')
('7:08\n', '3\n')
('7:07\n', '3\n')
('7:06\n', '3\n')
('7:05\n', '3\n')
('7:04\n', '3\n')
('7:03\n', '3\n')
('6:06\n', '3\n')
('6:05\n', '3\n')
('6:04\n', '3\n')
('6:03\n', '3\n')
('6:02\n', '3\n')
('6:01\n', '3\n')
('1:04\n', '3\n')
('1:03\n', '3\n')
('1:03\n', '3\n')
('1:01\n', '3\n')
('1:01\n', '3\n')
('1:00\n', '3\n')
('59.4\n', '3\n')
('59.4\n', '3\n')
('10:05\n', '4\n')
('10:04\n', '4\n')
('10:03\n', '4\n')
('10:02\n', '4\n')
('10:01\n', '4\n')
('10:00\n', '4\n')
('9:59\n', '4\n')
('9:57\n', '4\n')
('9:57\n', '4\n')
('9:56\n', '4\n')
