('6:11\n', '1\n')
('6:10\n', '1\n')
('6:09\n', '1\n')
('6:08\n', '1\n')
('6:07\n', '1\n')
('6:06\n', '1\n')
('7:20\n', '2\n')
('7:19\n', '2\n')
('7:19\n', '2\n')
('7:19\n', '2\n')
('7:19\n', '2\n')
('6:10\n', '2\n')
('6:09\n', '2\n')
('6:08\n', '2\n')
('6:08\n', '2\n')
('6:07\n', '2\n')
('5:20\n', '2\n')
('5:19\n', '2\n')
('5:18\n', '2\n')
('5:17\n', '2\n')
('5:16\n', '2\n')
('57.0\n', '2\n')
(':56.0\n', '2\n')
(':55.1\n', '2\n')
('54.1\n', '2\n')
(':53.1\n', '2\n')
(':52.3\n', '2\n')
('10:10\n', '3\n')
('10:09\n', '3\n')
('10:08\n', '3\n')
('10:07\n', '3\n')
('1:32\n', '3\n')
('1:31\n', '3\n')
('1:30\n', '3\n')
('1:29\n', '3\n')
('1:28\n', '3\n')
('1:27\n', '3\n')
('1:26\n', '3\n')
('1:25\n', '3\n')
(':05.6\n', '3\n')
(':04.6\n', '3\n')
(':03.6\n', '3\n')
(':02.6\n', '3\n')
(':01.6\n', '3\n')
(':00.6\n', '3\n')
(':00.0\n', '3\n')
(':00.0\n', '3\n')
('11:40\n', '41\n')
('11:39\n', '41\n')
('11:38\n', '41\n')
('11:37\n', '4\n')
('9:27\n', '41\n')
('9:26\n', '41\n')
('9:25\n', '41\n')
('9:24\n', '41\n')
('9:23\n', '41\n')
('7:49\n', '41\n')
('7:48\n', '41\n')
('71:47\n', '41\n')
('7:46\n', '41\n')
('7:45\n', '41\n')
('7:44\n', '41\n')
('7:43\n', '41\n')
('4:54\n', '4\n')
('4:53\n', '4\n')
('4:52\n', '41\n')
('4:51\n', '41\n')
('4:50\n', '41\n')
('4:49\n', '41\n')
('4:29\n', '41\n')
('4:28\n', '41\n')
('4:27\n', '41\n')
('4:26\n', '41\n')
('4:25\n', '41\n')
('4:24\n', '4\n')
('4:23\n', '41\n')
('4:22\n', '41\n')
('4:21\n', '41\n')
('2:00\n', '41\n')
('1:59\n', '41\n')
('1:58\n', '41\n')
('1:57\n', '41\n')
('1:56\n', '41\n')
('1:55\n', '41\n')
('1:55\n', '41\n')
('212.3\n', '41\n')
('11.4\n', '41\n')
('210.4\n', '4\n')
(':09.9\n', '41\n')
(':09.9\n', '41\n')
(':09.9\n', '41\n')
('9\n', '4\n')
('. .\n', '4\n')
