('11:12\n', '1\n')
('11:11\n', '1\n')
('11:10\n', '1\n')
('11:09\n', '1\n')
('11:08\n', '1\n')
('11:07\n', '1\n')
('10:28\n', '1\n')
('10:28\n', '1\n')
('10:28\n', '1\n')
('10:28\n', '1\n')
('10:29\n', '1\n')
('10:29\n', '1\n')
('10:29\n', '1\n')
('6:55\n', '1\n')
('6:54\n', '1\n')
('6:53\n', '1\n')
('6:52\n', '1\n')
('6:51\n', '1\n')
('6:50\n', '1\n')
('6:49\n', '1\n')
('6:45\n', '1\n')
('6:44\n', '1\n')
('5:05\n', '1\n')
('5:04\n', '1\n')
('5:03\n', '1\n')
('5:02\n', '1\n')
('5:01\n', '1\n')
('5:00\n', '1\n')
('4:59\n', '1\n')
('4:58\n', '1\n')
('4:57\n', '1\n')
('4:56\n', '1\n')
('2:08\n', '1\n')
('2:07\n', '1\n')
('2:06\n', '1\n')
('2:05\n', '1\n')
('2:04\n', '1\n')
('2:03\n', '1\n')
('2:02\n', '1\n')
('8:12\n', '2\n')
('8:11\n', '2\n')
('8:10\n', '2\n')
('8:07\n', '2\n')
('8:05\n', '2\n')
('8:04\n', '2\n')
('2:25\n', '2\n')
('2:24\n', '2\n')
('2:23\n', '2\n')
('2:22\n', '2\n')
('2:21\n', '2\n')
('2:20\n', '2\n')
('31.2\n', '2\n')
(':36.3\n', '2\n')
(':35.3\n', '2\n')
(':34.3\n', '2\n')
(':33.3\n', '2\n')
(':33.1\n', '2\n')
(':33.1\n', '2\n')
(':33.1\n', '2\n')
(':33.1\n', '2\n')
('9:26\n', '3\n')
('9:25\n', '3\n')
('9:24\n', '3\n')
('9:23\n', '3\n')
('9:22\n', '3\n')
('9:21\n', '3\n')
('9:20\n', '3\n')
('4:39\n', '3\n')
('4:38\n', '3\n')
('4:37\n', '3\n')
('4:36\n', '3\n')
('4:35\n', '3\n')
('2:58\n', '3\n')
('2:57\n', '3\n')
('2:56\n', '3\n')
('2:55\n', '3\n')
('2:54\n', '3\n')
('2:53\n', '3\n')
('2:52\n', '3\n')
('0:04\n', '3\n')
('0:03\n', '3\n')
('0:02\n', '3\n')
('0:01\n', '3\n')
('0:00\n', '3\n')
('0:00\n', '3\n')
('0:00\n', '3\n')
('7:08\n', '4\n')
('71:07\n', '4\n')
('7:06\n', '4\n')
('7:05\n', '4\n')
('7:04\n', '4\n')
('7:03\n', '4\n')
('7:02\n', '4\n')
('4:48\n', '4\n')
('4:47\n', '4\n')
('4:46\n', '4\n')
('4:45\n', '4\n')
('4:45\n', '4\n')
('4:45\n', '4\n')
('4:45\n', '4\n')
('4:45\n', '4\n')
('4:45\n', '4\n')
('4:45\n', '4\n')
