('9:48\n', '1\n')
('9:47\n', '1\n')
('9:46\n', '1\n')
('9:45\n', '1\n')
('9:44\n', '1\n')
('9:43\n', '1\n')
('9:42\n', '1\n')
('9:41\n', '11\n')
('11:31\n', '3\n')
('11:30\n', '3\n')
('11:29\n', '3\n')
('11:29\n', '3\n')
('11:29\n', '3\n')
('11:29\n', '3\n')
('11:29\n', '3\n')
('8:11\n', '4\n')
('8:10\n', '4\n')
('8:07\n', '4\n')
('8:05\n', '4\n')
('8:04\n', '4\n')
('6:04\n', '4\n')
('6:03\n', '4\n')
('6:02\n', '4\n')
('6:01\n', '4\n')
('5:59\n', '4\n')
('5:58\n', '4\n')
('5:58\n', '4\n')
('2:17\n', '4\n')
('2:16\n', '4\n')
('2:15\n', '4\n')
('2:14\n', '4\n')
('2:13\n', '4\n')
('2:12\n', '4\n')
('2:11\n', '4\n')
('2:10\n', '4\n')
('2:09\n', '4\n')
('123.5\n', '4\n')
('122.6\n', '4\n')
('121.6\n', '4\n')
(':20.6\n', '4\n')
(':20.2\n', '4\n')
('20.2\n', '4\n')
(':20\n', '41\n')
(':01\n', '4\n')
(':01\n', '4\n')
(':01\n', '4\n')
(':00\n', '4\n')
(':00\n', '4\n')
(':00\n', '4\n')
