('9:22\n', '11\n')
('9:21\n', '11\n')
('9:20\n', '11\n')
('9:19\n', '11\n')
('9:18\n', '11\n')
('8:17\n', '1\n')
('7:20\n', '11\n')
('7:19\n', '1\n')
('7:18\n', '1\n')
('7:17\n', '1\n')
('7:16\n', '11\n')
('7:15\n', '1\n')
('7:12\n', '1\n')
('7:11\n', '11\n')
('3:51\n', '11\n')
('3:50\n', '11\n')
('3:49\n', '11\n')
('3:48\n', '1\n')
('3:47\n', '11\n')
('3:46\n', '11\n')
('3:43\n', '11\n')
('3:42\n', '1\n')
('3:41\n', '1\n')
('9:52\n', '2\n')
('9:51\n', '2\n')
('9:50\n', '2\n')
('9:49\n', '2\n')
('9:48\n', '2\n')
('9:47\n', '2\n')
('9:44\n', '2\n')
('9:43\n', '2\n')
('5:34\n', '2\n')
('5:33\n', '2\n')
('5:32\n', '2\n')
('5:31\n', '2\n')
('5:30\n', '2\n')
('5:29\n', '2\n')
('5:24\n', '2\n')
('5:23\n', '2\n')
('5:22\n', '2\n')
('5:21\n', '2\n')
('5:20\n', '2\n')
('4:20\n', '2\n')
('4:20\n', '2\n')
('4:19\n', '2\n')
('4:18\n', '2\n')
('4:17\n', '2\n')
('4:16\n', '2\n')
('4:15\n', '2\n')
('4:12\n', '2\n')
('4:11\n', '2\n')
('2:26\n', '2\n')
('2:25\n', '2\n')
('2:24\n', '2\n')
('2:23\n', '2\n')
('2:22\n', '2\n')
('2:27\n', '2\n')
('2:19\n', '2\n')
(':47.0\n', '2\n')
(':46.0\n', '2\n')
(':45.0\n', '2\n')
(':44.0\n', '2\n')
(':43.1\n', '2\n')
('42.1\n', '2\n')
('41.1\n', '2\n')
(':40.6\n', '2\n')
('9:17\n', '3\n')
('9:16\n', '3\n')
('9:15\n', '3\n')
('9:14\n', '3\n')
('9:13\n', '3\n')
('9:12\n', '3\n')
('9:07\n', '3\n')
('7:50\n', '3\n')
('7:49\n', '3\n')
('7:48\n', '3\n')
('7:47\n', '3\n')
('7:46\n', '3\n')
('7:45\n', '3\n')
('7:42\n', '3\n')
('7:41\n', '3\n')
('7:40\n', '3\n')
('6:33\n', '3\n')
('6:32\n', '3\n')
('6:31\n', '3\n')
('6:30\n', '3\n')
('6:29\n', '3\n')
('6:28\n', '3\n')
('6:27\n', '3\n')
('0:04\n', '3\n')
('0:03\n', '3\n')
('0:02\n', '3\n')
('0:01\n', '3\n')
('0:01\n', '3\n')
('8:50\n', '4\n')
('8:49\n', '4\n')
('8:48\n', '4\n')
('8:47\n', '4\n')
('8:46\n', '4\n')
('2:52\n', '4\n')
('2:51\n', '4\n')
('2:50\n', '4\n')
('2:49\n', '4\n')
('2:48\n', '4\n')
('2:47\n', '4\n')
('2:44\n', '4\n')
('2:44\n', '4\n')
('2:43\n', '4\n')
