('71:25\n', '1\n')
('7:24\n', '1\n')
('7:23\n', '1\n')
('1:22\n', '1\n')
('1:21\n', '1\n')
('7:20\n', '1\n')
('4:51\n', '1\n')
('4:50\n', '1\n')
('4:49\n', '1\n')
('4:48\n', '1\n')
('4:47\n', '1\n')
('4:46\n', '1\n')
('4:45\n', '1\n')
('4:32\n', '1\n')
('4:31\n', '1\n')
('4:30\n', '1\n')
('4:29\n', '1\n')
('4:28\n', '1\n')
('4:27\n', '1\n')
('4:26\n', '1\n')
('4:25\n', '1\n')
('4:24\n', '1\n')
('4:23\n', '1\n')
('10:46\n', '2\n')
('10:45\n', '2\n')
('10:44\n', '2\n')
('10:43\n', '2\n')
('10:42\n', '2\n')
('71:20\n', '2\n')
('7:19\n', '2\n')
('7:18\n', '2\n')
('1:17\n', '2\n')
('7:16\n', '2\n')
('7:15\n', '2\n')
('7:14\n', '2\n')
('71:13\n', '2\n')
('3:38\n', '2\n')
('3:37\n', '2\n')
('3:36\n', '2\n')
('3:35\n', '2\n')
('3:34\n', '2\n')
('3:33\n', '2\n')
('3:32\n', '2\n')
('3:31\n', '2\n')
('9:31\n', '3\n')
('9:30\n', '3\n')
('9:29\n', '3\n')
('9:28\n', '3\n')
('9:27\n', '3\n')
('9:26\n', '3\n')
('9:25\n', '3\n')
('4:21\n', '3\n')
('4:20\n', '3\n')
('4:19\n', '3\n')
('4:18\n', '3\n')
('4:17\n', '3\n')
('4:16\n', '3\n')
('4:15\n', '3\n')
('4:14\n', '3\n')
('4:13\n', '3\n')
('4:12\n', '3\n')
('4:12\n', '3\n')
('4:12\n', '3\n')
('4:12\n', '3\n')
(':48.1\n', '3\n')
('47.2\n', '3\n')
(':46.2\n', '3\n')
(':45.2\n', '3\n')
(':44.2\n', '3\n')
(':43.2\n', '3\n')
(':42.2\n', '3\n')
(':42.0\n', '3\n')
(':14.2\n', '3\n')
(':13.2\n', '3\n')
('12.2\n', '3\n')
(':11.2\n', '3\n')
(':10.3\n', '3\n')
(':09.3\n', '3\n')
(':09.2\n', '3\n')
('0:09\n', '3\n')
('0:08\n', '3\n')
('0:07\n', '3\n')
('10:44\n', '4\n')
('10:43\n', '4\n')
('10:42\n', '4\n')
('10:41\n', '4\n')
('10:41\n', '4\n')
('10:41\n', '4\n')
('10:41\n', '4\n')
('10:41\n', '4\n')
('10:41\n', '4\n')
('10:41\n', '4\n')
