('7:26\n', '1\n')
('7:23\n', '1\n')
('7:22\n', '1\n')
('7:21\n', '1\n')
('6:19\n', '1\n')
('6:18\n', '1\n')
('6:17\n', '11\n')
('6:16\n', '1\n')
('6:15\n', '1\n')
('6:14\n', '11\n')
('1:25\n', '1\n')
('1:24\n', '1\n')
('1:23\n', '1\n')
('1:22\n', '11\n')
('1:21\n', '1\n')
('1:20\n', '11\n')
('1:19\n', '11\n')
('9:55\n', '2\n')
('9:54\n', '2\n')
('9:53\n', '2\n')
('9:52\n', '2\n')
('9:51\n', '2\n')
('9748\n', '2\n')
('2:54\n', '2\n')
('2:53\n', '2\n')
('2:52\n', '2\n')
('2:51\n', '2\n')
('2:50\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('2:45\n', '2\n')
('1:17\n', '2\n')
('1:16\n', '2\n')
('1:15\n', '2\n')
('1:14\n', '2\n')
('1:13\n', '2\n')
('1:12\n', '2\n')
('1:11\n', '2\n')
('1:10\n', '2\n')
('10:34\n', '3\n')
('10:33\n', '3\n')
('10:32\n', '3\n')
('10:31\n', '3\n')
('10:30\n', '3\n')
('10:29\n', '3\n')
('10:28\n', '3\n')
('4:49\n', '3\n')
('4:48\n', '3\n')
('4:47\n', '3\n')
('4:46\n', '3\n')
('4:45\n', '3\n')
('4:44\n', '3\n')
('4:43\n', '3\n')
('4:40\n', '3\n')
('4:39\n', '3\n')
('1:47\n', '3\n')
('1:46\n', '3\n')
('1:45\n', '3\n')
('1:44\n', '3\n')
('1:43\n', '3\n')
('8:55\n', '41\n')
('8:54\n', '41\n')
('8:53\n', '41\n')
('8:52\n', '41\n')
('8:51\n', '41\n')
('8:50\n', '41\n')
('6:34\n', '41\n')
('6:33\n', '41\n')
('6:32\n', '41\n')
('6:31\n', '41\n')
('6:30\n', '41\n')
('6:29\n', '41\n')
('6:28\n', '41\n')
('6:27\n', '41\n')
('5:54\n', '41\n')
('5:53\n', '414\n')
('5:52\n', '41\n')
('5:51\n', '41\n')
('5:50\n', '41\n')
('5:50\n', '41\n')
('5:49\n', '41\n')
('3:5\n', '41\n')
('3:50\n', '41\n')
('3:49\n', '41\n')
('3:48\n', '41\n')
('3:47\n', '41\n')
('3:46\n', '41\n')
('3:45\n', '41\n')
('3:44\n', '41\n')
('1:10\n', '41\n')
('1:09\n', '41\n')
('1:08\n', '41\n')
('1:07\n', '41\n')
('1:06\n', '41\n')
('1:05\n', '41\n')
('34.4\n', '414\n')
('133.4\n', '41\n')
('132.4\n', '41\n')
(':31.4\n', '41\n')
(':30.4\n', '41\n')
('129.5\n', '41\n')
('128.5\n', '41\n')
(':28.1\n', '41\n')
('28:1\n', '41\n')
('14.2\n', '41\n')
('113.2\n', '41\n')
('112.3\n', '41\n')
('11.3\n', '41\n')
('110.3\n', '41\n')
(':09.3\n', '41\n')
(':08.3\n', '41\n')
(':07.3\n', '41\n')
(':06.3\n', '41\n')
('105.4\n', '41\n')
('104.4\n', '41\n')
('103.4\n', '41\n')
('102.4\n', '41\n')
('101.4\n', '41\n')
(':00.5\n', '41\n')
(':00.0\n. .\n', '41\n')
