('4\n', '1\n')
('7:48\n', '11\n')
('7:47\n', '11\n')
('7:46\n', '11\n')
('7:45\n', '11\n')
('7:44\n', '11\n')
('7:43\n', '11\n')
('7:42\n', '11\n')
('7:41\n', '1\n')
('7:40\n', '1\n')
('7:39\n', '11\n')
('7:38\n', '11\n')
('7:37\n', '11\n')
('7:36\n', '11\n')
('7:35\n', '1\n')
('5:21\n', '11\n')
('5:20\n', '11\n')
('519\n', '11\n')
('518\n', '11\n')
('517\n', '11\n')
('5:16\n', '11\n')
('515\n', '11\n')
('2:40\n', '11\n')
('2:39\n', '11\n')
('2:38\n', '11\n')
('2:37\n', '11\n')
('2:36\n', '11\n')
('2:35\n', '11\n')
('2:34\n', '11\n')
('2:33\n', '1\n')
('2:32\n', '1\n')
('541\n', '2\n')
('540\n', '2\n')
('5:39\n', '2\n')
('5:38\n', '2\n')
('5:37\n', '2\n')
('5:36\n', '2\n')
('5:35\n', '2\n')
('5:34\n', '2\n')
('2:15\n', '2\n')
('2:14\n', '2\n')
('2:13\n', '2\n')
('2:12\n', '2\n')
('2:11\n', '2\n')
('2:10\n', '2\n')
('2:09\n', '2\n')
('2:08\n', '2\n')
('2:07\n', '2\n')
('2:06\n', '2\n')
('2:09\n', '3\n')
('2:08\n', '3\n')
('2:07\n', '3\n')
('2:06\n', '3\n')
('2:05\n', '3\n')
('2:04\n', '3\n')
('2:03\n', '3\n')
('2:02\n', '3\n')
('2:01\n', '3\n')
('2:00\n', '3\n')
('09.4\n', '3\n')
('08.4\n', '3\n')
('07.4\n', '3\n')
('06.4\n', '3\n')
('06.0\n', '3\n')
('06.0\n', '3\n')
('06.0\n', '3\n')
('06.0\n', '3\n')
('11:50\n', '414\n')
('11:49\n', '414\n')
('11:48\n', '414\n')
('11:47\n', '414\n')
('11:46\n', '4\n')
('11:45\n', '414\n')
('11:45\n', '414\n')
('11:23\n', '414\n')
('11:23\n', '4\n')
('7:13\n', '41\n')
('7:12\n', '4\n')
('7:11\n', '4\n')
('7:10\n', '4\n')
('7:09\n', '4\n')
('2:43\n', '414\n')
('2:42\n', '414\n')
('2:41\n', '414\n')
('2:40\n', '41\n')
('2:39\n', '41\n')
('2:38\n', '4\n')
('2:37\n', '41\n')
('45.4\n', '41\n')
('44.4\n', '41\n')
('43.4\n', '41\n')
('42.4\n', '41\n')
('41.4\n', '414\n')
('40.4\n', '41\n')
('39.5\n', '41\n')
('39.5\n', '414\n')
('39.5\n', '4\n')
('39.5\n', '41\n')
('10.7\n', '414\n')
('09.7\n', '414\n')
('08.7\n', '4\n')
('07.7\n', '41\n')
('06.7\n', '41\n')
('05.7\n', '414\n')
('04.8\n', '414\n')
('03.8\n', '41\n')
('01.8\n', '41\n')
('00.8\n', '41\n')
('00.0\n', '41\n')
('00.0\n', '41\n')
