('8:11\n', '11\n')
('8:10\n', '1\n')
('8:07\n', '1\n')
('8:02\n', '11\n')
('8:01\n', '1\n')
('6:50\n', '1\n')
('6:49\n', '1\n')
('6:48\n', '1\n')
('6:47\n', '1\n')
('6:46\n', '1\n')
('6:44\n', '1\n')
('4:20\n', '1\n')
('4:19\n', '1\n')
('4:18\n', '1\n')
('4:17\n', '1\n')
('4:16\n', '1\n')
('4:15\n', '1\n')
('4:13\n', '1\n')
('4:12\n', '1\n')
('4:11\n', '1\n')
('3:08\n', '1\n')
('3:07\n', '1\n')
('3:06\n', '1\n')
('3:05\n', '1\n')
('3:04\n', '1\n')
('3:01\n', '1\n')
('3:00\n', '1\n')
('7:37\n', '2\n')
('7:36\n', '2\n')
('7:35\n', '2\n')
('7:35\n', '2\n')
('7:35\n', '2\n')
('7:35\n', '2\n')
('7:35\n', '2\n')
('7:35\n', '2\n')
('7:35\n', '2\n')
('71:35\n', '2\n')
('7:35\n', '2\n')
('71:35\n', '2\n')
('7:35\n', '2\n')
('7:35\n', '2\n')
('4:02\n', '2\n')
('4:01\n', '2\n')
('4:00\n', '2\n')
('3:59\n', '2\n')
('3:58\n', '2\n')
('3:57\n', '2\n')
('3:56\n', '2\n')
('3:56\n', '2\n')
('1:45\n', '2\n')
('1:44\n', '2\n')
('1:43\n', '2\n')
('1:42\n', '2\n')
('1:41\n', '2\n')
('1:40\n', '2\n')
('8:34\n', '3\n')
('8:33\n', '3\n')
('8:32\n', '3\n')
('8:31\n', '3\n')
('8:30\n', '3\n')
('8:30\n', '3\n')
('8:30\n', '3\n')
('8:30\n', '3\n')
('8:30\n', '3\n')
('8:30\n', '3\n')
('7:03\n', '3\n')
('7:02\n', '3\n')
('7:01\n', '3\n')
('7:00\n', '3\n')
('7:00\n', '3\n')
('7:00\n', '3\n')
('7:00\n', '3\n')
('7:00\n', '3\n')
('2:09\n', '3\n')
('2:08\n', '3\n')
('2:07\n', '3\n')
('2:06\n', '3\n')
('2:05\n', '3\n')
('2:05\n', '3\n')
('2:05\n', '3\n')
('10:14\n', '4\n')
('10:13\n', '4\n')
('10:12\n', '4\n')
('10:11\n', '4\n')
('10:10\n', '4\n')
('10:09\n', '4\n')
('10:08\n', '4\n')
('10:07\n', '4\n')
('10:07\n', '4\n')
('10:07\n', '4\n')
('6:56\n', '4\n')
('6:55\n', '4\n')
('6:54\n', '4\n')
('6:53\n', '4\n')
('6:52\n', '4\n')
('6:51\n', '4\n')
('6:50\n', '4\n')
('6:50\n', '4\n')
('4:37\n', '4\n')
('4:36\n', '4\n')
('4:35\n', '4\n')
('4:34\n', '4\n')
('4:33\n', '4\n')
('4:32\n', '4\n')
('4:31\n', '4\n')
('4:31\n', '4\n')
('4:31\n', '4\n')
('3:07\n', '4\n')
('3:06\n', '4\n')
('3:05\n', '4\n')
('3:04\n', '4\n')
