('.\n', '1\n')
('10:05\n', '1\n')
('10:04\n', '1\n')
('10:03\n', '1\n')
('10:02\n', '1\n')
('10:01\n', '1\n')
('10:0\n', '1\n')
('9:59\n', '1\n')
('9:58\n', '1\n')
('9.57\n', '1\n')
('4:45\n', '1\n')
('4:44\n', '1\n')
('4:43\n', '1\n')
('4:42\n', '1\n')
('4:41\n', '1\n')
('4:40\n', '1\n')
('4:39\n', '1\n')
('3:49\n', '1\n')
('3:48\n', '1\n')
('3:47\n', '1\n')
('3:46\n', '1\n')
('3:45\n', '1\n')
('3:44\n', '1\n')
('3:43\n', '1\n')
('2.42\n', '1\n')
('2.07\n', '1\n')
('2.06\n', '1\n')
('2:05\n', '1\n')
('2.04\n', '1\n')
('2:01\n', '1\n')
('2:00\n', '1\n')
('8:23\n', '2\n')
('8:22\n', '2\n')
('8:21\n', '2\n')
('8:20\n', '2\n')
('8:19\n', '2\n')
('8:18\n', '2\n')
('3:41\n', '2\n')
('3:40\n', '2\n')
('3:39\n', '2\n')
('3:38\n', '2\n')
('3:37\n', '2\n')
('3:36\n', '2\n')
('3:35\n', '2\n')
('1:27\n', '2\n')
('1:26\n', '2\n')
('1:25\n', '2\n')
('1:24\n', '2\n')
('1:23\n', '2\n')
('1:22\n', '2\n')
('1:20\n', '2\n')
('1:19\n', '2\n')
('9:34\n', '3\n')
('9:33\n', '3\n')
('9:32\n', '3\n')
('9:31\n', '3\n')
('9:30\n', '3\n')
('9:29\n', '3\n')
('6:35\n', '3\n')
('6:33\n', '3\n')
('6:33\n', '3\n')
('6:32\n', '3\n')
('6:31\n', '3\n')
('6:28\n', '3\n')
('6:27\n', '3\n')
('2:06\n', '3\n')
('2:05\n', '3\n')
('2:04\n', '3\n')
('2:03\n', '3\n')
('2:02\n', '3\n')
('2.01\n', '3\n')
('1:58\n', '3\n')
('1:57\n', '3\n')
('9:08\n', '4\n')
('9:07\n', '4\n')
('9.06\n', '4\n')
('9:05\n', '4\n')
('9.04\n', '4\n')
('9:03\n', '4\n')
('9:02\n', '4\n')
('5:.2\n', '4\n')
('5:19\n', '4\n')
('5:18\n', '4\n')
('5:17\n', '4\n')
('5:16\n', '4\n')
('5:15\n', '4\n')
('5:14\n', '4\n')
('3:08\n', '4\n')
('3:07\n', '4\n')
('3:06\n', '4\n')
('3:05\n', '4\n')
('3:04\n', '4\n')
('3:03\n', '4\n')
('3:02\n', '4\n')
('3.02\n', '4\n')
('27.7\n', '4\n')
('26.7\n', '4\n')
('25.7\n', '4\n')
('24.7\n', '4\n')
('23.7\n', '4\n')
('22.8\n', '4\n')
('21.8\n', '4\n')
('20.8\n', '4\n')
('20.5\n', '4\n')
('20.5\n', '4\n')
('20.5\n', '4\n')
('12.4\n', '4\n')
('11.4\n', '4\n')
('10.5\n', '4\n')
('09.5\n', '4\n')
('08.5\n', '4\n')
('07.5\n', '4\n')
('06.5\n', '4\n')
('04.3\n', '4\n')
('03.4\n', '4\n')
('02.4\n', '4\n')
('01.4\n', '4\n')
(':00.4\n', '4\n')
(':00.0\n', '4\n')
