('10:55\n', '1\n')
('10:54\n', '1\n')
('10:53\n', '1\n')
('10:52\n', '1\n')
('10:51\n', '1\n')
('10:51\n', '1\n')
('9:15\n', '1\n')
('9:14\n', '1\n')
('9:13\n', '1\n')
('9:12\n', '1\n')
('9:11\n', '1\n')
('6:15\n', '1\n')
('6:14\n', '1\n')
('6:13\n', '1\n')
('6:12\n', '1\n')
('6:11\n', '1\n')
('6:10\n', '1\n')
('6:07\n', '1\n')
('10:09\n', '2\n')
('10:08\n', '2\n')
('10:07\n', '2\n')
('10:06\n', '2\n')
('10:05\n', '2\n')
('10:04\n', '2\n')
('10:03\n', '2\n')
('10:02\n', '2\n')
('10:01\n', '2\n')
('7:47\n', '2\n')
('7:46\n', '2\n')
('7:45\n', '2\n')
('71:44\n', '2\n')
('7:43\n', '2\n')
('7:42\n', '2\n')
('71:41\n', '2\n')
('7:41\n', '2\n')
('7:41\n', '2\n')
('5:18\n', '2\n')
('5:17\n', '2\n')
('5:16\n', '2\n')
('5:16\n', '2\n')
('5:15\n', '2\n')
('5:13\n', '2\n')
('5:12\n', '2\n')
('8:22\n', '3\n')
('8:21\n', '3\n')
('8:21\n', '3\n')
('8:20\n', '3\n')
('8:19\n', '3\n')
('8:14\n', '3\n')
('8:13\n', '3\n')
('8:12\n', '3\n')
('2:40\n', '3\n')
('2:39\n', '3\n')
('2:38\n', '3\n')
('2:38\n', '3\n')
('2:38\n', '3\n')
('2:38\n', '3\n')
('2:38\n', '3\n')
(':53.2\n', '3\n')
('152.2\n', '3\n')
('51.2\n', '3\n')
(':50.2\n', '3\n')
('149.3\n', '3\n')
('48.7\n', '3\n')
('0:03\n', '3\n')
('0:03\n', '3\n')
('0:02\n', '3\n')
('0:01\n', '3\n')
('0:00\n', '3\n')
('0:00\n', '3\n')
('11:30\n', '4\n')
('11:29\n', '4\n')
('11:28\n', '4\n')
('11:27\n', '4\n')
('11:26\n', '4\n')
('4:07\n', '4\n')
('4:06\n', '4\n')
('4:05\n', '4\n')
('4:04\n', '4\n')
('4:03\n', '4\n')
('3:56\n', '4\n')
('3:55\n', '4\n')
('3:54\n', '4\n')
('3:53\n', '4\n')
('3:52\n', '4\n')
('3:51\n', '4\n')
('1:05\n', '4\n')
('1:04\n', '4\n')
('1:03\n', '4\n')
('1:02\n', '4\n')
('1:01\n', '4\n')
('1:00\n', '4\n')
(':59.9\n', '4\n')
(':06\n', '4\n')
(':06\n', '4\n')
(':05\n', '4\n')
(':04\n', '4\n')
(':03\n', '41\n')
(':02\n', '4\n')
(':02\n', '4\n')
(':02\n', '41\n')
