('7:16\n', 'FIRST QUARTER\n')
('7:15\n', 'FIRST QUARTER\n')
('7:14\n', 'FIRST QUARTER\n')
('7:13\n', 'FIRST QUARTER\n')
('7:12\n', 'FIRST QUARTER\n')
('7:11\n', 'FIRST QUARTER\n')
('7:10\n', 'FIRST QUARTER\n')
('5:08\n', 'FIRST QUARTER\n')
('5:07\n', 'FIRST QUARTER\n')
('5:06\n', 'FIRST QUARTER\n')
('5:05\n', 'FIRST QUARTER\n')
('5:04\n', 'FIRST QUARTER\n')
('5:03\n', 'FIRST QUARTER\n')
('5:02\n', 'FIRST QUARTER\n')
('5:01\n', 'FIRST QUARTER\n')
('5:00\n', 'FIRST QUARTER\n')
('4:58\n', 'FIRST QUARTER\n')
('4:58\n', 'FIRST QUARTER\n')
('2:32\n', 'FIRST QUARTER\n')
('2:31\n', 'FIRST QUARTER\n')
('2:30\n', 'FIRST QUARTER\n')
('2:29\n', 'FIRST QUARTER\n')
('2:28\n', 'FIRST QUARTER\n')
('2:27\n', 'FIRST QUARTER\n')
('2:26\n', 'FIRST QUARTER\n')
('2:25\n', 'FIRST QUARTER\n')
('2:24\n', 'FIRST QUARTER\n')
('2:23\n', 'FIRST QUARTER\n')
('2:22\n', 'FIRST QUARTER\n')
('11:29\n', 'SECOND QUARTER\n')
('11:28\n', 'SECOND QUARTER\n')
('11:27\n', 'SECOND QUARTER\n')
('11:26\n', 'SECOND QUARTER\n')
('11:25\n', 'SECOND QUARTER\n')
('11:24\n', 'SECOND QUARTER\n')
('11:23\n', 'SECOND QUARTER\n')
('7:26\n', 'SECOND QUARTER\n')
('7:25\n', 'SECOND QUARTER\n')
('7:24\n', 'SECOND QUARTER\n')
('7:23\n', 'SECOND QUARTER\n')
('7:22\n', 'SECOND QUARTER\n')
('7:21\n', 'SECOND QUARTER\n')
('7:20\n', 'SECOND QUARTER\n')
('4:09\n', 'SECOND QUARTER\n')
('4:08\n', 'SECOND QUARTER\n')
('4.07\n', 'SECOND QUARTER\n')
('4:06\n', 'SECOND QUARTER\n')
('4:05\n', 'SECOND QUARTER\n')
('4:04\n', 'SECOND QUARTER\n')
('4:03\n', 'SECOND QUARTER\n')
('4:02\n', 'SECOND QUARTER\n')
('4:01\n', 'SECOND QUARTER\n')
('4:01\n', 'SECOND QUARTER\n')
('4:01\n', 'SECOND QUARTER\n')
('1:23\n', 'SECOND QUARTER\n')
('1:22\n', 'SECOND QUARTER\n')
('1:21\n', 'SECOND QUARTER\n')
('1:20\n', 'SECOND QUARTER\n')
('1:19\n', 'SECOND QUARTER\n')
('1:18\n', 'SECOND QUARTER\n')
('1:17\n', 'SECOND QUARTER\n')
('1:16\n', 'SECOND QUARTER\n')
('1:16\n', 'SECOND QUARTER\n')
('1:16\n', 'SECOND QUARTER\n')
('1:16\n', 'SECOND QUARTER\n')
('1:16\n', 'SECOND QUARTER\n')
('1:16\n', 'SECOND QUARTER\n')
('1:16\n', 'SECOND QUARTER\n')
('5:14\n', 'THIRD QUARTER\n')
('5:14\n', 'THIRD QUARTER\n')
('5:13\n', 'THIRD QUARTER\n')
('5:12\n', 'THIRD QUARTER\n')
('5:11\n', 'THIRD QUARTER\n')
('5:10\n', 'THIRD QUARTER\n')
('5:09\n', 'THIRD QUARTER\n')
('5:08\n', 'THIRD QUARTER\n')
('5:07\n', 'THIRD QUARTER\n')
('5:06\n', 'THIRD QUARTER\n')
('4:02\n', 'THIRD QUARTER\n')
('4:01\n', 'THIRD QUARTER\n')
('4:00\n', 'THIRD QUARTER\n')
('3:59\n', 'THIRD QUARTER\n')
('3:58\n', 'THIRD QUARTER\n')
('3:57\n', 'THIRD QUARTER\n')
('3:56\n', 'THIRD QUARTER\n')
('3:55\n', 'THIRD QUARTER\n')
('3:54\n', 'THIRD QUARTER\n')
('3:53\n', 'THIRD QUARTER\n')
('10:19\n', 'FOURTH QUARTER\n')
('10:18\n', 'FOURTH QUARTER\n')
('10:17\n', 'FOURTH QUARTER\n')
('10:16\n', 'FOURTH QUARTER\n')
('10:15\n', 'FOURTH QUARTER\n')
('10:14\n', 'FOURTH QUARTER\n')
('5:39\n', 'FOURTH QUARTER\n')
('5:38\n', 'FOURTH QUARTER\n')
('5:37\n', 'FOURTH QUARTER\n')
('5:36\n', 'FOURTH QUARTER\n')
('5:35\n', 'FOURTH QUARTER\n')
('5:34\n', 'FOURTH QUARTER\n')
('5:33\n', 'FOURTH QUARTER\n')
('5:32\n', 'FORRTH QUARTER\n')
