('4\n', '4\n')
('5:44\n', '11\n')
('5:43\n', '11\n')
('5:42\n', '11\n')
('541\n', '11\n')
('5:40\n', '1\n')
('2:24\n', '11\n')
('2:23\n', '11\n')
('2:22\n', '11\n')
('2:21\n', '11\n')
('2:20\n', '11\n')
('1:22\n', '11\n')
('1:21\n', '11\n')
('1:20\n', '11\n')
('1:19\n', '11\n')
('1:18\n', '11\n')
('04.9\n', '11\n')
('03.9\n', '11\n')
('03.0\n', '11\n')
('02.0\n', '11\n')
('01.3\n', '11\n')
('5:04\n', '2\n')
('5:03\n', '2\n')
('5:02\n', '2\n')
('5:01\n', '2\n')
('5:00\n', '2\n')
('4:59\n', '2\n')
('4:58\n', '2\n')
('4:58\n', '2\n')
('2:11\n', '2\n')
('2:10\n', '2\n')
('2:09\n', '2\n')
('2:08\n', '2\n')
('2:07\n', '2\n')
('2:07\n', '2\n')
('1:50\n', '2\n')
('1:49\n', '2\n')
('1:48\n', '2\n')
('1:47\n', '2\n')
('1:46\n', '2\n')
('1:45\n', '2\n')
('8:31\n', '3\n')
('8:30\n', '3\n')
('8:29\n', '3\n')
('8:28\n', '3\n')
('8:27\n', '3\n')
('8:26\n', '3\n')
('3:25\n', '3\n')
('7:19\n', '3\n')
('7:18\n', '3\n')
('7:17\n', '3\n')
('7:16\n', '3\n')
('7:15\n', '3\n')
('4:51\n', '3\n')
('4:50\n', '3\n')
('4:49\n', '3\n')
('4:48\n', '3\n')
('4:47\n', '3\n')
('4:46\n', '3\n')
('3:13\n', '3\n')
('3:12\n', '3\n')
('3:11\n', '3\n')
('3:10\n', '3\n')
('3:09\n', '3\n')
('3:08\n', '3\n')
('3:06\n', '3\n')
('3:05\n', '3\n')
('2:29\n', '3\n')
('2:29\n', '3\n')
('2:28\n', '3\n')
('2:27\n', '3\n')
('2:26\n', '3\n')
('2:25\n', '3\n')
('2:23\n', '3\n')
('2:22\n', '3\n')
('10:40\n', '41\n')
('10:39\n', '41\n')
('10:38\n', '4\n')
('10:37\n', '41\n')
('10:36\n', '41\n')
('10:35\n', '4\n')
('10:34\n', '414\n')
('10:33\n', '41\n')
('5:25\n', '41\n')
('5:24\n', '414\n')
('5:23\n', '41\n')
('5:22\n', '41\n')
('5:22\n', '41\n')
('5:22\n', '41\n')
('5:00\n', '41\n')
('4:58\n', '4\n')
('4:57\n', '4\n')
('4:56\n', '414\n')
('4:55\n', '41\n')
('4:55\n', '41\n')
