('. .\n', '1\n')
('7:49\n', '1\n')
('7:48\n', '1\n')
('7:48\n', '1\n')
('7:47\n', '1\n')
('7:46\n', '1\n')
('5:48\n', '1\n')
('5:47\n', '1\n')
('5:46\n', '1\n')
('5:45\n', '1\n')
('5:44\n', '1\n')
('5:43\n', '1\n')
('1:00\n', '1\n')
('59.49\n', '1\n')
('58.49\n', '1\n')
('57.4\n', '1\n')
('56.5\n', '1\n')
('55.5\n', '1\n')
('54.5\n', '1\n')
('53.5\n', '1\n')
('16.0\n', '1\n')
('15.0\n', '1\n')
('14.0\n', '1\n')
('13.1\n', '1\n')
('12.1\n', '1\n')
('11.1\n', '1\n')
('10.1\n', '1\n')
('10.1\n', '1\n')
('10.1\n', '1\n')
('7:05\n', '2\n')
('7:04\n', '2\n')
('7:03\n', '2\n')
('7:02\n', '2\n')
('7:01\n', '2\n')
('7:00\n', '2\n')
('6:59\n', '2\n')
('5:03\n', '2\n')
('5:02\n', '2\n')
('5:01\n', '2\n')
('5:00\n', '2\n')
('4:59\n', '2\n')
('4:58\n', '2\n')
('4:57\n', '2\n')
('4:56\n', '2\n')
('4:55\n', '2\n')
('07.9\n', '2\n')
('06.9\n', '2\n')
('05.9\n', '2\n')
('04.9\n', '2\n')
('03.9\n', '2\n')
('03.0\n', '2\n')
('02.0\n', '2\n')
('9:37\n', '3\n')
('9:36\n', '3\n')
('9:35\n', '3\n')
('9:34\n', '3\n')
('9:33\n', '3\n')
('9:32\n', '3\n')
('4:57\n', '3\n')
('4:56\n', '3\n')
('4:55\n', '3\n')
('4:54\n', '3\n')
('4:53\n', '3\n')
('06.4\n', '3\n')
('05.49\n', '3\n')
('04.4\n', '3\n')
('03.49\n', '3\n')
('02.49\n', '3\n')
('01.4\n', '3\n')
('01.3\n', '3\n')
('4:59\n', '4\n')
('4:58\n', '4\n')
('4:57\n', '4\n')
('4:56\n', '4\n')
('4:56\n', '4\n')
('4:56\n', '4\n')
('1:52\n', '4\n')
('1:51\n', '4\n')
('1:49\n', '4\n')
('1:48\n', '4\n')
('1:47\n', '4\n')
('1:46\n', '4\n')
('1:46\n', '4\n')
('1:46\n', '4\n')
('1:46\n', '4\n')
('47.4\n', '4\n')
('46.4\n', '4\n')
('44.4\n', '4\n')
('43.5\n', '4\n')
