(':35.5\n', '1\n')
(':34.5\n', '1\n')
(':33.5\n', '1\n')
(':32.6\n', '1\n')
(':32.0\n', '1\n')
(':32.0\n', '1\n')
(':32.0\n', '1\n')
(':32.0\n', '1\n')
('32.0\n', '1\n')
(':32.0\n', '1\n')
('5:57\n', '2\n')
('5:55\n', '2\n')
('5:54\n', '2\n')
('5:53\n', '2\n')
('5:52\n', '2\n')
('5:51\n', '2\n')
('5:50\n', '2\n')
('5:49\n', '2\n')
('3:31\n', '2\n')
('3:30\n', '2\n')
('3:29\n', '2\n')
('3:28\n', '2\n')
('3:27\n', '2\n')
('3:27\n', '2\n')
('3:26\n', '2\n')
('40.1\n', '2\n')
(':39.2\n', '2\n')
(':38.2\n', '2\n')
('37.2\n', '2\n')
(':36.2\n', '2\n')
(':35.2\n', '2\n')
('35.0\n', '2\n')
(':35.0\n', '2\n')
('35.0\n', '2\n')
('9:07\n', '3\n')
('9:04\n', '3\n')
('9:03\n', '3\n')
('5:39\n', '3\n')
('5:38\n', '3\n')
('5:37\n', '3\n')
('5:36\n', '3\n')
('5:35\n', '3\n')
('5:34\n', '3\n')
('5:34\n', '3\n')
('5:34\n', '3\n')
('5:34\n', '3\n')
('3:58\n', '3\n')
('3:57\n', '3\n')
('3:56\n', '3\n')
('3:55\n', '3\n')
('3:55\n', '3\n')
('3:55\n', '3\n')
('3:55\n', '3\n')
(':08.1\n', '3\n')
('07.2\n', '3\n')
('0:05\n', '3\n')
('0:04\n', '3\n')
('0:03\n', '3\n')
('0:02\n', '3\n')
('0:02\n', '3\n')
('6:05\n', '4\n')
('6:04\n', '4\n')
('6:03\n', '4\n')
('6:02\n', '4\n')
('6:01\n', '4\n')
('5:59\n', '4\n')
('5:58\n', '4\n')
('1:51\n', '4\n')
('1:50\n', '4\n')
('1:49\n', '4\n')
('1:48\n', '4\n')
('1:47\n', '4\n')
('1:47\n', '4\n')
('1:47\n', '4\n')
('1:47\n', '4\n')
(':21\n', '4\n')
(':20\n', '41\n')
(':19\n', '41\n')
(':18\n', '41\n')
('17\n', '41\n')
(':16\n', '41\n')
(':16\n', '41\n')
(':09\n', '41\n')
(':08\n', '41\n')
(':07\n', '41\n')
(':06\n', '41\n')
(':05\n', '41\n')
(':04\n', '41\n')
(':04\n', '41\n')
(':04\n', '41\n')
(':04\n', '41\n')
(':04\n', '41\n')
(':04\n', '41\n')
(':03\n', '41\n')
(':02\n', '41\n')
(':01\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
