('4:08\n', '1\n')
('4:07\n', '1\n')
('4:06\n', '1\n')
('4:05\n', '1\n')
('4:04\n', '1\n')
('4:04\n', '1\n')
('4:03\n', '1\n')
('4:02\n', '1\n')
('4:01\n', '1\n')
('4:01\n', '1\n')
('4:01\n', '1\n')
('4:01\n', '1\n')
('4:01\n', '1\n')
('1:27\n', '1\n')
('1:26\n', '1\n')
('1:25\n', '1\n')
('1:24\n', '1\n')
('1:23\n', '1\n')
('1:22\n', '1\n')
('1:21\n', '1\n')
('1:20\n', '1\n')
('1:20\n', '1\n')
('9:04\n', '2\n')
('9:03\n', '2\n')
('9:02\n', '2\n')
('9:01\n', '2\n')
('9:00\n', '2\n')
('8:59\n', '2\n')
('8:58\n', '2\n')
('8:57\n', '2\n')
('5:06\n', '2\n')
('5:05\n', '2\n')
('5:04\n', '2\n')
('5:03\n', '2\n')
('5:02\n', '2\n')
('5:02\n', '2\n')
('5:02\n', '2\n')
('5:02\n', '2\n')
('5:02\n', '2\n')
('1:50\n', '2\n')
('1:49\n', '2\n')
('1:48\n', '2\n')
('1:47\n', '2\n')
('1:46\n', '2\n')
('1:45\n', '2\n')
('1:44\n', '2\n')
('1:42\n', '2\n')
('1:41\n', '2\n')
('1:40\n', '2\n')
('1:39\n', '2\n')
('9:29\n', '3\n')
('9:28\n', '3\n')
('9:27\n', '3\n')
('9:26\n', '3\n')
('9:25\n', '3\n')
('9:24\n', '3\n')
('9:23\n', '3\n')
('9:23\n', '3\n')
('3:36\n', '3\n')
('3:35\n', '3\n')
('3:34\n', '3\n')
('3:33\n', '3\n')
('3:32\n', '3\n')
('3:31\n', '3\n')
('3:30\n', '3\n')
('3:27\n', '3\n')
('3:26\n', '3\n')
('7:14\n', '4\n')
('7:13\n', '4\n')
('7:12\n', '4\n')
('7:11\n', '4\n')
('7:10\n', '4\n')
('7:09\n', '4\n')
('7:08\n', '4\n')
('7:07\n', '4\n')
('7:06\n', '4\n')
('7:05\n', '4\n')
('3:29\n', '4\n')
('3:28\n', '4\n')
('3:27\n', '4\n')
('3:26\n', '4\n')
('3:25\n', '4\n')
('3:24\n', '4\n')
('3:24\n', '4\n')
('3:24\n', '4\n')
('3:24\n', '4\n')
('3:24\n', '4\n')
('3:24\n', '4\n')
('3:24\n', '4\n')
('3:24\n', '4\n')
('1:34\n', '4\n')
('1:33\n', '4\n')
('1:32\n', '4\n')
('1:31\n', '4\n')
('1:30\n', '4\n')
('1:29\n', '4\n')
('1:28\n', '4\n')
('1:28\n', '4\n')
('1:28\n', '4\n')
('144.6\n', '4\n')
('143.6\n', '4\n')
('142.6\n', '4\n')
('41.6\n', '4\n')
('41.0\n', '4\n')
('41.0\n', '4\n')
('41.0\n', '4\n')
('41.0\n', '4\n')
('41.0\n', '4\n')
('140.6\n', '4\n')
