('10:06\n', '1\n')
('10:05\n', '1\n')
('10:04\n', '1\n')
('10:03\n', '1\n')
('10:02\n', '1\n')
('10:01\n', '1\n')
('10:00\n', '1\n')
('9:59\n', '1\n')
('8:57\n', '1\n')
('8:56\n', '1\n')
('8:55\n', '1\n')
('8:54\n', '1\n')
('8:53\n', '1\n')
('8:52\n', '1\n')
('8:52\n', '1\n')
('8:52\n', '1\n')
('5:45\n', '1\n')
('5:44\n', '1\n')
('5:43\n', '1\n')
('5:42\n', '1\n')
('5:41\n', '1\n')
('5:40\n', '1\n')
('5:39\n', '1\n')
('5:38\n', '1\n')
('5:37\n', '1\n')
('5:36\n', '1\n')
('5:35\n', '1\n')
('3:27\n', '1\n')
(':3:26\n', '1\n')
(':3:25\n', '1\n')
(':3:24\n', '1\n')
(':3:23\n', '1\n')
(':3:21\n', '1\n')
('3:19\n', '1\n')
('3:17\n', '1\n')
(':3:16\n', '1\n')
('2:42\n', '2\n')
('2:41\n', '2\n')
('2:40\n', '2\n')
('2:39\n', '2\n')
('2:38\n', '2\n')
('2:37\n', '2\n')
('2:36\n', '2\n')
('2:35\n', '2\n')
('2:34\n', '2\n')
(':09.3\n', '2\n')
('::08.3\n', '2\n')
('::07.3\n', '2\n')
('::06.3\n', '2\n')
('::05.5\n', '2\n')
('::05.5\n', '2\n')
('::05.5\n', '2\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:53\n', '3\n')
('10:23\n', '3\n')
('10:22\n', '3\n')
('10:21\n', '3\n')
('10:20\n', '3\n')
('10:19\n', '3\n')
('10:19\n', '3\n')
('8:28:\n', '3\n')
('8:27\n', '3\n')
('8:26\n', '3\n')
('8:25\n', '3\n')
('8:24\n', '3\n')
('8:23\n', '3\n')
('8:22\n', '3\n')
('8:21\n', '3\n')
('8:20\n', '3\n')
('8:19\n', '3\n')
('.5:49\n', '3\n')
('.5:48\n', '3\n')
('.5:47\n', '3\n')
('.5:47\n', '3\n')
('5:46\n', '3\n')
('.5:46\n', '3\n')
('5:31\n', '4\n')
('5:30\n', '4\n')
('5:29\n', '4\n')
('5:28\n', '4\n')
('5:27\n', '4\n')
('5:26\n', '4\n')
('5:25\n', '4\n')
('5:24\n', '4\n')
('4:27\n', '4\n')
('4:26\n', '4\n')
('4:25\n', '4\n')
('4:24\n', '4\n')
('4:23\n', '4\n')
('4:22\n', '4\n')
('4:21\n', '4\n')
('4:20\n', '4\n')
('4:19\n', '4\n')
('4:18\n', '4\n')
('3:01\n', '4\n')
('3:00\n', '4\n')
('2:59\n', '4\n')
('2:58\n', '4\n')
('2:57\n', '4\n')
('2:56\n', '4\n')
('2:55\n', '4\n')
('2:54\n', '4\n')
('2:53\n', '4\n')
('2:52\n', '4\n')
('2:39\n', '4\n')
('2:38\n', '4\n')
('2:37\n', '4\n')
('2:36\n', '4\n')
('2:36\n', '4\n')
('1:49\n', '4\n')
('1:48\n', '4\n')
('1:47\n', '4\n')
('1:46\n', '4\n')
('1:45\n', '4\n')
('1:44\n', '4\n')
('1:43\n', '4\n')
('1:13\n', '4\n')
('1:12\n', '4\n')
('1:11\n', '4\n')
('1:10\n', '4\n')
('1:09\n', '4\n')
('1:08\n', '4\n')
('1:08\n', '4\n')
('.:48.2\n', '4\n')
(':47.2\n', '4\n')
(':46.2\n', '4\n')
('.:45.2\n', '4\n')
('. 144.2\n', '4\n')
('.:43.9\n', '4\n')
('.:43.9\n', '4\n')
('.:43.9\n', '4\n')
('.:43.9\n', '4\n')
('.:37.4\n', '4\n')
('.:36.4\n', '4\n')
('.:35.4\n', '4\n')
('.:34.4\n', '4\n')
('.:33.4\n', '4\n')
('.:32.4\n', '4\n')
('.:31.5\n', '4\n')
('.:30.6\n', '4\n')
('.:30.6\n', '4\n')
(':30.6\n', '4\n')
