('7:33\n', '1\n')
('7:32\n', '1\n')
('7:31\n', '1\n')
('7:30\n', '1\n')
('7:29\n', '1\n')
('7:28\n', '1\n')
('7:27\n', '1\n')
('7:26\n', '1\n')
('4:36\n', '1\n')
('4:35\n', '1\n')
('4:35\n', '1\n')
('4:34\n', '1\n')
('4:33\n', '1\n')
('1:48\n', '1\n')
('1:47\n', '1\n')
('1:46\n', '1\n')
('1:45\n', '1\n')
('1:44\n', '1\n')
('1:43\n', '1\n')
('1:42\n', '1\n')
('5:38\n', '2\n')
('5:37\n', '2\n')
('5:36\n', '2\n')
('5:35\n', '2\n')
('5:34\n', '2\n')
('5:33\n', '2\n')
('5:32\n', '2\n')
('5:31\n', '2\n')
('5:30\n', '2\n')
(':09.0\n', '2\n')
(':07.9\n', '2\n')
(':07.0\n', '2\n')
(':06.0\n', '2\n')
('05.0\n', '2\n')
(':04.0\n', '2\n')
(':03.0\n', '2\n')
('02.0\n', '2\n')
(':01.4\n', '2\n')
(':01.4\n', '2\n')
('6:36\n', '3\n')
('6:35\n', '3\n')
('6:34\n', '3\n')
('6:33\n', '3\n')
('6:32\n', '3\n')
('6:31\n', '3\n')
('6:30\n', '3\n')
('4.05\n', '3\n')
('4.04\n', '3\n')
('4:03\n', '3\n')
('4.02\n', '3\n')
('4:01\n', '3\n')
('4:00\n', '3\n')
('3:59\n', '3\n')
('3.58\n', '3\n')
('3:58\n', '3\n')
('3:57\n', '3\n')
('3:57\n', '3\n')
('3:57\n', '3\n')
('36.4\n', '3\n')
('35.4\n', '3\n')
('34.4\n', '3\n')
('33.4\n', '3\n')
('33.4\n', '3\n')
('33.4\n', '3\n')
('9:29\n', '4\n')
('9:28\n', '4\n')
('9:27\n', '4\n')
('9:26\n', '4\n')
('9:25\n', '4\n')
('9:24\n', '4\n')
('9:24\n', '4\n')
('9:21\n', '4\n')
('9:20\n', '4\n')
('7:22\n', '4\n')
('7:21\n', '4\n')
('7:20\n', '4\n')
('7:19\n', '4\n')
('7:18\n', '4\n')
('7:17\n', '4\n')
('7:16\n', '4\n')
('712\n', '4\n')
('7:11\n', '4\n')
('4:05\n', '4\n')
('4:04\n', '4\n')
('4:03\n', '4\n')
('4.02\n', '4\n')
('4.01\n', '4\n')
('4.00\n', '4\n')
('3:59\n', '4\n')
('1:08\n', '4\n')
('1:07\n', '4\n')
('1:06\n', '4\n')
('1:05\n', '4\n')
('1:04\n', '4\n')
('1:03\n', '4\n')
('1:03\n', '4\n')
('13.5\n', '4\n')
('12.5\n', '4\n')
('11.5\n', '4\n')
('10.5\n', '4\n')
(':09.5\n', '4\n')
(':09.2\n', '4\n')
(':09.2\n', '4\n')
