('8:30\n', '1\n')
('8:29\n', '1\n')
('8.28\n', '1\n')
('8:28\n', '1\n')
('8:27\n', '1\n')
('7:05\n', '1\n')
('7:04\n', '1\n')
('7:04\n', '1\n')
('7:03\n', '1\n')
('7:02\n', '1\n')
('7:0:\n', '1\n')
('2:07\n', '1\n')
('2:06\n', '1\n')
('2:05\n', '1\n')
('2:04\n', '1\n')
('2:03\n', '1\n')
('2:02\n', '1\n')
('2:01\n', '1\n')
('2:00\n', '1\n')
('9:26\n', '2\n')
('9:25\n', '2\n')
('9:24\n', '2\n')
('9:23\n', '2\n')
('9:22\n', '2\n')
('9:21\n', '2\n')
('9:20\n', '2\n')
('9:19\n', '2\n')
('5:08\n', '2\n')
('5:07\n', '2\n')
('5:06\n', '2\n')
('5:05\n', '2\n')
('5:04\n', '2\n')
('5:03\n', '2\n')
('5:02\n', '2\n')
('5:01\n', '2\n')
('5:00\n', '2\n')
('4.59\n', '2\n')
('3:31\n', '2\n')
('3:30\n', '2\n')
('3:29\n', '2\n')
('3:28\n', '2\n')
('59.9\n', '2\n')
(':58.9\n', '2\n')
('57.9\n', '2\n')
('57.0\n', '2\n')
('55.9\n', '2\n')
(':55.8\n', '2\n')
('10.1\n', '2\n')
(':09.1\n', '2\n')
(':08.1\n', '2\n')
('07.1\n', '2\n')
(':06.1\n', '2\n')
(':05.2\n', '2\n')
(':05.2\n', '2\n')
('05.2\n', '2\n')
('8:02\n', '3\n')
('801\n', '3\n')
('800\n', '3\n')
('7:59\n', '3\n')
('7:58\n', '3\n')
('7:57\n', '3\n')
('7:57\n', '3\n')
('6:13\n', '3\n')
('6:12\n', '3\n')
('6:11\n', '3\n')
('6:10\n', '3\n')
('6:09\n', '3\n')
('6:08\n', '3\n')
('6:0\n', '3\n')
('5:07\n', '3\n')
('5:06\n', '3\n')
('5:05\n', '3\n')
('5:04\n', '3\n')
('5:03\n', '3\n')
('5:02\n', '3\n')
('5.01\n', '3\n')
('5:00\n', '3\n')
('812\n', '4\n')
('811\n', '4\n')
('810\n', '4\n')
('8:09\n', '4\n')
('8.08\n', '4\n')
('807\n', '4\n')
('5:42\n', '4\n')
('5:41\n', '4\n')
('5:40\n', '4\n')
('5:39\n', '4\n')
('5:38\n', '4\n')
('5:37\n', '4\n')
('5:37\n', '4\n')
('5:37\n', '4\n')
('2:36\n', '4\n')
('2:35\n', '4\n')
('2:34\n', '4\n')
('2:33\n', '4\n')
('2:32\n', '4\n')
('2:31\n', '4\n')
('1:26\n', '4\n')
('1:25\n', '4\n')
('1:24\n', '4\n')
('1:23\n', '4\n')
('1:22\n', '4\n')
('1:21\n', '4\n')
('1:20\n', '4\n')
('1:20\n', '4\n')
