('10:22\n', '1\n')
('10:21\n', '1\n')
('10:20\n', '1\n')
('10:19\n', '1\n')
('10:18\n', '1\n')
('7:49\n', '1\n')
('7:48\n', '1\n')
('7:47\n', '1\n')
('7:46\n', '1\n')
('7:45\n', '1\n')
('7:44\n', '1\n')
('7:44\n', '1\n')
('7:43\n', '1\n')
('7:42\n', '1\n')
(':05.0\n', '1\n')
(':04.0\n', '1\n')
(':03.0\n', '1\n')
(':02.0\n', '1\n')
(':01.0\n', '1\n')
(':00.0\n', '1\n')
(':00.0\n', '1\n')
(':00.0\n', '1\n')
('9:06\n', '2\n')
('9:05\n', '2\n')
('9:04\n', '2\n')
('9:04\n', '2\n')
('9:.04\n', '2\n')
('9:04\n', '2\n')
('9:04\n', '2\n')
('6:48\n', '2\n')
('6:47\n', '2\n')
('6:46\n', '2\n')
('6:45\n', '2\n')
('6:44\n', '2\n')
('6:43\n', '2\n')
('6:42\n', '2\n')
('6:41\n', '2\n')
('450\n', '2\n')
('4:49\n', '2\n')
('4:48\n', '2\n')
('4:48\n', '2\n')
('4:47\n', '2\n')
('4:46\n', '2\n')
('3:33\n', '2\n')
('3:32\n', '2\n')
('3:31\n', '2\n')
('3:30\n', '2\n')
('3:29\n', '2\n')
('3:27\n', '2\n')
('3:26\n', '2\n')
('2:36\n', '2\n')
('2:35\n', '2\n')
('2:34\n', '2\n')
('2:33\n', '2\n')
('2:32\n', '2\n')
('2:31\n', '2\n')
('2:30\n', '2\n')
('2:29\n', '2\n')
('2:.27\n', '2\n')
('2:26\n', '2\n')
('8:29\n', '3\n')
('8:29\n', '3\n')
('8:28\n', '3\n')
('8:27\n', '3\n')
('8:26\n', '3\n')
('8:25\n', '3\n')
('6:56\n', '3\n')
('6:55\n', '3\n')
('6:54\n', '3\n')
('6:53\n', '3\n')
('6:52\n', '3\n')
('6:51\n', '3\n')
('5:52\n', '3\n')
('5:51\n', '3\n')
('5:50\n', '3\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('5:46\n', '3\n')
('5:45\n', '3\n')
('5:44\n', '3\n')
('2:46\n', '3\n')
('2:45\n', '3\n')
('2:44\n', '3\n')
('2:43\n', '3\n')
('2:42\n', '3\n')
('2:41\n', '3\n')
('2:40\n', '3\n')
('2:37\n', '3\n')
('2:36\n', '3\n')
('11:30\n', '4\n')
('11:29\n', '4\n')
('11:28\n', '4\n')
('11:27\n', '4\n')
('11:26\n', '4\n')
('11:25\n', '4\n')
('7:20\n', '4\n')
('7:19\n', '4\n')
('7:19\n', '4\n')
('7:19\n', '4\n')
('7:19\n', '4\n')
('7:19\n', '4\n')
('7:19\n', '4\n')
('7:19\n', '4\n')
('7:19\n', '4\n')
('7:19\n', '4\n')
('7.19\n', '41\n')
('4:41\n', '4\n')
('4:40\n', '4\n')
('4:39\n', '4\n')
('4:38\n', '4\n')
('4:37\n', '4\n')
('4:36\n', '4\n')
