('8:21\n', '1\n')
('8:20\n', '1\n')
('8:19\n', '1\n')
('8:18\n', '1\n')
('8:17\n', '1\n')
('8:17\n', '1\n')
('8:17\n', '1\n')
('8:17\n', '1\n')
('8:17\n', '1\n')
('8:17\n', '1\n')
('8:17\n', '1\n')
('8:17\n', '1\n')
('8:17\n', '1\n')
('8:14\n', '1\n')
('8:14\n', '1\n')
('8:13\n', '1\n')
('8:12\n', '1\n')
('8:11\n', '1\n')
('8:10\n', '1\n')
('1:41\n', '1\n')
('7:40\n', '1\n')
('7:39\n', '1\n')
('7:38\n', '1\n')
('71:37\n', '1\n')
('7:36\n', '1\n')
('7:35\n', '1\n')
('7:34\n', '1\n')
('1:31\n', '1\n')
('7:30\n', '1\n')
('1:29\n', '1\n')
('5:39\n', '1\n')
('5:38\n', '1\n')
('5:37\n', '1\n')
('5:36\n', '1\n')
('5:35\n', '1\n')
('5:34\n', '1\n')
('5:33\n', '1\n')
('5:31\n', '1\n')
('5:30\n', '1\n')
('1:43\n', '1\n')
('1:42\n', '1\n')
('1:42\n', '1\n')
('1:41\n', '1\n')
('1:40\n', '1\n')
('1:39\n', '1\n')
('1:38\n', '1\n')
('1:37\n', '1\n')
('1:34\n', '1\n')
('1:33\n', '1\n')
('10:10\n', '2\n')
('10:09\n', '2\n')
('10:08\n', '2\n')
('10:07\n', '2\n')
('10:06\n', '2\n')
('10:05\n', '2\n')
('10:04\n', '2\n')
('10:03\n', '2\n')
('10:02\n', '2\n')
('9:58\n', '2\n')
('5:21\n', '2\n')
('5:20\n', '2\n')
('5:19\n', '2\n')
('5:18\n', '2\n')
('5:17\n', '2\n')
('1:35\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('1:27\n', '2\n')
('1:26\n', '2\n')
('9:55\n', '3\n')
('9:54\n', '3\n')
('9:53\n', '3\n')
('9:52\n', '3\n')
('9:51\n', '3\n')
('9:48\n', '3\n')
('9:47\n', '3\n')
('9:10\n', '3\n')
('9:07\n', '3\n')
('9:05\n', '3\n')
('4:47\n', '3\n')
('4:46\n', '3\n')
('4:45\n', '3\n')
('4:44\n', '3\n')
('4:43\n', '3\n')
('4:42\n', '3\n')
('4:41\n', '3\n')
('1:55\n', '3\n')
('1:54\n', '3\n')
('1:53\n', '3\n')
('1:52\n', '3\n')
('1:51\n', '3\n')
('1:50\n', '3\n')
('1:49\n', '3\n')
('1:49\n', '3\n')
('1:49\n', '3\n')
('7:55\n', '4\n')
('7:54\n', '4\n')
('7:53\n', '4\n')
('7:52\n', '4\n')
('7:51\n', '4\n')
('7:50\n', '4\n')
('7:49\n', '4\n')
