('8:27\n', 'FIRST QUARTER\n')
('8:26\n', 'FIRST QUARTER\n')
('8:25\n', 'FIRST QUARTER\n')
('8:24\n', 'FIRST QUARTER\n')
('8:23\n', 'FIRST QUARTER\n')
('8:22\n', 'FIRST QUARTER\n')
('8:21\n', 'FIRST QUARTER\n')
('8:20\n', 'FIRST QUARTER\n')
('4.45\n', 'FIRST QUARTER\n')
('4.44\n', 'FIRST QUARTER\n')
('4:43\n', 'FIRST QUARTER\n')
('4.42\n', 'FIRST QUARTER\n')
('4.41\n', 'FIRST QUARTER\n')
('4:15\n', 'FIRST QUARTER\n')
('4:14\n', 'FIRST QUARTER\n')
('4:13\n', 'FIRST QUARTER\n')
('4:12\n', 'FIRST QUARTER\n')
('4:11\n', 'FIRST QUARTER\n')
('4:10\n', 'FIRST QUARTER\n')
('4:09\n', 'FIRST QUARTER\n')
('4:08\n', 'FIRST QUARTER\n')
('2:14\n', 'FIRST QUARTER\n')
('2:13\n', 'FIRST QUARTER\n')
('2:12\n', 'FIRST QUARTER\n')
('2:11\n', 'FIRST QUARTER\n')
('2:10\n', 'FIRST QUARTER\n')
('2:09\n', 'FIRST QUARTER\n')
('2:08\n', 'FIRST QUARTER\n')
('2:07\n', 'FIRST QUARTER\n')
('2:06\n', 'FIRST QUARTER\n')
('2:05\n', 'FIRST QUARTER\n')
('37.5\n', 'FIRST QUARTER\n')
('36.6\n', 'FIRST QUARTER\n')
('35.6\n', 'FIRST QUARTER\n')
('34.6\n', 'FIRST QUARTER\n')
('34.4\n', 'FIRST QUARTER\n')
('34.4\n', 'FIRST QUARTER\n')
('0:20\n', 'SECON HARTER\n')
('10:20\n', 'SECOND QUARTER\n')
('10:19\n', 'SECOND QUARTER\n')
('10:18\n', 'SECOND QUARTER\n')
('10:17\n', 'SECOND QUARTER\n')
('10:16\n', 'SECOND QUARTER\n')
('6:58\n', 'SECOND QUARTER\n')
('6:57\n', 'SECOND QUARTER\n')
('6:56\n', 'SECOND QUARTER\n')
('6:55\n', 'SECOND QUARTER\n')
('6:54\n', 'SECOND QUARTER\n')
('6:53\n', 'SECOND QUARTER\n')
('6:53\n', 'SECOND QUARTER\n')
('6:53\n', 'SECOND QUARTER\n')
('3:54\n', 'SECOND QUARTER\n')
('3:53\n', 'SECOND QUARTER\n')
('3:52\n', 'SECOND QUARTER\n')
('3:51\n', 'SECOND QUARTER\n')
('3:51\n', 'SECOND QUARTER\n')
('3:51\n', 'SECOND QUARTER\n')
('3:51\n', 'SECOND QUARTER\n')
('3:51\n', 'SECOND QUARTER\n')
('8\n', 'I\n')
('3:49\n', 'SECOND QUARTER\n')
('3:49\n', 'SECOND QUARTER\n')
('3:49\n', 'SECOND QUARTER\n')
('3:48\n', 'SECOND QUARTER\n')
('2:25\n', 'SECOND QUARTER\n')
('2:24\n', 'SECOND QUARTER\n')
('2:23\n', 'SECOND QUARTER\n')
('2:23\n', 'SECOND QUARTER\n')
('2:23\n', 'SECOND QUARTER\n')
('2:23\n', 'SECOND QUARTER\n')
('2:23\n', 'SECOND QUARTER\n')
('2:23\n', 'SECOND QUARTER\n')
('9:32\n', 'THIRD QUARTER\n')
('9:31\n', 'THIRD QUARTER\n')
('9:30\n', 'THIRD QUARTER\n')
('9:29\n', 'THIRD QUARTER\n')
('9:28\n', 'THIRD QUARTER\n')
('9:27\n', 'THIRD QUARTER\n')
('9:26\n', 'THIRD QUARTER\n')
('9:25\n', 'THIRD QUARTER\n')
('9:24\n', 'THIRD QUARTER\n')
('9:23\n', 'THIRD QUARTER\n')
('9:22\n', 'THIRD QUARTER\n')
('9:21\n', 'THIRD QUARTER\n')
('5:49\n', 'THIRD QUARTER\n')
('5:48\n', 'THIRD QUARTER\n')
('5:47\n', 'THIRD QUARTER\n')
('5:46\n', 'THIRD QUARTER\n')
('5:45\n', 'THIRD QUARTER\n')
('5:44\n', 'THIRD QUARTER\n')
('5:43\n', 'THIRD QUARTER\n')
('5:42\n', 'THIRD QUARTER\n')
('5:41\n', 'THIRD QUARTER\n')
('5:40\n', 'THIRD QUARTER\n')
('5:39\n', 'THIRD QUARTER\n')
('5:38\n', 'THIRD QUARTER\n')
('5:38\n', 'THIRD QUARTER\n')
('3:47\n', 'THIRD QUARTER\n')
('3:46\n', 'THIRD QUARTER\n')
('3:45\n', 'THIRD QUARTER\n')
('3:44\n', 'THIRD QUARTER\n')
('3:44\n', 'THIRD QUARTER\n')
('3:44\n', 'THIRD QUARTER\n')
('6.5\n', 'THIRD QUARTER\n')
('5.5\n', 'THIRD QUARTER\n')
('45\n', 'THIRD QUARTER\n')
('3.5\n', 'THIRD QUARTER\n')
('9:49\n', 'FOURTH QUARTER\n')
('9:48\n', 'FOURTH QUARTER\n')
('9:47\n', 'FOURTH QUARTER\n')
('9:46\n', 'FOURTH QUARTER\n')
('9:45\n', 'FOURTH QUARTER\n')
('9:44\n', 'FOURTH QUARTER\n')
('6:14\n', 'FOURTH QUARTER\n')
('6:13\n', 'FOURTH QUARTER\n')
('6:12\n', 'FOURTH QUARTER\n')
('6:11\n', 'FOURTH QUARTER\n')
('6:10\n', 'FOURTH QUARTER\n')
