('9:38\n', '1\n')
('9:37\n', '11\n')
('9:36\n', '1\n')
('9:35\n', '1\n')
('9:34\n', '1\n')
('9:33\n', '1\n')
('9:32\n', '1\n')
('9:31\n', '1\n')
('9:30\n', '1\n')
('3:28\n', '11\n')
('3:27\n', '11\n')
('3:26\n', '1\n')
('3:25\n', '1\n')
('3:24\n', '11\n')
('3:23\n', '11\n')
('3:23\n', '11\n')
('3:23\n', '11\n')
('143.2\n', '1\n')
('42.2\n', '1\n')
('41.2\n', '1\n')
(':40.2\n', '11\n')
(':39.3\n', '11\n')
(':38.3\n', '11\n')
(':37.3\n', '11\n')
(':36.3\n', '1\n')
(':35.8\n', '1\n')
('5:07\n', '2\n')
('5:06\n', '2\n')
('5:05\n', '2\n')
('5:04\n', '2\n')
('5:03\n', '2\n')
('5:02\n', '2\n')
('5:01\n', '2\n')
('5:00\n', '2\n')
('4:44\n', '2\n')
('4:43\n', '2\n')
('4:42\n', '2\n')
('4:41\n', '2\n')
('4:40\n', '2\n')
('4:39\n', '2\n')
('4:28\n', '2\n')
(':53.3\n', '2\n')
(':52.3\n', '2\n')
(':51.4\n', '2\n')
(':50.4\n', '2\n')
(':49.4\n', '2\n')
(':48.4\n', '2\n')
(':47.4\n', '2\n')
(':47.1\n', '2\n')
('47.1\n', '2\n')
(':46.8\n', '2\n')
('7:59\n', '3\n')
('7:58\n', '3\n')
('1:57\n', '3\n')
('7:56\n', '3\n')
('7:55\n', '3\n')
('71:54\n', '3\n')
('7:04\n', '3\n')
('7:03\n', '3\n')
('7:02\n', '3\n')
('7:01\n', '3\n')
('7:01\n', '3\n')
('7:01\n', '3\n')
('6:21\n', '3\n')
('6:20\n', '3\n')
('6:19\n', '3\n')
('6:38\n', '4\n')
('6:37\n', '4\n')
('6:37\n', '4\n')
('6:36\n', '4\n')
('6:35\n', '4\n')
('6:34\n', '4\n')
('3:54\n', '4\n')
('3:53\n', '4\n')
('3:52\n', '4\n')
('3:51\n', '4\n')
('3:50\n', '4\n')
('3:49\n', '4\n')
('3:48\n', '4\n')
('3:46\n', '4\n')
('3:46\n', '4\n')
