('7:48\n', '1\n')
('7:47\n', '1\n')
('7:46\n', '1\n')
('7:45\n', '1\n')
('7:44\n', '1\n')
('7:43\n', '1\n')
('12\n', '1\n')
('50.3\n', '1\n')
('49.3\n', '1\n')
('48.3\n', '1\n')
('47.3\n', '1\n')
('46.3\n', '1\n')
('45.6\n', '1\n')
('43.7\n', '1\n')
('842\n', '2\n')
('841\n', '2\n')
('8:40\n', '2\n')
('8:39\n', '2\n')
('8:38\n', '2\n')
('637\n', '2\n')
('6:08\n', '2\n')
('6:07\n', '2\n')
('6:06\n', '2\n')
('6:05\n', '2\n')
('6:04\n', '2\n')
('4.55\n', '2\n')
('4.54\n', '2\n')
('4.53\n', '2\n')
('4:52\n', '2\n')
('4.51\n', '2\n')
('4.51\n', '2\n')
('4.51\n', '2\n')
('4.51\n', '2\n')
('2:37\n', '2\n')
('2:36\n', '2\n')
('2:35\n', '2\n')
('2:34\n', '2\n')
('2:33\n', '2\n')
('2:32\n', '2\n')
('2:31\n', '2\n')
('5:25\n', '3\n')
('5:24\n', '3\n')
('5:23\n', '3\n')
('5:22\n', '3\n')
('5:21\n', '3\n')
('4:20\n', '3\n')
('4:08\n', '3\n')
('4:07\n', '3\n')
('4:06\n', '3\n')
('4:05\n', '3\n')
('4:04\n', '3\n')
('4:03\n', '3\n')
('4:02\n', '3\n')
('50.1\n', '3\n')
('58.1\n', '3\n')
('57.1\n', '3\n')
('56.1\n', '3\n')
('55.1\n', '3\n')
('530\n', '3\n')
('7:39\n', '4\n')
('7:38\n', '4\n')
('7:37\n', '4\n')
('7:36\n', '4\n')
('7:35\n', '4\n')
('7:34\n', '4\n')
('6:08\n', '4\n')
('6:07\n', '4\n')
('6:06\n', '4\n')
('6:05\n', '4\n')
('6:04\n', '4\n')
('6:03\n', '4\n')
('6:03\n', '4\n')
('5:09\n', '4\n')
('5:08\n', '4\n')
('5:07\n', '4\n')
('5:07\n', '4\n')
('5:05\n', '4\n')
('5:05\n', '4\n')
('5:04\n', '4\n')
('4:13\n', '4\n')
('4:12\n', '4\n')
('4:11\n', '4\n')
('4:10\n', '4\n')
('4:09\n', '4\n')
('4:08\n', '4\n')
('4:07\n', '4\n')
('2:50\n', '4\n')
('2:49\n', '4\n')
('2:48\n', '4\n')
('2:47\n', '4\n')
('2:46\n', '4\n')
('2:45\n', '4\n')
('2:42\n', '4\n')
('2.42\n', '4\n')
('2:41\n', '4\n')
('2:41\n', '4\n')
