('4\n', '4\n')
('6:46\n', '1\n')
('6:45\n', '1\n')
('6:44\n', '1\n')
('6:44\n', '1\n')
('6:43\n', '1\n')
('6:42\n', '1\n')
('6:41\n', '1\n')
('6:40\n', '1\n')
('6:39\n', '1\n')
('5:10\n', '1\n')
('5:09\n', '1\n')
('5:08\n', '1\n')
('5:07\n', '1\n')
('5:06\n', '1\n')
('5:05\n', '1\n')
('5:04\n', '1\n')
('5:04\n', '1\n')
('5:03\n', '1\n')
('5:02\n', '1\n')
(':33.6\n', '1\n')
(':32.6\n', '1\n')
(':31.6\n', '1\n')
(':30.6\n', '1\n')
(':30.2\n', '1\n')
(':30.2\n', '1\n')
(':30.2\n', '1\n')
(':30.2\n', '1\n')
('7:10\n', '2\n')
('7:09\n', '2\n')
('7:08\n', '2\n')
('7:07\n', '2\n')
('7:06\n', '2\n')
('7:06\n', '2\n')
('7:06\n', '2\n')
('7:06\n', '2\n')
('3:16\n', '2\n')
('3:15\n', '2\n')
('3:14\n', '2\n')
('3:13\n', '2\n')
('3:12\n', '2\n')
('3:11\n', '2\n')
('3:10\n', '2\n')
('3:09\n', '2\n')
('3:08\n', '2\n')
('3:07\n', '2\n')
(':52.9\n', '2\n')
(':52.0\n', '2\n')
(':51.0\n', '2\n')
(':50.9\n', '2\n')
(':50.9\n', '2\n')
(':50.9\n', '2\n')
(':50.9\n', '2\n')
(':50.9\n', '2\n')
('7:55\n', '3\n')
('7:54\n', '3\n')
('7:53\n', '3\n')
('7:52\n', '3\n')
('7:51\n', '3\n')
('7:50\n', '3\n')
('7:49\n', '3\n')
('7:48\n', '3\n')
('7:47\n', '3\n')
('4:52\n', '3\n')
('4:51\n', '3\n')
('4:50\n', '3\n')
('4:49\n', '3\n')
('4:48\n', '3\n')
('4:47\n', '3\n')
('4:46\n', '3\n')
('1:01\n', '3\n')
('1:00\n', '3\n')
(':59.1\n', '3\n')
(':58.1\n', '3\n')
(':57.1\n', '3\n')
(':56.3\n', '3\n')
(':56.3\n', '3\n')
(':56.3\n', '3\n')
(':55.6\n', '3\n')
('7:38\n', '4\n')
('1:37\n', '4\n')
('7:36\n', '4\n')
('71:35\n', '4\n')
('7:34\n', '4\n')
('7:33\n', '4\n')
('7:33\n', '4\n')
('7:33\n', '4\n')
('5:30\n', '4\n')
('5:29\n', '4\n')
('5:28\n', '4\n')
('5:27\n', '4\n')
('5:26\n', '4\n')
('5:25\n', '4\n')
('5:24\n', '4\n')
('5:23\n', '4\n')
('5:22\n', '4\n')
('5:21\n', '4\n')
('5:20\n', '4\n')
('5:19\n', '4\n')
('2:42\n', '4\n')
('2:41\n', '4\n')
('2:41\n', '4\n')
('2:40\n', '4\n')
('2:39\n', '4\n')
('2:38\n', '4\n')
('2:37\n', '4\n')
('2:36\n', '4\n')
('2:35\n', '4\n')
('2:35\n', '4\n')
('2:35\n', '4\n')
