('8:32\n', '1\n')
('8:31\n', '11\n')
('8:30\n', '1\n')
('8:29\n', '1\n')
('8:28\n', '1\n')
('8:27\n', '11\n')
('8:26\n', '11\n')
('6:32\n', '1\n')
('6:31\n', '1\n')
('6:30\n', '1\n')
('6:29\n', '1\n')
('6:28\n', '1\n')
('6:27\n', '11\n')
('6:26\n', '1\n')
('6:28\n', '11\n')
('4:32\n', '1\n')
('4:31\n', '1\n')
('4:30\n', '1\n')
('4:29\n', '1\n')
('4:28\n', '1\n')
('4:27\n', '1\n')
('11:54\n', '2\n')
('11:53\n', '2\n')
('11:52\n', '2\n')
('11:51\n', '2\n')
('11:50\n', '2\n')
('11:49\n', '2\n')
('10:33\n', '2\n')
('10:32\n', '2\n')
('10:31\n', '2\n')
('10:30\n', '2\n')
('10:29\n', '2\n')
('10:03\n', '2\n')
('10:02\n', '2\n')
('10:01\n', '2\n')
('10:00\n', '2\n')
('9:59\n', '2\n')
('9:58\n', '2\n')
('9:57\n', '2\n')
('6:11\n', '2\n')
('6:10\n', '2\n')
('6:09\n', '2\n')
('6:08\n', '2\n')
('6:07\n', '2\n')
('145.2\n', '2\n')
('244.2\n', '2\n')
('143.3\n', '2\n')
('242.3\n', '2\n')
('242.3\n', '2\n')
('42.3\n', '2\n')
('42.3\n', '2\n')
('10:02\n', '3\n')
('10:01\n', '3\n')
('10:00\n', '3\n')
('9:59\n', '3\n')
('9:58\n', '3\n')
('9:57\n', '3\n')
('7:38\n', '3\n')
('71:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('2:16\n', '3\n')
('2:15\n', '3\n')
('2:14\n', '3\n')
('2:13\n', '3\n')
('1:30\n', '3\n')
('1:29\n', '3\n')
('1:28\n', '3\n')
('1:27\n', '3\n')
('1:26\n', '3\n')
('1:25\n', '3\n')
('124\n', '3\n')
('10:04\n', '41\n')
('10:03\n', '41\n')
('10:02\n', '41\n')
('10:01\n', '41\n')
('10:00\n', '41\n')
('7:56\n', '41\n')
('7:55\n', '41\n')
('7:54\n', '41\n')
('7:53\n', '41\n')
('7:52\n', '41\n')
('2:56\n', '41\n')
('2:55\n', '41\n')
('2:54\n', '41\n')
('2:53\n', '41\n')
('2:52\n', '41\n')
('2:51\n', '41\n')
('2:51\n', '41\n')
('2:51\n', '41\n')
('2:19\n', '41\n')
('2:18\n', '41\n')
('2:17\n', '41\n')
('2:16\n', '41\n')
('2:15\n', '41\n')
('2:14\n', '41\n')
('2:13\n', '41\n')
('2:12\n', '41\n')
('229.5\n', '41\n')
('128.5\n', '41\n')
('227.5\n', '41\n')
('126.5\n', '41\n')
('125.5\n', '4\n')
('124.6\n', '41\n')
(':23.6\n', '41\n')
('122.6\n', '41\n')
(':21.6\n', '41\n')
('220.6\n', '41\n')
