('751\n', '1\n')
('7:50\n', '1\n')
('7:49\n', '1\n')
('7:48\n', '1\n')
('7:47\n', '1\n')
('7:46\n', '1\n')
('7:07\n', '1\n')
('7:06\n', '1\n')
('7:05\n', '1\n')
('7:04\n', '1\n')
('7:03\n', '1\n')
('3:12\n', '1\n')
('311\n', '1\n')
('3:10\n', '1\n')
('3:09\n', '1\n')
('3.08\n', '1\n')
('3.0\n', '1\n')
('3:05\n', '1\n')
('8:20\n', '2\n')
('819\n', '2\n')
('8:18\n', '2\n')
('8:17\n', '2\n')
('816\n', '2\n')
('8:15\n', '2\n')
('8:15\n', '2\n')
('815\n', '2\n')
('815\n', '2\n')
('4:34\n', '2\n')
('4:33\n', '2\n')
('4:32\n', '2\n')
('4:31\n', '2\n')
('4:30\n', '2\n')
('4:29\n', '2\n')
('1:35\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('1:29\n', '2\n')
('10:32\n', '3\n')
('10:31\n', '3\n')
('10:30\n', '3\n')
('10:29\n', '3\n')
('10:28\n', '3\n')
('10:27\n', '3\n')
('10:26\n', '3\n')
('6:51\n', '3\n')
('6:50\n', '3\n')
('6:49\n', '3\n')
('6:48\n', '3\n')
('6:47\n', '3\n')
('6:46\n', '3\n')
('6:45\n', '3\n')
('6:44\n', '3\n')
('6:43\n', '3\n')
('3:05\n', '3\n')
('3.04\n', '3\n')
('3:03\n', '3\n')
('3.02\n', '3\n')
('3.01\n', '3\n')
('3.00\n', '3\n')
('2:59\n', '3\n')
('2:56\n', '3\n')
('2:55\n', '3\n')
('10:53\n', '4\n')
('10:52\n', '4\n')
('10:51\n', '4\n')
('10:50\n', '4\n')
('10:49\n', '4\n')
('10:48\n', '4\n')
('10:47\n', '4\n')
('7:56\n', '4\n')
('7:55\n', '4\n')
('7:54\n', '4\n')
('7:53\n', '4\n')
('7.52\n', '4\n')
('752\n', '4\n')
('4\n', '4\n')
('7:52\n', '4\n')
('4:43\n', '4\n')
('4:42\n', '4\n')
('4:41\n', '4\n')
('4:40\n', '4\n')
('4:39\n', '4\n')
('4:38\n', '4\n')
('4.37\n', '4\n')
('4:36\n', '4\n')
('4.33\n', '4\n')
('4:33\n', '4\n')
('4:32\n', '4\n')
('432\n', '4\n')
