('10:16\n', '1\n')
('10:15\n', '1\n')
('10:14\n', '1\n')
('10:13\n', '1\n')
('10:12\n', '1\n')
('10:11\n', '1\n')
('10:10\n', '1\n')
('10:10\n', '1\n')
('10:09\n', '1\n')
('10:07\n', '1\n')
('10:06\n', '1\n')
('5:56\n', '1\n')
('5:55\n', '1\n')
('5:54\n', '1\n')
('5:53\n', '1\n')
('5:52\n', '1\n')
('5:52\n', '1\n')
('5:52\n', '1\n')
('5:52\n', '1\n')
('5:52\n', '11\n')
('5:52\n', '1\n')
('6:58\n', '2\n')
('6:57\n', '2\n')
('6:56\n', '2\n')
('6:55\n', '2\n')
('6:54\n', '2\n')
('6:53\n', '2\n')
('6:52\n', '2\n')
('6:52\n', '2\n')
('6:51\n', '2\n')
('1:59\n', '2\n')
('1:58\n', '2\n')
('1:57\n', '2\n')
('1:56\n', '2\n')
('1:55\n', '2\n')
('1:54\n', '2\n')
('1:53\n', '2\n')
('1:52\n', '2\n')
(':05.\n', '2\n')
(':04.\n', '2\n')
(':03.\n', '2\n')
(':02.\n', '2\n')
(':01.\n', '2\n')
(':00.\n', '2\n')
(':00.\n', '2\n')
(':00.\n', '2\n')
(':00.\n', '2\n')
('8:37\n', '3\n')
('8:36\n', '3\n')
('8:35\n', '3\n')
('8:34\n', '3\n')
('8:33\n', '3\n')
('8:32\n', '3\n')
('8:31\n', '3\n')
('8:30\n', '3\n')
('8:29\n', '3\n')
('5:54\n', '3\n')
('5:53\n', '3\n')
('5:52\n', '3\n')
('5:51\n', '3\n')
('5:50\n', '3\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('5:46\n', '3\n')
('5:44\n', '3\n')
('10:30\n', '4\n')
('10:29\n', '4\n')
('10:28\n', '4\n')
('10:27\n', '4\n')
('10:26\n', '4\n')
('10:25\n', '4\n')
('10:24\n', '4\n')
('10:23\n', '4\n')
('10:22\n', '4\n')
('9:45\n', '4\n')
('9:44\n', '4\n')
('9:43\n', '4\n')
('9:42\n', '4\n')
('9:41\n', '4\n')
('9:40\n', '4\n')
('9:39\n', '4\n')
('9:38\n', '4\n')
('9:37\n', '4\n')
('9:36\n', '4\n')
('7:58\n', '4\n')
('1:57\n', '4\n')
('7:56\n', '4\n')
('7:56\n', '4\n')
('7:55\n', '4\n')
('7:54\n', '4\n')
('7:53\n', '4\n')
('7:52\n', '4\n')
('7:51\n', '4\n')
('7:50\n', '4\n')
