('7:37\n', '1\n')
('7:36\n', '1\n')
('7:35\n', '1\n')
('7:34\n', '1\n')
('7:33\n', '1\n')
('7:32\n', '1\n')
('3:59\n', '1\n')
('3:58\n', '1\n')
('3:57\n', '1\n')
('3:56\n', '1\n')
('3:55\n', '1\n')
('3:54\n', '1\n')
('5:03\n', '2\n')
('5:02\n', '2\n')
('5:01\n', '2\n')
('5:00\n', '2\n')
('4:59\n', '2\n')
('4:58\n', '2\n')
('4:54\n', '2\n')
('4:53\n', '2\n')
('1:53\n', '2\n')
('1:52\n', '2\n')
('1:51\n', '2\n')
('1:50\n', '2\n')
('1:49\n', '2\n')
('1:48\n', '2\n')
('.\n', '2\n')
('11:23\n', '3\n')
('11:22\n', '3\n')
('11:22\n', '3\n')
('11:21\n', '3\n')
('11:20\n', '3\n')
('11:20\n', '3\n')
('8:15\n', '3\n')
('8:14\n', '3\n')
('8:13\n', '3\n')
('8:12\n', '3\n')
('8:11\n', '3\n')
('8:10\n', '3\n')
('8:09\n', '3\n')
('8:09\n', '3\n')
('1:45\n', '3\n')
('1:44\n', '3\n')
('1:43\n', '3\n')
('1:42\n', '3\n')
('1:41\n', '3\n')
('1:40\n', '3\n')
('115.0\n', '3\n')
('114.0\n', '3\n')
('113.1\n', '3\n')
('12.1\n', '3\n')
('11.1\n', '3\n')
('110.1\n', '3\n')
(':09.8\n', '3\n')
('7:41\n', '4\n')
('7:40\n', '4\n')
('7:39\n', '4\n')
('6:13\n', '4\n')
('6:13\n', '4\n')
('6:13\n', '4\n')
('6:12\n', '4\n')
('6:11\n', '4\n')
('6:10\n', '4\n')
('6:09\n', '4\n')
('5:08\n', '4\n')
('5:07\n', '4\n')
('5:06\n', '4\n')
('5:05\n', '4\n')
('5:04\n', '4\n')
('3:39\n', '4\n')
('3:38\n', '4\n')
('3:37\n', '4\n')
('3:36\n', '4\n')
('3:35\n', '4\n')
('3:34\n', '4\n')
('3:33\n', '4\n')
('1:41\n', '4\n')
('1:40\n', '4\n')
('1:39\n', '4\n')
('1:38\n', '4\n')
('1:38\n', '4\n')
('1:38\n', '4\n')
('1:38\n', '4\n')
('1:38\n', '4\n')
('147.1\n', '4\n')
('46.1\n', '4\n')
('145.1\n', '4\n')
('144.2\n', '4\n')
('143.3\n', '4\n')
('143.3\n', '4\n')
('143.3\n', '4\n')
('143.3\n', '4\n')
('106.7\n', '4\n')
(':05.7\n', '4\n')
(':04.7\n', '4\n')
(':03.8\n', '4\n')
(':02.7\n', '4\n')
('01.8\n', '4\n')
(':00.9\n', '4\n')
(':00.9\n', '4\n')
(':00.9\n', '4\n')
(':00.9\n', '4\n')
(':00.9\n', '4\n')
(':00.9\n', '4\n')
(':00.1\n', '4\n')
(':00.0\n', '4\n')
