('6:23\n', '1\n')
('6:22\n', '1\n')
('6:21\n', '1\n')
('6:20\n', '1\n')
('6:19\n', '1\n')
('6:18\n', '1\n')
('1:36\n', '1\n')
('1:35\n', '1\n')
('1:34\n', '1\n')
('1:33\n', '1\n')
('1:32\n', '1\n')
('152\n', '1\n')
('15.2\n', '1\n')
(':15.2\n', '1\n')
('15.2\n', '1\n')
('15.2\n', '1\n')
('11:26\n', '2\n')
('11:25\n', '2\n')
('11:24\n', '2\n')
('11:23\n', '2\n')
('11:22\n', '2\n')
('11:21\n', '2\n')
('11:20\n', '2\n')
('111:19\n', '2\n')
('9:02\n', '2\n')
('9:01\n', '2\n')
('9:00\n', '2\n')
('859\n', '2\n')
('4:.20\n', '2\n')
('4:19\n', '2\n')
('4:18\n', '2\n')
('4:17\n', '2\n')
('4:16\n', '2\n')
('4:15\n', '2\n')
('4:15\n', '2\n')
('2:12\n', '2\n')
('2:11\n', '2\n')
('2:10\n', '2\n')
('2:09\n', '2\n')
('2:08\n', '2\n')
('2:07\n', '2\n')
('2:06\n', '2\n')
('2:05\n', '2\n')
('1:01\n', '2\n')
('1:00\n', '2\n')
(':59.5\n', '2\n')
(':58.5\n', '2\n')
(':57.8\n', '2\n')
(':57.8\n', '2\n')
('10:37\n', '3\n')
('10:36\n', '3\n')
('10:35\n', '3\n')
('10:34\n', '3\n')
('10:33\n', '3\n')
('10:32\n', '3\n')
('10:31\n', '3\n')
('10:00\n', '3\n')
('9:50\n', '3\n')
('9:58\n', '3\n')
('9:57\n', '3\n')
('9:56\n', '3\n')
('9:55\n', '3\n')
('9:54\n', '3\n')
('9:54\n', '3\n')
('8:23\n', '3\n')
('8:22\n', '3\n')
('8:21\n', '3\n')
('8:20\n', '3\n')
('8:19\n', '3\n')
('8:18\n', '3\n')
('8:17\n', '3\n')
('2:34\n', '3\n')
('2:33\n', '3\n')
('2:32\n', '3\n')
('2:31\n', '3\n')
('2:31\n', '3\n')
('07.8\n', '3\n')
(':06.8\n', '3\n')
(':05.9\n', '3\n')
(':04.9\n', '3\n')
(':03.9\n', '3\n')
('03.7\n', '3\n')
('03.7\n', '3\n')
('03.7\n', '3\n')
(':03.7\n', '3\n')
('02.8\n', '3\n')
('01.8\n', '3\n')
(':00.8\n', '3\n')
(':00.5\n', '3\n')
(':00.5\n', '3\n')
('5:58\n', '4\n')
('5:57\n', '4\n')
('5:56\n', '4\n')
('5:55\n', '4\n')
('5:54\n', '4\n')
('5:53\n', '4\n')
