('5:22\n', '1\n')
('5:21\n', '1\n')
('5:20\n', '1\n')
('5:19\n', '1\n')
('5:18\n', '1\n')
('5:17\n', '1\n')
('5:16\n', '1\n')
('5:15\n', '1\n')
('5:12\n', '11\n')
('5:11\n', '11\n')
('5:10\n', '1\n')
('1:24\n', '1\n')
('1:23\n', '1\n')
('1:22\n', '1\n')
('1:21\n', '1\n')
('1:20\n', '1\n')
('1:19\n', '1\n')
('1:18\n', '1\n')
(':05.0\n', '1\n')
('104.1\n', '1\n')
('103.1\n', '1\n')
('102.1\n', '11\n')
('01.1\n', '11\n')
(':00.1\n', '1\n')
('40\n', '11\n')
('6:59\n', '2\n')
('6:58\n', '2\n')
('6:57\n', '2\n')
('6:56\n', '2\n')
('6:55\n', '2\n')
('6:54\n', '2\n')
('6:53\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('2:47\n', '2\n')
('2:46\n', '2\n')
('2:45\n', '2\n')
('2:44\n', '2\n')
('2:32\n', '2\n')
('2:32\n', '2\n')
('1:37\n', '2\n')
('1:36\n', '2\n')
('1:35\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:28\n', '2\n')
(':34.7\n', '2\n')
(':33.8\n', '2\n')
(':32.8\n', '2\n')
(':31.8\n', '2\n')
(':31.0\n', '2\n')
(':31.0\n', '2\n')
(':31.0\n', '2\n')
('9:03\n', '3\n')
('9:02\n', '3\n')
('9:01\n', '3\n')
('9:00\n', '3\n')
('8:59\n', '3\n')
('8:56\n', '3\n')
('7:12\n', '3\n')
('7:11\n', '3\n')
('7:10\n', '3\n')
('7:09\n', '3\n')
('7:08\n', '3\n')
('7:07\n', '3\n')
('2:40\n', '3\n')
('2:39\n', '3\n')
('2:38\n', '3\n')
('2:37\n', '3\n')
('2:36\n', '3\n')
('2:35\n', '3\n')
('2:34\n', '3\n')
('2:33\n', '3\n')
('1:28\n', '3\n')
('1:27\n', '3\n')
('1:26\n', '3\n')
('1:25\n', '3\n')
('1:24\n', '3\n')
('1:23\n', '3\n')
('1:21\n', '3\n')
('1:20\n', '3\n')
('9:51\n', '41\n')
('9:50\n', '41\n')
('9:49\n', '41\n')
('9:48\n', '41\n')
('9:47\n', '41\n')
('9:46\n', '41\n')
('8:13\n', '41\n')
('8:12\n', '41\n')
('8:11\n', '41\n')
('8:10\n', '41\n')
('8:09\n', '41\n')
('8:09\n', '41\n')
('8:08\n', '41\n')
('5:31\n', '41\n')
('5:30\n', '41\n')
('5:29\n', '41\n')
('5:28\n', '41\n')
('5:27\n', '41\n')
('5:26\n', '41\n')
('3:07\n', '41\n')
('3:06\n', '41\n')
('3:05\n', '41\n')
('3:04\n', '41\n')
('3:03\n', '41\n')
('3:02\n', '41\n')
('2:57\n', '4\n')
