('8:18\n', '11\n')
('8:17\n', '11\n')
('8:16\n', '11\n')
('8:15\n', '11\n')
('8:14\n', '11\n')
('8:13\n', '11\n')
('8:12\n', '11\n')
('3:26\n', '11\n')
('3:25\n', '11\n')
('3:24\n', '11\n')
('3:23\n', '1\n')
('3:22\n', '11\n')
('3:21\n', '11\n')
('3:20\n', '11\n')
('3:19\n', '11\n')
('3:18\n', '11\n')
('3:18\n', '11\n')
('3:18\n', '11\n')
('4:56\n', '2\n')
('4:55\n', '2\n')
('4:54\n', '2\n')
('4:53\n', '2\n')
('4:52\n', '2\n')
('4:51\n', '2\n')
('4:50\n', '2\n')
('4:49\n', '2\n')
('4:47\n', '2\n')
('4:46\n', '2\n')
('4:32\n', '2\n')
('4:31\n', '2\n')
('4:30\n', '2\n')
('4:29\n', '2\n')
('4:28\n', '2\n')
('4:27\n', '2\n')
('4:25\n', '2\n')
('10:01\n', '3\n')
('10:00\n', '3\n')
('9:59\n', '3\n')
('9:58\n', '3\n')
('9:57\n', '3\n')
('9:56\n', '3\n')
('9:55\n', '3\n')
('9:54\n', '3\n')
('9:53\n', '3\n')
('9:52\n', '3\n')
('9:51\n', '3\n')
('9:50\n', '3\n')
('3:09\n', '3\n')
('3:08\n', '3\n')
('3:07\n', '3\n')
('3:06\n', '3\n')
('3:05\n', '3\n')
('3:04\n', '3\n')
('3:03\n', '3\n')
('3:02\n', '3\n')
('3:01\n', '3\n')
('2:06\n', '3\n')
('2:05\n', '3\n')
('2:04\n', '3\n')
('2:03\n', '3\n')
('2:02\n', '3\n')
('2:01\n', '3\n')
('2:00\n', '3\n')
('1:58\n', '3\n')
('1:57\n', '3\n')
('1:56\n', '3\n')
('1:22\n', '3\n')
('1:21\n', '3\n')
('1:20\n', '3\n')
('1:19\n', '3\n')
('1:18\n', '3\n')
('1:17\n', '3\n')
('1:16\n', '3\n')
('1:15\n', '3\n')
('1:13\n', '3\n')
('1:12\n', '3\n')
('11:33\n', '414\n')
('11:32\n', '414\n')
('11:31\n', '41\n')
('11:30\n', '41\n')
('11:29\n', '414\n')
('11:28\n', '414\n')
('11:27\n', '414\n')
('11:26\n', '414\n')
('11:25\n', '4\n')
('11:22\n', '41\n')
('11:21\n', '414\n')
('9:44\n', '41\n')
('9:43\n', '41\n')
('9:42\n', '41\n')
('9:41\n', '414\n')
('9:40\n', '414\n')
('9:40\n', '4\n')
('9:40\n', '414\n')
('9:40\n', '4\n')
('9:40\n', '4\n')
('9:40\n', '4\n')
('9:40\n', '4\n')
('3:55\n', '414\n')
('3:55\n', '414\n')
('3:54\n', '414\n')
('3:53\n', '414\n')
('3:52\n', '414\n')
('3:51\n', '414\n')
('3:50\n', '414\n')
('3:49\n', '414\n')
('3:48\n', '414\n')
('3:44\n', '4\n')
('3:44\n', '44\n')
('3:43\n', '4\n')
('3:43\n', '44\n')
('3:42\n', '41\n')
('3:42\n', '4\n')
