('11:05\n', '1\n')
('11:04\n', '1\n')
('11:03\n', '1\n')
('11:02\n', '1\n')
('11:01\n', '1\n')
('7:49\n', '1\n')
('7:48\n', '1\n')
('7:47\n', '1\n')
('7:46\n', '1\n')
('7:45\n', '1\n')
('7:44\n', '1\n')
('1:41\n', '1\n')
('7:40\n', '1\n')
('7:16\n', '1\n')
('7:15\n', '1\n')
('7:14\n', '1\n')
('7:13\n', '1\n')
('7:12\n', '1\n')
('71:11\n', '1\n')
('7:10\n', '1\n')
('7:09\n', '1\n')
('7:08\n', '1\n')
('6:17\n', '1\n')
('6:16\n', '1\n')
('6:15\n', '1\n')
('6:14\n', '1\n')
('6:13\n', '1\n')
('6:12\n', '1\n')
('6:11\n', '1\n')
('6:10\n', '1\n')
(':20.6\n', '1\n')
(':18.6\n', '1\n')
(':17.6\n', '1\n')
(':16.6\n', '1\n')
('115.7\n', '1\n')
('114.7\n', '1\n')
('113.7\n', '1\n')
('113.3\n', '1\n')
('8:07\n', '2\n')
('8:05\n', '2\n')
('8:04\n', '2\n')
('4:55\n', '2\n')
('4:54\n', '2\n')
('4:53\n', '2\n')
('4:52\n', '2\n')
('4:51\n', '2\n')
('3:26\n', '2\n')
('3:25\n', '2\n')
('3:24\n', '2\n')
('3:23\n', '2\n')
('3:22\n', '2\n')
('3:21\n', '2\n')
(':06\n', '2\n')
(':05\n', '2\n')
(':04\n', '2\n')
(':03\n', '4\n')
(':02\n', '2\n')
(':01\n', '2\n')
('11:23\n', '3\n')
('11:22\n', '3\n')
('11:21\n', '3\n')
('11:20\n', '3\n')
('11:20\n', '3\n')
('11:20\n', '3\n')
('11:20\n', '3\n')
('11:20\n', '3\n')
('5:39\n', '3\n')
('5:38\n', '3\n')
('5:37\n', '3\n')
('5:36\n', '3\n')
('5:35\n', '3\n')
('5:34\n', '3\n')
('5:33\n', '3\n')
('1:48\n', '3\n')
('1:47\n', '3\n')
('1:46\n', '3\n')
('1:45\n', '3\n')
('1:44\n', '3\n')
('1:43\n', '3\n')
('1:42\n', '3\n')
('1:41\n', '3\n')
('1:41\n', '3\n')
('1:40\n', '3\n')
('1:40\n', '3\n')
