('9:13\n', '1\n')
('9:12\n', '1\n')
('9:11\n', '1\n')
('9:10\n', '1\n')
('9:09\n', '1\n')
('9:08\n', '1\n')
('7:27\n', '1\n')
('7:26\n', '1\n')
('7:25\n', '1\n')
('7:24\n', '1\n')
('7:24\n', '1\n')
('7:24\n', '1\n')
('1:31\n', '1\n')
('1:30\n', '1\n')
('1:29\n', '1\n')
('1:28\n', '1\n')
('1:27\n', '1\n')
('05.4\n', '1\n')
('04.4\n', '1\n')
('03.4\n', '1\n')
('02.7\n', '1\n')
('02.7\n', '1\n')
('3:47\n', '2\n')
('3:46\n', '2\n')
('3:45\n', '2\n')
('3:44\n', '2\n')
('3:43\n', '2\n')
('3:42\n', '2\n')
(':38.1\n', '2\n')
(':37.1\n', '2\n')
(':36.1\n', '2\n')
(':35.1\n', '2\n')
(':34.1\n', '2\n')
(':33.1\n', '2\n')
(':07.2\n', '2\n')
(':06.2\n', '2\n')
(':05.2\n', '2\n')
(':04.2\n', '2\n')
(':03.2\n', '2\n')
(':03.2\n', '2\n')
('10:07\n', '3\n')
('10:06\n', '3\n')
('10:05\n', '3\n')
('10:04\n', '3\n')
('10:03\n', '3\n')
('10:02\n', '3\n')
('6:36\n', '3\n')
('6:35\n', '3\n')
('6:34\n', '3\n')
('6:33\n', '3\n')
('6:32\n', '3\n')
('6:31\n', '3\n')
('6:30\n', '3\n')
('6:29\n', '3\n')
('10:29\n', '4\n')
('10:28\n', '4\n')
('10:27\n', '4\n')
('10:26\n', '4\n')
('10:25\n', '4\n')
('10:24\n', '4\n')
('7:33\n', '4\n')
('7:32\n', '4\n')
('7:31\n', '4\n')
('7:30\n', '4\n')
('7:29\n', '4\n')
('7:28\n', '4\n')
('7:27\n', '4\n')
('7:27\n', '4\n')
('7:27\n', '4\n')
('7:27\n', '4\n')
('7:27\n', '4\n')
('7.27\n', '4\n')
('7:27\n', '4\n')
('7:27\n', '4\n')
('7:27\n', '4\n')
('7:27\n', '4\n')
('6:02\n', '4\n')
('6:01\n', '4\n')
('6:00\n', '4\n')
('5:50\n', '4\n')
('5:58\n', '4\n')
('5:57\n', '4\n')
('2:33\n', '4\n')
('2:32\n', '4\n')
('2:31\n', '4\n')
('2:30\n', '4\n')
('2:29\n', '4\n')
('2:28\n', '4\n')
('2:27\n', '4\n')
('17.6\n', '4\n')
('16.6\n', '4\n')
(':15.6\n', '4\n')
('14.6\n', '4\n')
('13.6\n', '4\n')
('12.9\n', '4\n')
('12.9\n', '4\n')
('12.9\n', '4\n')
('12.9\n', '4\n')
('04.4\n', '4\n')
('03.4\n', '4\n')
('02.4\n', '4\n')
('01.4\n', '4\n')
(':00.5\n', '4\n')
(':00.0\n', '4\n')
(':00.0\n', '4\n')
(':00.0\n', '4\n')
('00.0\n', '4\n')
