('9:26\n', '1\n')
('9:25\n', '1\n')
('9:24\n', '1\n')
('9:23\n', '1\n')
('9:22\n', '1\n')
('9:21\n', '1\n')
('9:21\n', '1\n')
('9:21\n', '1\n')
('5:04\n', '1\n')
('5:03\n', '1\n')
('5:02\n', '1\n')
('5:01\n', '1\n')
('5:00\n', '1\n')
('4:59\n', '1\n')
('4:58\n', '1\n')
('38.0\n', '11\n')
('37.0\n', '1\n')
('36.0\n', '1\n')
('35.0\n', '11\n')
('34.1\n', '1\n')
('33.1\n', '1\n')
('32.8\n', '1\n')
('32.8\n', '1\n')
(':\n', '1\n')
('32.8\n', '1\n')
('7:23\n', '2\n')
('7:22\n', '2\n')
('7:21\n', '2\n')
('2:20\n', '2\n')
('7:19\n', '2\n')
('7:18\n', '2\n')
('2:17\n', '2\n')
('7:14\n', '2\n')
('7:13\n', '2\n')
('6:19\n', '2\n')
('6:18\n', '2\n')
('6:17\n', '2\n')
('6:16\n', '2\n')
('6:15\n', '2\n')
('6:14\n', '2\n')
('6:13\n', '2\n')
('6:12\n', '2\n')
('4:07\n', '2\n')
(':\n', '2\n')
(':\n', '2\n')
('4:04\n', '2\n')
('4:03\n', '2\n')
('4:02\n', '2\n')
('4:02\n', '2\n')
('4:02\n', '2\n')
('44:02\n', '2\n')
('44:02\n', '2\n')
('3:33\n', '2\n')
('3:32\n', '2\n')
('3:31\n', '2\n')
('3:30\n', '2\n')
('3:29\n', '2\n')
('3:28\n', '2\n')
('3:27\n', '2\n')
('2:45\n', '2\n')
('2:44\n', '2\n')
('2:43\n', '2\n')
('2:42\n', '2\n')
('2:91\n', '2\n')
('2:41\n', '2\n')
('2:41\n', '2\n')
('2:41\n', '2\n')
('2:91\n', '2\n')
('2:91\n', '2\n')
('26.8\n', '2\n')
('25.8\n', '2\n')
('24.8\n', '2\n')
('23.9\n', '2\n')
('22.9\n', '2\n')
('21.9\n', '2\n')
('20.9\n', '2\n')
(':\n', '2\n')
('19.\n', '2\n')
('9:40\n', '3\n')
('9:39\n', '3\n')
('9:38\n', '3\n')
('9:37\n', '3\n')
('9:36\n', '3\n')
(':153\n', '3\n')
(':4\n', '3\n')
('8:56\n', '3\n')
(':1\n', '3\n')
('8:54\n', '3\n')
('8:53\n', '3\n')
('8:42\n', '3\n')
('8:41\n', '3\n')
('8:40\n', '3\n')
('8:39\n', '3\n')
('8:38\n', '3\n')
('8:37\n', '3\n')
('8:37\n', '3\n')
('8:37\n', '3\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
(':4\n', '3\n')
('5:46\n', '3\n')
('5:45\n', '3\n')
('1:47\n', '3\n')
('1:46\n', '3\n')
('1:45\n', '3\n')
('1:44\n', '3\n')
('1:43\n', '3\n')
('1:42\n', '3\n')
('1:40\n', '3\n')
('1:39\n', '3\n')
('1:38\n', '3\n')
('42.7\n', '3\n')
('41.8\n', '3\n')
('40.8\n', '3\n')
('39.8\n', '3\n')
('::\n', '3\n')
('37.8\n', '3\n')
('37.5\n', '3\n')
('37.5\n', '3\n')
('9:40\n', '4\n')
('9:39\n', '4\n')
('9:38\n', '4\n')
('9:37\n', '4\n')
('4:54\n', '4\n')
('4:53\n', '4\n')
('44:52\n', '4\n')
('44:49\n', '4\n')
('3:08\n', '4\n')
('3:06\n', '4\n')
('3:05\n', '4\n')
('3:04\n', '4\n')
('3:03\n', '4\n')
('3:02\n', '4\n')
