('6:36\n', '1\n')
('6:35\n', '1\n')
('6:34\n', '1\n')
('6:33\n', '1\n')
('6:32\n', '1\n')
('6:31\n', '1\n')
('5:10\n', '1\n')
('5:09\n', '1\n')
('5:08\n', '1\n')
('5:07\n', '1\n')
('5:06\n', '1\n')
('5:05\n', '1\n')
('5:04\n', '1\n')
('5:03\n', '1\n')
('1:46\n', '1\n')
('1:45\n', '1\n')
('1:44\n', '1\n')
('1:43\n', '1\n')
('1:42\n', '1\n')
('1:41\n', '1\n')
('1:40\n', '1\n')
('1:39\n', '1\n')
('7:05\n', '1\n')
('1:04\n', '1\n')
(':03\n', '1\n')
('7:02\n', '1\n')
('7:01\n', '1\n')
('1:01\n', '1\n')
('9:52\n', '2\n')
('9:51\n', '2\n')
('9:50\n', '2\n')
('9:49\n', '2\n')
('9:48\n', '2\n')
('9:47\n', '2\n')
('5:50\n', '2\n')
('5:49\n', '2\n')
('5:48\n', '2\n')
('5:47\n', '2\n')
('5:46\n', '2\n')
('5:45\n', '2\n')
('4:04\n', '2\n')
('4:03\n', '2\n')
('4:02\n', '2\n')
('4:01\n', '2\n')
('4:00\n', '2\n')
(':05\n', '2\n')
(':04\n', '2\n')
(':03\n', '2\n')
(':02\n', '2\n')
(':01\n', '2\n')
('9:29\n', '3\n')
('9:28\n', '3\n')
('9:27\n', '3\n')
('9:26\n', '3\n')
('9:25\n', '3\n')
('9:25\n', '3\n')
('9:25\n', '3\n')
('5:51\n', '3\n')
('5:50\n', '3\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('5:47\n', '3\n')
('2:26\n', '3\n')
('2:25\n', '3\n')
('2:24\n', '3\n')
('2:23\n', '3\n')
('2:22\n', '3\n')
('2:21\n', '3\n')
('2:20\n', '3\n')
('2:19\n', '3\n')
('2:18\n', '3\n')
('6:50\n', '4\n')
('6:49\n', '4\n')
('6:48\n', '4\n')
('6:47\n', '4\n')
('6:46\n', '4\n')
('6:45\n', '4\n')
('6:45\n', '4\n')
('6:44\n', '4\n')
('6:43\n', '4\n')
('5:51\n', '4\n')
('5:50\n', '4\n')
('5:49\n', '4\n')
('5:48\n', '4\n')
('5:47\n', '4\n')
('3:59\n', '4\n')
('3:59\n', '4\n')
('3:58\n', '4\n')
('3:57\n', '4\n')
('3:56\n', '4\n')
('3:55\n', '4\n')
('1:00\n', '4\n')
(':59.1\n', '4\n')
('58.1\n', '4\n')
('57.1\n', '4\n')
(':56.2\n', '4\n')
('41.1\n', '4\n')
('40.2\n', '4\n')
(':39.2\n', '4\n')
(':38.2\n', '4\n')
(':37.2\n', '4\n')
(':36.9\n', '4\n')
(':36.9\n', '4\n')
