('344\n', '1\n')
('5:43\n', '1\n')
('542\n', '1\n')
('5:41\n', '1\n')
('5:40\n', '1\n')
('5:39\n', '1\n')
('5:38\n', '1\n')
('5:37\n', '1\n')
('451\n', '1\n')
('4:50\n', '1\n')
('4.49\n', '1\n')
('4.48\n', '1\n')
('4:47\n', '1\n')
('4:46\n', '1\n')
('4:45\n', '1\n')
('2:13\n', '1\n')
('2:12\n', '1\n')
('2:11\n', '1\n')
('2:10\n', '1\n')
('2:09\n', '1\n')
('2:09\n', '1\n')
('2:09\n', '1\n')
('2:09\n', '1\n')
('2:09\n', '1\n')
('2:09\n', '1\n')
('5:42\n', '2\n')
('5:41\n', '2\n')
('5:40\n', '2\n')
('5:39\n', '2\n')
('5:38\n', '2\n')
('5:37\n', '2\n')
('5:36\n', '2\n')
('4:.05\n', '2\n')
('4.04\n', '2\n')
('4:.03\n', '2\n')
('4:.02\n', '2\n')
('4:01\n', '2\n')
('4:.00\n', '2\n')
('3:59\n', '2\n')
('3.58\n', '2\n')
('3:37\n', '2\n')
('3:36\n', '2\n')
('3:35\n', '2\n')
('3:34\n', '2\n')
('3:33\n', '2\n')
('3:32\n', '2\n')
('3:31\n', '2\n')
('3:20\n', '2\n')
('3:28\n', '2\n')
('114.1\n', '3\n')
('113.1\n', '3\n')
('12.1\n', '3\n')
('111.2\n', '3\n')
(':10.2\n', '3\n')
(':09.5\n', '3\n')
('09.5\n', '3\n')
('09.5\n', '3\n')
('08.8\n', '3\n')
('11:13\n', '4\n')
('11:12\n', '4\n')
('11:11\n', '4\n')
('11:10\n', '4\n')
('11:09\n', '4\n')
('11:08\n', '4\n')
('11:07\n', '4\n')
('9:03\n', '4\n')
('9:02\n', '4\n')
('9.01\n', '4\n')
('9.00\n', '4\n')
('8:59\n', '4\n')
('7:12\n', '4\n')
('7:11\n', '4\n')
('7:10\n', '4\n')
('7:09\n', '4\n')
('7:08\n', '4\n')
('7:07\n', '4\n')
('7:04\n', '4\n')
('7:03\n', '4\n')
('3:28\n', '4\n')
('3:27\n', '4\n')
('3:26\n', '4\n')
('3:25\n', '4\n')
('3:24\n', '4\n')
('3:23\n', '4\n')
('3:22\n', '4\n')
('3:21\n', '4\n')
('3:16\n', '4\n')
('3:15\n', '4\n')
('52.2\n', '4\n')
('51.2\n', '4\n')
(':50.3\n', '4\n')
(':49.3\n', '4\n')
(':48.3\n', '4\n')
('47.3\n', '4\n')
('46.5\n', '4\n')
('46.5\n', '4\n')
(':36.6\n', '4\n')
(':35.6\n', '4\n')
('34.6\n', '4\n')
(':33.6\n', '4\n')
('32.7\n', '4\n')
(':32.6\n', '4\n')
(':32.6\n', '4\n')
('32.6\n', '4\n')
('10.3\n', '4\n')
(':09.3\n', '4\n')
(':08.3\n', '4\n')
('07.3\n', '4\n')
(':06.3\n', '4\n')
(':05.3\n', '4\n')
('04.4\n', '4\n')
('03.4\n', '4\n')
