('7:22\n', '1\n')
('721\n', '1\n')
('7:20\n', '1\n')
('719\n', '1\n')
('718\n', '1\n')
('717\n', '1\n')
('716\n', '1\n')
('319\n', '1\n')
('5:28\n', '1\n')
('5:27\n', '1\n')
('5:26\n', '1\n')
('5:25\n', '1\n')
('5:24\n', '1\n')
('5:23\n', '1\n')
('5:22\n', '1\n')
('4:10\n', '1\n')
('4:09\n', '1\n')
('4:08\n', '1\n')
('4:07\n', '1\n')
('4:07\n', '1\n')
('4:07\n', '1\n')
('4:07\n', '1\n')
('3:36\n', '1\n')
('3:35\n', '1\n')
('3:33\n', '1\n')
('3:32\n', '1\n')
('3:30\n', '1\n')
('3:29\n', '1\n')
('219\n', '1\n')
('218\n', '1\n')
('217\n', '1\n')
('216\n', '1\n')
('2:15\n', '1\n')
('214\n', '1\n')
('213\n', '1\n')
('212\n', '1\n')
('9:20\n', '2\n')
('9:19\n', '2\n')
('9:18\n', '2\n')
('917\n', '2\n')
('9:16\n', '2\n')
('9:15\n', '2\n')
('9:14\n', '2\n')
('2:51\n', '2\n')
('2:50\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('2:47\n', '2\n')
('2:46\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('.\n', '2\n')
('8:07\n', '3\n')
('8:06\n', '3\n')
('8:05\n', '3\n')
('8:04\n', '3\n')
('8:03\n', '3\n')
('8:02\n', '3\n')
('8:01\n', '3\n')
('7:58\n', '3\n')
('7:57\n', '3\n')
('5:40\n', '3\n')
('5:39\n', '3\n')
('5:38\n', '3\n')
('5:37\n', '3\n')
('5:36\n', '3\n')
('5:35\n', '3\n')
('5:34\n', '3\n')
('5:34\n', '3\n')
('316\n', '3\n')
('3:15\n', '3\n')
('314\n', '3\n')
('312\n', '3\n')
('311\n', '3\n')
('310\n', '3\n')
('11:06\n', '4\n')
('11:05\n', '4\n')
('11:03\n', '4\n')
('11:02\n', '4\n')
('11:01\n', '4\n')
('7:27\n', '4\n')
('7:26\n', '4\n')
('7:25\n', '4\n')
('7:24\n', '4\n')
('7:23\n', '4\n')
('71\n', '4\n')
('7:20\n', '4\n')
('7:20\n', '4\n')
('4:28\n', '4\n')
('4:27\n', '4\n')
('4:26\n', '4\n')
('4:25\n', '4\n')
('4:24\n', '4\n')
('4:23\n', '4\n')
('4:23\n', '4\n')
('4:23\n', '4\n')
