('8:07\n', '1\n')
('8:05\n', '1\n')
('8:04\n', '1\n')
('8:03\n', '1\n')
('8:02\n', '1\n')
('5:44\n', '1\n')
('5:43\n', '1\n')
('5:42\n', '1\n')
('5:41\n', '1\n')
('5:40\n', '1\n')
('5:39\n', '1\n')
('5:38\n', '1\n')
('5:33\n', '1\n')
('5:32\n', '1\n')
('4:26\n', '1\n')
('4:25\n', '1\n')
('4:24\n', '1\n')
('4:23\n', '1\n')
('4:22\n', '1\n')
(':38.9\n', '1\n')
(':37.9\n', '1\n')
(':37.0\n', '1\n')
(':36.0\n', '1\n')
(':35.0\n', '1\n')
(':34.9\n', '1\n')
('6:51\n', '2\n')
('6:50\n', '2\n')
('6:49\n', '2\n')
('6:48\n', '2\n')
('6:47\n', '2\n')
('6:47\n', '2\n')
('6:47\n', '2\n')
('6:47\n', '2\n')
('2:35\n', '2\n')
('2:34\n', '2\n')
('2:33\n', '2\n')
('2:32\n', '2\n')
('2:31\n', '2\n')
('2:30\n', '2\n')
('2:29\n', '2\n')
('2:28\n', '2\n')
('41.3\n', '2\n')
('40.3\n', '2\n')
('39.3\n', '2\n')
(':38.3\n', '2\n')
('37.3\n', '2\n')
('37.1\n', '2\n')
('37.1\n', '2\n')
('37.1\n', '2\n')
('37.1\n', '2\n')
('31.1\n', '2\n')
(':30.2\n', '2\n')
(':29.2\n', '2\n')
('28.2\n', '2\n')
('28.0\n', '2\n')
('10:41\n', '3\n')
('10:46\n', '3\n')
('10:45\n', '3\n')
('10:44\n', '3\n')
('10:43\n', '3\n')
('10:42\n', '3\n')
('10:41\n', '3\n')
('10:4\n', '3\n')
('10:36\n', '3\n')
('9:51\n', '3\n')
('9:50\n', '3\n')
('9:49\n', '3\n')
('9:48\n', '3\n')
('9:47\n', '3\n')
('9:46\n', '3\n')
('9:45\n', '3\n')
('9:45\n', '3\n')
('4:29\n', '3\n')
('4:28\n', '3\n')
('4:27\n', '3\n')
('4:26\n', '3\n')
('4:25\n', '3\n')
('4:24\n', '3\n')
('4:24\n', '3\n')
('2:44\n', '3\n')
('2:43\n', '3\n')
('2:42\n', '3\n')
('2:41\n', '3\n')
('2:40\n', '3\n')
('35.1\n', '3\n')
('34.1\n', '3\n')
(':33.2\n', '3\n')
('32.2\n', '3\n')
('31.2\n', '3\n')
('30.6\n', '3\n')
('30.6\n', '3\n')
('30.6\n', '3\n')
('30.6\n', '3\n')
('5:52\n', '4\n')
('5:51\n', '4\n')
('5:50\n', '4\n')
('5:50\n', '4\n')
('5:50\n', '4\n')
('5:50\n', '4\n')
('5:50\n', '4\n')
('5:50\n', '4\n')
('5:31\n', '4\n')
('5:30\n', '4\n')
('5:30\n', '4\n')
('5:29\n', '4\n')
('5:28\n', '4\n')
('5:27\n', '4\n')
('95:28\n', '4\n')
('1:08\n', '4\n')
('1:07\n', '4\n')
('1:06\n', '4\n')
('1:05\n', '4\n')
('1:05\n', '4\n')
