('8:07\n', '1\n')
('8:06\n', '1\n')
('8:05\n', '1\n')
('8:04\n', '1\n')
('8:03\n', '1\n')
('6:17\n', '1\n')
('6:16\n', '1\n')
('6:15\n', '1\n')
('6:14\n', '1\n')
('6:13\n', '1\n')
('6:12\n', '1\n')
('526\n', '1\n')
('51.6\n', '1\n')
('50.6\n', '1\n')
('496\n', '1\n')
('48.6\n', '1\n')
('10:14\n', '2\n')
('10:13\n', '2\n')
('10:12\n', '2\n')
('10:11\n', '2\n')
('9:14\n', '2\n')
('913\n', '2\n')
('912\n', '2\n')
('911\n', '2\n')
('910\n', '2\n')
('9:10\n', '2\n')
('9:10\n', '2\n')
('6:47\n', '2\n')
('6:46\n', '2\n')
('6:45\n', '2\n')
('6:43\n', '2\n')
('6:42\n', '2\n')
('6:42\n', '2\n')
('6:41\n', '2\n')
('6:40\n', '2\n')
('4:40\n', '2\n')
('4:39\n', '2\n')
('4:38\n', '2\n')
('4:37\n', '2\n')
('4:36\n', '2\n')
('4:35\n', '2\n')
('4:35\n', '2\n')
('4:35\n', '2\n')
('4:35\n', '2\n')
('4:35\n', '2\n')
('213\n', '2\n')
('212\n', '2\n')
('211\n', '2\n')
('210\n', '2\n')
('2:09\n', '2\n')
('10:17\n', '3\n')
('10:17\n', '3\n')
('10:16\n', '3\n')
('10:15\n', '3\n')
('10:14\n', '3\n')
('10:13\n', '3\n')
('10:12\n', '3\n')
('10:11\n', '3\n')
('841\n', '3\n')
('8:40\n', '3\n')
('8:39\n', '3\n')
('8:38\n', '3\n')
('8:37\n', '3\n')
('8:36\n', '3\n')
('7:28\n', '3\n')
('7:27\n', '3\n')
('7:26\n', '3\n')
('7:25\n', '3\n')
('7:22\n', '3\n')
('7:21\n', '3\n')
('3:45\n', '3\n')
('3:44\n', '3\n')
('3:43\n', '3\n')
('3:42\n', '3\n')
('3:41\n', '3\n')
('3:40\n', '3\n')
('196\n', '3\n')
('18.6\n', '3\n')
('176\n', '3\n')
('156\n', '3\n')
('148\n', '3\n')
('03.6\n', '3\n')
('02.6\n', '3\n')
('01.6\n', '3\n')
('00.7\n', '3\n')
('00.0\n', '3\n')
('7:59\n', '4\n')
('7:58\n', '4\n')
('7:57\n', '4\n')
('7:55\n', '4\n')
('7:54\n', '4\n')
('7:53\n', '4\n')
('7:52\n', '4\n')
('5:58\n', '4\n')
('5:57\n', '4\n')
('5:56\n', '4\n')
('5:55\n', '4\n')
('5:54\n', '4\n')
('3:82\n', '4\n')
('3:41\n', '4\n')
('3:40\n', '4\n')
('3:39\n', '4\n')
('3:37\n', '4\n')
