('6:34\n', '1\n')
('6:33\n', '1\n')
('6:32\n', '1\n')
('6:31\n', '1\n')
('6:30\n', '1\n')
('6:29\n', '1\n')
('6:28\n', '1\n')
('6:27\n', '1\n')
('6:26\n', '1\n')
('6:25\n', '1\n')
('3:38\n', '1\n')
('3:37\n', '1\n')
('3:36\n', '1\n')
('3:35\n', '1\n')
('3:34\n', '1\n')
('3:33\n', '1\n')
('3:30\n', '1\n')
('3:29\n', '1\n')
('7:54\n', '2\n')
('7:54\n', '2\n')
('7:53\n', '2\n')
('7:52\n', '2\n')
('7:51\n', '2\n')
('7:50\n', '2\n')
('7:50\n', '2\n')
('7:50\n', '2\n')
('7:50\n', '2\n')
('4:13\n', '2\n')
('4:12\n', '2\n')
('4:11\n', '2\n')
('4:10\n', '2\n')
('4:09\n', '2\n')
('2:50\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('2:47\n', '2\n')
('2:46\n', '2\n')
('2:45\n', '2\n')
('147.3\n', '2\n')
(':46.3\n', '2\n')
('45.3\n', '2\n')
('144.3\n', '2\n')
('43.4\n', '2\n')
('43.2\n', '2\n')
('143.2\n', '2\n')
(':43.2\n', '2\n')
('9:57\n', '3\n')
('9:56\n', '3\n')
('9:55\n', '3\n')
('9:54\n', '3\n')
('9:54\n', '3\n')
('8:46\n', '3\n')
('8:45\n', '3\n')
('8:44\n', '3\n')
('8:43\n', '3\n')
('8:42\n', '3\n')
('8:41\n', '3\n')
('7:46\n', '3\n')
('7:45\n', '3\n')
('7:44\n', '3\n')
('7:43\n', '3\n')
('7:42\n', '3\n')
('7:41\n', '3\n')
('7:40\n', '3\n')
('6:32\n', '3\n')
('6:31\n', '3\n')
('6:30\n', '3\n')
('6:29\n', '3\n')
('6:28\n', '3\n')
('6:23\n', '3\n')
('6:22\n', '3\n')
('10:32\n', '4\n')
('10:31\n', '4\n')
('10:30\n', '4\n')
('10:29\n', '4\n')
('10:28\n', '4\n')
('10:27\n', '4\n')
('10:26\n', '4\n')
('10:25\n', '4\n')
('10:24\n', '4\n')
('10:23\n', '4\n')
('8:56\n', '4\n')
('8:55\n', '4\n')
('8:54\n', '4\n')
('8:53\n', '4\n')
('8:53\n', '4\n')
('8:53\n', '4\n')
('8:53\n', '4\n')
('8:53\n', '4\n')
