('7:27\n', '1\n')
('7:26\n', '1\n')
('7:25\n', '1\n')
('7:24\n', '1\n')
('7:23\n', '1\n')
('7:22\n', '1\n')
('7:21\n', '1\n')
('7:19\n', '1\n')
('3:04\n', '1\n')
('1\n', '1\n')
('3:02\n', '1\n')
('3:01\n', '1\n')
('3:00\n', '1\n')
('2:59\n', '1\n')
('10:59\n', '2\n')
('10:58\n', '2\n')
('10:57\n', '2\n')
('10:56\n', '2\n')
('10:55\n', '2\n')
('10:54\n', '2\n')
('10:53\n', '2\n')
('8:49\n', '2\n')
('8:48\n', '2\n')
('8:47\n', '2\n')
('8:46\n', '2\n')
('8:45\n', '2\n')
('8:44\n', '2\n')
('8:43\n', '2\n')
('8:42\n', '2\n')
('7:22\n', '2\n')
('7:22\n', '2\n')
('7:20\n', '2\n')
('7:20\n', '2\n')
('7:19\n', '2\n')
('6:31\n', '2\n')
('6:30\n', '2\n')
('6:29\n', '2\n')
('6:28\n', '2\n')
('6:27\n', '2\n')
('6:26\n', '2\n')
('6:25\n', '2\n')
('2:06\n', '2\n')
('2:05\n', '2\n')
('2:04\n', '2\n')
('2:03\n', '2\n')
('2:02\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('1:26\n', '2\n')
('1:25\n', '2\n')
('9:49\n', '3\n')
('9:48\n', '3\n')
('9:47\n', '3\n')
('9:46\n', '3\n')
('9:45\n', '3\n')
('9:44\n', '3\n')
('9:43\n', '3\n')
('9:42\n', '3\n')
('9:41\n', '3\n')
('8:01\n', '3\n')
('8:00\n', '3\n')
('7:59\n', '3\n')
('7:58\n', '3\n')
('7:57\n', '3\n')
('3:36\n', '3\n')
('3:35\n', '3\n')
('3:34\n', '3\n')
('3:33\n', '3\n')
('3:32\n', '3\n')
('3:31\n', '3\n')
('3:30\n', '3\n')
('3:30\n', '3\n')
('3:30\n', '3\n')
('3:30\n', '3\n')
('06.8\n', '3\n')
('05.8\n', '3\n')
('04.8\n', '3\n')
('03.8\n', '3\n')
('028\n', '3\n')
('7:08\n', '4\n')
('7:06\n', '4\n')
('7:04\n', '4\n')
('7:03\n', '4\n')
('7:02\n', '4\n')
('7:02\n', '4\n')
('7:02\n', '4\n')
('7:02\n', '4\n')
