('7:52\n', '1\n')
('7:51\n', '11\n')
('7:50\n', '11\n')
('7:49\n', '11\n')
('7:48\n', '1\n')
('7:47\n', '11\n')
('7:48\n', '11\n')
('7:45\n', '11\n')
('17:43\n', '1\n')
('4:37\n', '1\n')
('4:36\n', '1\n')
('4:35\n', '1\n')
('4:34\n', '1\n')
('4:33\n', '1\n')
('4:32\n', '1\n')
('4:31\n', '1\n')
('4:30\n', '11\n')
('3:08\n', '11\n')
('3.07\n', '1\n')
('3.08\n', '1\n')
('3.05\n', '1\n')
('3:04\n', '1\n')
('3.03\n', '1\n')
('3:02\n', '1\n')
('3:01\n', '11\n')
('3:00\n', '1\n')
('9:25\n', '2\n')
('9:24\n', '2\n')
('9:23\n', '2\n')
('9:22\n', '2\n')
('9:22\n', '2\n')
('9:21\n', '2\n')
('9:20\n', '2\n')
('9:19\n', '2\n')
('4:57\n', '2\n')
('4:56\n', '2\n')
('4:55\n', '2\n')
('4:54\n', '2\n')
('4:53\n', '2\n')
('4:52\n', '2\n')
('4:51\n', '2\n')
('4:50\n', '2\n')
('4:49\n', '2\n')
('1:35\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('11:13\n', '3\n')
('11:12\n', '3\n')
('11:11\n', '3\n')
('11:10\n', '3\n')
('11:09\n', '3\n')
('11:08\n', '3\n')
('11:07\n', '3\n')
('11:08\n', '3\n')
('11:05\n', '3\n')
('8:38\n', '3\n')
('8:37\n', '3\n')
('8:36\n', '3\n')
('8:35\n', '3\n')
('8:34\n', '3\n')
('8:33\n', '3\n')
('8:32\n', '3\n')
('8:31\n', '3\n')
('7:17\n', '3\n')
('7:16\n', '3\n')
('7:15\n', '3\n')
('7:14\n', '3\n')
('7:13\n', '3\n')
('7:12\n', '3\n')
('8:24\n', '3\n')
('6:23\n', '3\n')
('8:22\n', '3\n')
('6:21\n', '3\n')
('8:21\n', '3\n')
('6:2\n', '3\n')
('2:44\n', '3\n')
('2:43\n', '3\n')
('2:42\n', '3\n')
('2:41\n', '3\n')
('2:40\n', '3\n')
('2:39\n', '3\n')
('2:38\n', '3\n')
('12:38\n', '3\n')
('6:17\n', '41\n')
('6:16\n', '41\n')
('6:15\n', '4\n')
('6:14\n', '41\n')
('4:48\n', '4\n')
('4:47\n', '41\n')
('4:48\n', '4\n')
('4:45\n', '41\n')
('4:44\n', '41\n')
('4:43\n', '41\n')
('2:23\n', '41\n')
('2:22\n', '41\n')
('2:21\n', '4\n')
('2:20\n', '41\n')
('2:18\n', '41\n')
('2:17\n', '4\n')
('2:17\n', '4\n')
