('7:14\n', '11\n')
('7:13\n', '11\n')
('7:12\n', '11\n')
('7:11\n', '11\n')
('7:10\n', '1\n')
('5:08\n', '1\n')
('5:06\n', '1\n')
('5:04\n', '1\n')
('1:04\n', '1\n')
('1:04\n', '1\n')
('9:58\n', '2\n')
('9:57\n', '2\n')
('9:56\n', '2\n')
('9:55\n', '2\n')
('9:54\n', '2\n')
('9:53\n', '2\n')
('7:42\n', '2\n')
('7:41\n', '2\n')
('7:40\n', '2\n')
('7:39\n', '2\n')
('7:38\n', '2\n')
('7:37\n', '2\n')
('7:36\n', '2\n')
('2:06\n', '2\n')
('2:05\n', '2\n')
('2:04\n', '2\n')
('2:03\n', '2\n')
('2:02\n', '2\n')
('2:01\n', '2\n')
('1:56\n', '2\n')
('1:55\n', '2\n')
('11:33\n', '3\n')
('11:32\n', '3\n')
('11:31\n', '3\n')
('11:30\n', '3\n')
('11:29\n', '3\n')
('11:28\n', '3\n')
('11:27\n', '3\n')
('10:13\n', '3\n')
('10:12\n', '3\n')
('10:11\n', '3\n')
('10:10\n', '3\n')
('10:08\n', '3\n')
('10:08\n', '3\n')
('4:12\n', '3\n')
('4:11\n', '3\n')
('4:10\n', '3\n')
('4:09\n', '3\n')
('4:08\n', '3\n')
('4:07\n', '3\n')
('51.1\n', '3\n')
('50.1\n', '3\n')
('49.1\n', '3\n')
('48.1\n', '3\n')
('47.2\n', '3\n')
('47.1\n', '3\n')
('47.1\n', '3\n')
('8:54\n', '4\n')
('8:54\n', '4\n')
('8:53\n', '4\n')
('8:52\n', '4\n')
('7:55\n', '4\n')
('7:54\n', '4\n')
('7:53\n', '4\n')
('7:52\n', '4\n')
('7:51\n', '4\n')
('7:50\n', '4\n')
('5:17\n', '4\n')
('5:16\n', '4\n')
('5:15\n', '4\n')
('5:13\n', '4\n')
('1:46\n', '4\n')
('1:45\n', '4\n')
('1:44\n', '4\n')
