('9:05\n', '1\n')
('9:04\n', '1\n')
('9:03\n', '11\n')
('9:02\n', '1\n')
('9:01\n', '1\n')
('11:06\n', '2\n')
('11:05\n', '2\n')
('11:04\n', '2\n')
('11:03\n', '2\n')
('11:02\n', '2\n')
('7:27\n', '2\n')
('7:26\n', '2\n')
('7:25\n', '2\n')
('7:24\n', '2\n')
('7:23\n', '2\n')
('5:12\n', '2\n')
('5:11\n', '2\n')
('5:10\n', '2\n')
('5:09\n', '2\n')
('5:08\n', '2\n')
('5:\n', '2\n')
('3:25\n', '2\n')
('3:24\n', '2\n')
('3:23\n', '2\n')
('3:22\n', '2\n')
('2:23\n', '2\n')
('2:22\n', '2\n')
('2:21\n', '2\n')
('2:20\n', '2\n')
('2:19\n', '2\n')
('2:18\n', '2\n')
('2:01\n', '2\n')
('2:00\n', '2\n')
('1:59\n', '2\n')
('1:58\n', '2\n')
('1:57\n', '2\n')
('1:56\n', '2\n')
(':29.2\n', '2\n')
(':28.2\n', '2\n')
('27.2\n', '2\n')
(':26.3\n', '2\n')
(':26.2\n', '2\n')
(':26.2\n', '2\n')
(':26.2\n', '2\n')
(':26.2\n', '2\n')
('8:49\n', '3\n')
('8:48\n', '3\n')
('8:47\n', '3\n')
('8:46\n', '3\n')
('8458\n', '2\n')
('8:07\n', '3\n')
('8:05\n', '3\n')
('8:04\n', '3\n')
('8:03\n', '3\n')
('7:03\n', '3\n')
('7:02\n', '3\n')
('7:01\n', '3\n')
('7:00\n', '3\n')
('7:00\n', '3\n')
('7:00\n', '3\n')
('7:00\n', '3\n')
('7:00\n', '3\n')
('5:53\n', '3\n')
('5:52\n', '3\n')
('5:51\n', '3\n')
('5:50\n', '3\n')
('5:50\n', '3\n')
(':48.4\n', '3\n')
(':47.4\n', '3\n')
(':46.4\n', '3\n')
(':45.4\n', '3\n')
(':44.5\n', '3\n')
(':16.5\n', '3\n')
(':15.5\n', '3\n')
(':14.5\n', '3\n')
(':13.5\n', '3\n')
(':12.5\n', '3\n')
(':11.6\n', '3\n')
('11\n', '3\n')
(':08\n', '41\n')
(':07\n', '41\n')
