('11:04\n', '2\n')
('11:03\n', '2\n')
('11:02\n', '2\n')
('11:01\n', '2\n')
('11:00\n', '2\n')
('10:59\n', '2\n')
('10:52\n', '2\n')
('10:51\n', '2\n')
('10:51\n', '2\n')
('10:50\n', '2\n')
('10:49\n', '2\n')
('10:48\n', '2\n')
('10:47\n', '2\n')
('9:55\n', '3\n')
('9:54\n', '3\n')
('9:53\n', '3\n')
('9:52\n', '3\n')
('9:51\n', '3\n')
('9:50\n', '3\n')
('9:50\n', '3\n')
('9:50\n', '3\n')
('9:50\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('7:32\n', '3\n')
('7:32\n', '3\n')
('6:49\n', '3\n')
('6:48\n', '3\n')
('6:47\n', '3\n')
('6:46\n', '3\n')
('6:45\n', '3\n')
('6:44\n', '3\n')
('6:40\n', '3\n')
('6:39\n', '3\n')
('7.6\n', '3\n')
('6.7\n', '3\n')
('57\n', '3\n')
('4.7\n', '3\n')
('3.7\n', '3\n')
('3.1\n', '3\n')
('10:43\n', '4\n')
('10:42\n', '4\n')
('10:41\n', '4\n')
('10:40\n', '4\n')
('10:39\n', '4\n')
('8:47\n', '4\n')
('8:46\n', '4\n')
('8:45\n', '4\n')
('8:44\n', '4\n')
('8:43\n', '4\n')
('8:41\n', '4\n')
('8:40\n', '4\n')
('.3:45\n', '4\n')
('.3:44\n', '4\n')
('.3:43\n', '4\n')
('.3:42\n', '4\n')
('3:41\n', '4\n')
('.3:40\n', '4\n')
(':3:37\n', '4\n')
('.3:36\n', '4\n')
('3:05\n', '4\n')
('.3:04\n', '4\n')
('.3:03\n', '4\n')
('.3:02\n', '4\n')
('.3:01\n', '4\n')
('.3:00\n', '4\n')
('.2:30\n', '4\n')
('2:29\n', '4\n')
('.2:28\n', '4\n')
('2:27\n', '4\n')
('2:26\n', '4\n')
('2:25\n', '4\n')
('2:24\n', '4\n')
('2:24\n', '4\n')
('.1:13\n', '4\n')
('1:12\n', '4\n')
('.1:11\n', '4\n')
('.1:10\n', '4\n')
('.1:09\n', '4\n')
('.1:09\n', '4\n')
('1:08\n', '4\n')
('.57.4\n', '4\n')
('.56.5\n', '4\n')
('.55.5\n', '4\n')
('.54.5\n', '4\n')
('.53.5\n', '4\n')
('.53.3\n', '4\n')
('.27.8\n', '4\n')
('.26.8\n', '4\n')
(':25.8\n', '4\n')
(':24.9\n', '4\n')
(':23.9\n', '4\n')
(':22.9\n', '4\n')
('.8.0\n', '4\n')
('.7.0\n', '4\n')
(':.6.1\n', '4\n')
(':5.0\n', '4\n')
(':4.1\n', '4\n')
('3.1\n', '4\n')
('.2.1\n', '4\n')
('.1.8\n', '4\n')
