('6:41\n', '11\n')
('6:40\n', '11\n')
('6:39\n', '11\n')
('6:38\n', '11\n')
('6:37\n', '11\n')
('6:36\n', '11\n')
('6:35\n', '11\n')
('6:33\n', '11\n')
('6:32\n', '11\n')
('5:05\n', '11\n')
('5:04\n', '11\n')
('5:03\n', '11\n')
('5:02\n', '11\n')
('5:01\n', '11\n')
('5:00\n', '11\n')
('3:01\n', '11\n')
('3:00\n', '11\n')
('2:59\n', '11\n')
('2:58\n', '11\n')
('2:57\n', '11\n')
('2:56\n', '11\n')
('2:56\n', '11\n')
('10:31\n', '2\n')
('10:26\n', '2\n')
('10:25\n', '2\n')
('7:42\n', '2\n')
('7:42\n', '2\n')
('7:41\n', '2\n')
('7:40\n', '2\n')
('7:39\n', '2\n')
('7:38\n', '2\n')
('1:37\n', '2\n')
('33.3\n', '2\n')
('32.3\n', '2\n')
('31.3\n', '2\n')
('30.4\n', '2\n')
('29.4\n', '2\n')
('10:07\n', '3\n')
('10:06\n', '3\n')
('10:05\n', '3\n')
('10:04\n', '3\n')
('10:03\n', '3\n')
('10:02\n', '3\n')
('5:55\n', '3\n')
('5:54\n', '3\n')
('553\n', '3\n')
('5:52\n', '3\n')
('551\n', '3\n')
('5:50\n', '3\n')
('5:49\n', '3\n')
('10:25\n', '4\n')
('10:24\n', '44\n')
('10:23\n', '4\n')
('10:22\n', '414\n')
('10:21\n', '41\n')
('10:20\n', '4\n')
('10:19\n', '4\n')
('7:46\n', '4\n')
('7:45\n', '41\n')
('7:43\n', '414\n')
('7:42\n', '41\n')
('3:31\n', '41\n')
('3:30\n', '4\n')
('3:29\n', '414\n')
('3:28\n', '41\n')
('3:26\n', '4\n')
('2:19\n', '4\n')
('2:18\n', '4\n')
('2:17\n', '41\n')
('2:16\n', '41\n')
('2:15\n', '41\n')
('2:14\n', '414\n')
('2:11\n', '4\n')
('2:10\n', '4\n')
('1:47\n', '414\n')
('1:47\n', '41\n')
('1:46\n', '4\n')
('1:45\n', '41\n')
('1:44\n', '4\n')
('1:44\n', '4\n')
