('11:46\n', '1\n')
('11:45\n', '1\n')
('11:44\n', '1\n')
('11:43\n', '1\n')
('11:42\n', '1\n')
('11:41\n', '1\n')
('11:39\n', '1\n')
('11:38\n', '1\n')
('11:37\n', '1\n')
('10:14\n', '1\n')
('10:13\n', '1\n')
('10:12\n', '1\n')
('10:11\n', '1\n')
('10:10\n', '1\n')
('10:09\n', '1\n')
('10:08\n', '1\n')
('9:17\n', '1\n')
('9:16\n', '1\n')
('9:15\n', '1\n')
('9:14\n', '1\n')
('9:13\n', '1\n')
('4:35\n', '1\n')
('4:34\n', '1\n')
('4:33\n', '1\n')
('4:32\n', '1\n')
('4:31\n', '1\n')
('4:30\n', '1\n')
('.\n', '4\n')
('9:44\n', '2\n')
('9:43\n', '2\n')
('9:42\n', '2\n')
('9:41\n', '2\n')
('9:40\n', '2\n')
('9:37\n', '2\n')
('9:36\n', '2\n')
('9:35\n', '2\n')
('5:19\n', '2\n')
('5:18\n', '2\n')
('5:17\n', '2\n')
('5:16\n', '2\n')
('5:15\n', '2\n')
('5:14\n', '2\n')
('5:13\n', '2\n')
('5:13\n', '2\n')
('5:13\n', '2\n')
('11:02\n', '3\n')
('11:01\n', '3\n')
('11:00\n', '3\n')
('10:59\n', '3\n')
('10:58\n', '3\n')
('10:57\n', '3\n')
('10:56\n', '3\n')
('10:55\n', '3\n')
('8:56\n', '3\n')
('8:55\n', '3\n')
('8:54\n', '3\n')
('8:53\n', '3\n')
('8:52\n', '3\n')
('8:51\n', '3\n')
('8:50\n', '3\n')
('8:49\n', '3\n')
('8:49\n', '3\n')
('8:49\n', '3\n')
('7:32\n', '3\n')
('7:31\n', '3\n')
('7:30\n', '3\n')
('7:29\n', '3\n')
('7:28\n', '3\n')
('7:27\n', '3\n')
('4:10\n', '3\n')
('4:09\n', '3\n')
('4:08\n', '3\n')
('4:07\n', '3\n')
('4:06\n', '3\n')
('4:05\n', '3\n')
('4:04\n', '3\n')
('4:03\n', '3\n')
('4:02\n', '3\n')
(':51.8\n', '3\n')
(':50.8\n', '3\n')
(':49.8\n', '3\n')
(':48.8\n', '3\n')
('47.8\n', '3\n')
(':46.8\n', '3\n')
(':46.5\n', '3\n')
(':46.5\n', '3\n')
(':46.5\n', '3\n')
(':46.5\n', '3\n')
